node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10001933,2.1437451245584954e-05,2.1418137087464492e-05,1.9314158120461506e-08,0.0001791828642816462,0.002004008016032064,10.620931465077565,102.5,0.0,1.6089826055249163,1.6089826055249163,Beijing
bus_BV10418062,2.1437451245584954e-05,2.1434184929664567e-05,3.2663159203863467e-09,0.000835820877653104,0.0,10.591687940980886,15.5,0.05555555555555555,1.3856125860261845,1.3856125860261845,Beijing
bus_BV10002226,2.1437451245584954e-05,2.1372835218300735e-05,6.461602728421851e-08,0.00011948849942966522,0.0,9.189388448654832,70.5,0.07142857142857142,1.219003296056864,1.219003296056864,Beijing
bus_BV10006169,2.1437451245584954e-05,2.1409183279557693e-05,2.8267966027260334e-08,9.976972570324705e-08,0.0,10.709334312088865,52.0,0.06666666666666667,0.5894499905495587,0.5894499905495587,Beijing
bus_BV10002284,2.1437451245584954e-05,2.1409800836242516e-05,2.7650409342437382e-08,0.0004179603236894591,0.0,9.601235387492414,152.5,0.0,0.5864609737730228,0.5864609737730228,Beijing
bus_BV10006453,2.1437451245584954e-05,2.1395134178438665e-05,4.231706714628828e-08,9.976972570324705e-08,0.0,15.171759812293153,26.0,0.0,0.5463064517272248,0.5463064517272248,Beijing
bus_BV10322789,2.1437451245584954e-05,2.141858234008704e-05,1.8868905497912338e-08,0.0001791828642816462,0.0,8.57468870637428,15.5,0.058823529411764705,0.515647177220371,0.515647177220371,Beijing
bus_BV10000786,2.1437451245584954e-05,2.1431739661816485e-05,5.711583768468935e-09,5.979413457768423e-05,0.0,13.04272211523423,38.0,0.0625,0.48279533404261904,0.48279533404261904,Beijing
bus_BV10883822,2.1437451245584954e-05,2.143353314263026e-05,3.918102954694112e-09,5.979413457768423e-05,0.0,20.748901374905444,1.0,0.0,0.46842621768781134,0.46842621768781134,Beijing
bus_BV10000343,2.1437451245584954e-05,2.143613188241721e-05,1.3193631677425204e-09,5.979413457768423e-05,0.0,21.04797292214695,2.0,0.0,0.4518200172241653,0.4518200172241653,Beijing
bus_BV10006901,2.1437451245584954e-05,2.1382412455602197e-05,5.503878998275674e-08,9.976972570324705e-08,0.0,8.844214935067743,443.5,0.0,0.29885604015689327,0.29885604015689327,Beijing
bus_BV10346096,2.1437451245584954e-05,2.1431036275997714e-05,6.414969587239513e-09,0.00011948849942966522,0.0,8.381506157769207,15.5,0.058823529411764705,0.23691397786054222,0.23691397786054222,Beijing
bus_BV10008612,2.1437451245584954e-05,2.1430404622087093e-05,7.046623497860058e-09,9.976972570324705e-08,0.0,8.11311952210609,26.0,0.0625,0.07928448354462486,0.07928448354462486,Beijing
bus_BV11493613,2.1437451245584954e-05,2.14151004829247e-05,2.235076266025445e-08,9.976972570324705e-08,0.0,11.856298963656208,6.5,0.0,0.03929680748189812,0.03929680748189812,Beijing
bus_BV10001189,2.1437451245584954e-05,2.1432490149286004e-05,4.96109629894955e-09,9.976972570324705e-08,0.0,15.486071862634837,3.5,0.0,0.03825314136925581,0.03825314136925581,Beijing
bus_BV10000300,2.1437451245584954e-05,2.143509908342452e-05,2.3521621604332007e-09,9.976972570324705e-08,0.0,8.469942467344808,26.0,0.058823529411764705,0.006896355233674545,0.006896355233674545,Beijing
bus_BV11494365,2.1437451245584954e-05,2.141843929826796e-05,1.9011947316994012e-08,9.976972570324705e-08,0.0,11.959991764399039,307.0,0.0,-0.0010020354808927823,-0.0010020354808927823,Beijing
bus_BV10000437,2.1437451245584954e-05,2.1435362345644612e-05,2.088899940341267e-09,0.00011948849942966522,0.0,12.588739489969928,15.5,0.0,-0.019856768029442126,-0.019856768029442126,Beijing
bus_BV10801206,2.1437451245584954e-05,2.1436819282383407e-05,6.319632015468841e-10,9.976972570324705e-08,0.0,7.9414250962658395,38.0,0.0625,-0.023210766054697383,-0.023210766054697383,Beijing
bus_BV11266827,2.1437451245584954e-05,2.1437451245584954e-05,0.0,9.976972570324705e-08,0.0,15.285057302990253,443.5,0.0,-0.0456283439314004,-0.0456283439314004,Beijing
bus_BV10001388,2.1437451245584954e-05,2.1435130346894188e-05,2.3208986907657036e-09,9.976972570324705e-08,0.0,14.597411285185103,26.0,0.0,-0.05922426652432749,-0.05922426652432749,Beijing
bus_BV10000212,2.1437451245584954e-05,2.143673192552401e-05,7.193200609436408e-10,9.976972570324705e-08,0.0,14.522070791107017,5.0,0.0,-0.08700970918236686,-0.08700970918236686,Beijing
bus_BV10883823,2.1437451245584954e-05,2.1439807085258244e-05,-2.3558396732901543e-09,9.976972570324705e-08,0.0,8.743004677305834,9.0,0.05263157894736842,-0.09186565129052215,-0.09186565129052215,Beijing
bus_BV10002657,2.1437451245584954e-05,2.143716500019982e-05,2.8624538513211226e-10,9.976972570324705e-08,0.0,14.503929759285162,52.0,0.0,-0.09437219841051767,-0.09437219841051767,Beijing
bus_BV11493641,2.1437451245584954e-05,2.142573527616262e-05,1.1715969422333212e-08,0.00011948849942966522,0.0,9.428874714233162,38.0,0.0,-0.09703874170701339,-0.09703874170701339,Beijing
