node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV11121262,1.3623416421186983e-05,1.3442303660009482e-05,1.8111276117750155e-07,0.0016035288498639222,0.0,8.988585279466772,41.5,0.0,2.1061671330691465,2.1061671330691465,Chongqing
bus_BV10048671,1.3623416421186983e-05,1.3574345866835637e-05,4.9070554351346514e-08,0.0009007881611780011,0.0053475935828877,10.143106468014876,62.0,0.0,1.6898600760812643,1.6898600760812643,Chongqing
bus_BV10045608,1.3623416421186983e-05,1.3597532892630788e-05,2.5883528556195295e-08,0.0003151709206065112,0.0053475935828877,8.698998818088258,17.5,0.0,1.0101168795928976,1.0101168795928976,Chongqing
bus_BV10416315,1.3623416421186983e-05,1.3608528186631054e-05,1.4888234555929689e-08,8.092402437787083e-05,0.0,24.92621905216565,1.0,0.04,0.7699922162516889,0.7699922162516889,Chongqing
bus_BV10927678,1.3623416421186983e-05,1.3611447506068911e-05,1.1968915118072213e-08,8.092402437787083e-05,0.0,18.33765520226709,6.5,0.05263157894736842,0.5618795562002027,0.5618795562002027,Chongqing
bus_BV09041865,1.3623416421186983e-05,1.3621390667123206e-05,2.025754063777533e-09,8.092402437787083e-05,0.0,11.16517417600393,88.0,0.08333333333333333,0.42461950118185043,0.42461950118185043,Chongqing
bus_BV10335024,1.3623416421186983e-05,1.3623361313001455e-05,5.51081855285952e-11,0.0003151709206065112,0.0,8.566669820282314,62.0,0.07692307692307693,0.4238878533780065,0.4238878533780065,Chongqing
bus_BV10979404,1.3623416421186983e-05,1.3623247369602197e-05,1.6905158478655005e-10,0.00013948574843503092,0.0,24.98346343519821,3.5,0.0,0.3864554910614393,0.3864554910614393,Chongqing
bus_BV10749245,1.3623416421186983e-05,1.3597827780088082e-05,2.558864109890126e-08,8.092402437787083e-05,0.0,9.481496982767169,30.5,0.06666666666666667,0.38415994950837434,0.38415994950837434,Chongqing
bus_BV09302017,1.3623416421186983e-05,1.361991593455042e-05,3.5004866365633794e-09,0.0005494178168351516,0.0,17.200763731902445,3.5,0.0,0.3827464787046154,0.3827464787046154,Chongqing
bus_BV10045471,1.3623416421186983e-05,1.3618324776353484e-05,5.0916448334989846e-09,2.2362300320710737e-05,0.0,24.323933669184157,3.5,0.0,0.3028365636547465,0.3028365636547465,Chongqing
bus_BV10558085,1.3623416421186983e-05,1.3621586492551768e-05,1.8299286352152733e-09,2.2362300320710737e-05,0.0,24.13921737057099,41.5,0.0,0.2712901111541142,0.2712901111541142,Chongqing
bus_BV10346826,1.3623416421186983e-05,1.3621298503303288e-05,2.1179178836951102e-09,8.092402437787083e-05,0.0,11.43072528647043,24.0,0.0625,0.2675152623519267,0.2675152623519267,Chongqing
bus_BV10049233,1.3623416421186983e-05,1.3612306809491347e-05,1.1109611695635989e-08,2.2362300320710737e-05,0.0,10.671353879903707,17.5,0.058823529411764705,0.22378859664887232,0.22378859664887232,Chongqing
bus_BV10422478,1.3623416421186983e-05,1.3623416421186983e-05,0.0,2.2362300320710737e-05,0.0,10.377614488511211,30.5,0.06666666666666667,0.19489041058106343,0.19489041058106343,Chongqing
bus_BV10046327,1.3623416421186983e-05,1.3617088282142729e-05,6.328139044254881e-09,8.092402437787083e-05,0.0,9.20342582212888,13.0,0.05555555555555555,0.14326159953718817,0.14326159953718817,Chongqing
bus_BV11612293,1.3623416421186983e-05,1.3549728218995686e-05,7.368820219129732e-08,2.2362300320710737e-05,0.0,8.259793431762652,261.5,0.0,0.08854760176032976,0.08854760176032976,Chongqing
bus_BV11377887,1.3623416421186983e-05,1.3615363640529119e-05,8.05278065786444e-09,2.2362300320710737e-05,0.0,18.07618454868856,9.5,0.0,0.0492008445959171,0.0492008445959171,Chongqing
bus_BV09354241,1.3623416421186983e-05,1.3620891276823578e-05,2.525144363405216e-09,0.0002566091965493511,0.0,12.544553730491552,17.5,0.0,-0.05398698404088844,-0.05398698404088844,Chongqing
bus_BV10047759,1.3623416421186983e-05,1.3584799488532191e-05,3.861693265479199e-08,2.2362300320710737e-05,0.0,9.437188123542247,41.5,0.0,-0.11145893467382395,-0.11145893467382395,Chongqing
bus_BV11092618,1.3623416421186983e-05,1.3584206127821338e-05,3.921029336564501e-08,2.2362300320710737e-05,0.0,9.02438015259384,41.5,0.0,-0.12536187938266952,-0.12536187938266952,Chongqing
bus_BV10666662,1.3623416421186983e-05,1.3605577310115805e-05,1.7839111071178042e-08,2.2362300320710737e-05,0.0,12.295581969985477,179.5,0.0,-0.13487597666371812,-0.13487597666371812,Chongqing
bus_BV10848601,1.3623416421186983e-05,1.3617628081442833e-05,5.788339744150801e-09,2.2362300320710737e-05,0.0,13.803024757643778,3.5,0.0,-0.1550738627548799,-0.1550738627548799,Chongqing
bus_BV11694436,1.3623416421186983e-05,1.3608256701370881e-05,1.515971981610224e-08,8.092402437787083e-05,0.0,10.669541954346782,13.0,0.0,-0.18068648535320286,-0.18068648535320286,Chongqing
bus_BV11631284,1.3623416421186983e-05,1.362081167278448e-05,2.6047484025029113e-09,2.2362300320710737e-05,0.0,12.863900321033459,13.0,0.0,-0.21925281418171394,-0.21925281418171394,Chongqing
bus_BV10665030,1.3623416421186983e-05,1.3595711753749545e-05,2.7704667437438154e-08,2.2362300320710737e-05,0.0,8.608743906090867,124.0,0.0,-0.2262597728689829,-0.2262597728689829,Chongqing
bus_BV11694439,1.3623416421186983e-05,1.3618028177398066e-05,5.388243788916961e-09,0.000198047472492191,0.0,9.084063138022332,62.0,0.0,-0.23066126718859303,-0.23066126718859303,Chongqing
