node,mean_score,std_score,boot_times,stability_score,city
bus_BV10558085,0.22237200027884874,0.025110155142601537,10,8.855855746706167,Chongqing
bus_BV10749245,0.22390213945301554,0.0336299361850439,10,6.65782033135071,Chongqing
bus_BV10422478,0.13717849382800973,0.028428379687961625,10,4.8254050030170985,Chongqing
bus_BV10045471,0.2853643342249139,0.06658002669693315,10,4.286034498957531,Chongqing
bus_BV10927678,0.6096062265822283,0.17233699186730853,10,3.5372915855388776,Chongqing
bus_BV10416315,0.8434308393131229,0.2890277642800364,10,2.9181653611459857,Chongqing
bus_BV10979404,0.37498157413274824,0.13313828433009325,10,2.816481734421553,Chongqing
bus_BV10346826,0.3053031564737846,0.11648938388882128,10,2.620866555157538,Chongqing
bus_BV11121262,1.9643020814269185,0.7741321484083202,10,2.537424727924604,Chongqing
bus_BV10335024,0.5589769092716473,0.25389009057813944,10,2.2016490914722047,Chongqing
bus_BV10049233,0.09042713533718852,0.04160366246458311,10,2.1735373340939663,Chongqing
bus_BV09041865,0.49639105231444186,0.2355659594465293,10,2.1072273447677117,Chongqing
bus_BV10048671,1.1012523149031235,0.5250553447366135,10,2.0974023119058574,Chongqing
bus_BV09302017,1.1522511959423862,0.6710605418748452,10,1.7170599474565515,Chongqing
bus_BV10046327,0.14205063506552193,0.16795657210221834,10,0.8457580720419159,Chongqing
bus_BV10045608,0.3990601142689674,0.602229816350324,9,0.6626375792234999,Chongqing
bus_BV10047048,0.11286373314724825,0.2799965483761465,10,0.4030897158229619,Chongqing
bus_BV09354241,0.23306985379571027,0.6634677913057995,10,0.35129037661962714,Chongqing
bus_BV10047759,0.07049091221065625,0.2520952065790124,10,0.27962018941586214,Chongqing
bus_BV11694439,0.100095252070584,0.7326089396140015,10,0.13662848662075774,Chongqing
bus_BV10045372,0.06928771527557605,0.0,1,0.06928771527557605,Chongqing
bus_BV10048427,-0.07067870662389307,0.2679807355837688,7,-0.26374546600326343,Chongqing
bus_BV09160271,-0.3688880078545923,0.0,1,-0.3688880078545923,Chongqing
bus_BV10045468,-0.45300577210765064,0.0,1,-0.45300577210765064,Chongqing
bus_BV11377887,-0.0242351941154798,0.04550077064641532,10,-0.5326324905018771,Chongqing
bus_BV10666662,-0.07799799095270839,0.1374688706632998,10,-0.5673865283281643,Chongqing
bus_BV10775747,-0.3539542876232883,0.34234955347056195,10,-1.0338972950194056,Chongqing
bus_BV11228616,-0.18678359470101918,0.18054979180081174,7,-1.03452672247785,Chongqing
bus_BV11631284,-0.22057489118730297,0.19295249253065283,10,-1.1431564156689908,Chongqing
bus_BV11586298,-0.31982444647087377,0.23279158816292883,10,-1.373865934143514,Chongqing
bus_BV11612293,-0.30351074457884664,0.1877927832725149,7,-1.616200170889455,Chongqing
bus_BV10927537,-0.3159547709836039,0.19372629437541616,10,-1.630933765046821,Chongqing
bus_BV10048423,-0.34820303677302794,0.2013133386439247,10,-1.7296569706806482,Chongqing
bus_BV11557326,-0.37974033338447094,0.16934848059733168,10,-2.242360307110138,Chongqing
bus_BV11694436,-0.23618408581697375,0.10121004242178036,10,-2.3336030380925585,Chongqing
bus_BV10046060,-0.2957334474219661,0.12480210132759993,10,-2.369618945353249,Chongqing
bus_BV09033770,-0.330606599463106,0.1270674167051259,10,-2.601820214950252,Chongqing
bus_BV10732688,-0.2760076486274431,0.09742209061212925,10,-2.8331112436830335,Chongqing
bus_BV10665030,-0.26372633412118324,0.08071977495021831,7,-3.267183309319136,Chongqing
bus_BV10327189,-0.35447197304005823,0.1014228695137782,10,-3.49499023040362,Chongqing
bus_BV11092618,-0.29460682883317835,0.0687175019468177,10,-4.28721617658658,Chongqing
bus_BV10045254,-0.42994485612527544,0.07128085531824985,6,-6.031700852756032,Chongqing
bus_BV10666147,-0.36074165924419765,0.057866102432171274,10,-6.234074557316201,Chongqing
bus_BV11694374,-0.3341837063987946,0.04852983458107314,10,-6.886148292531885,Chongqing
bus_BV10638719,-0.2700125924407241,0.03772731512402516,10,-7.156950341777006,Chongqing
bus_BV11196235,-0.2983014100037976,0.04054020104562143,10,-7.358161250520077,Chongqing
bus_BV10848601,-0.21568186438712456,0.028761521762395638,10,-7.498970019014027,Chongqing
bus_BV09063250,-0.4311198615164228,0.04716732089903416,10,-9.140221702162307,Chongqing
bus_BV09334667,-0.4261000588031171,0.04076004508116937,8,-10.453863665163933,Chongqing
bus_BV11446949,-0.4648309608668019,0.04360211267808445,10,-10.660741549182374,Chongqing
bus_BV11117869,-0.4379855555523798,0.040337845716429024,10,-10.857928558011936,Chongqing
bus_BV09160269,-0.400731753271257,0.03139994677751826,10,-12.762175314781734,Chongqing
bus_BV10421151,-0.3594065745990415,0.023375788745984432,10,-15.375156952049883,Chongqing
bus_BV09134199,-0.45331963509118395,0.020355747577649602,10,-22.269848388689983,Chongqing
bus_BV10346521,-0.46275950224196155,0.013817625567950739,6,-33.49049842617845,Chongqing
