node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10996960,1.4138398704401059e-05,1.3271091792923777e-05,8.673069114772814e-07,0.12583987667810037,0.22857142857142856,5.727174571379822,110.5,0.0,4.2119172608080255,4.2119172608080255,Chuzhou
bus_BV10939599,1.4138398704401059e-05,1.302878133305935e-05,1.1096173713417091e-06,0.003132370533271478,0.005714285714285714,5.807110605022855,34.5,0.0,1.0580805110981066,1.0580805110981066,Chuzhou
bus_BV11328734,1.4138398704401059e-05,1.3599112324011826e-05,5.392863803892322e-07,-8.184765542207373e-05,0.05142857142857143,6.446091105074819,16.0,0.0,0.8312951074833435,0.8312951074833435,Chuzhou
bus_BV10426611,1.4138398704401059e-05,1.411491050237881e-05,2.3488202022248217e-08,0.0027542272169545634,0.005714285714285714,10.106871559614293,4.5,0.0,0.6587464829421024,0.6587464829421024,Chuzhou
bus_BV10858341,1.4138398704401059e-05,1.4166732168738535e-05,-2.83334643374762e-08,-8.184765542207373e-05,0.0,9.58895771958322,1.0,0.0,0.4109091574263959,0.4109091574263959,Chuzhou
bus_BV11211439,1.4138398704401059e-05,1.4095599196244845e-05,4.2799508156213365e-08,-8.184765542207373e-05,0.011428571428571429,8.684795796640016,6.5,0.0,0.39946079290088043,0.39946079290088043,Chuzhou
bus_BV10532134,1.4138398704401059e-05,1.3580965377474992e-05,5.57433326926067e-07,-8.184765542207373e-05,0.0,5.725713689970485,34.5,0.0,0.31373018141409453,0.31373018141409453,Chuzhou
bus_BV11627012,1.4138398704401059e-05,1.4131823947078301e-05,6.5747573227575466e-09,0.00010722400273638355,0.0,8.818190331941013,34.5,0.0,0.2994185554685672,0.2994185554685672,Chuzhou
bus_BV11336643,1.4138398704401059e-05,1.4132366718514724e-05,6.031985886334332e-09,-8.184765542207373e-05,0.0,8.68962030632988,34.5,0.0,0.2703266810032511,0.2703266810032511,Chuzhou
bus_BV11277091,1.4138398704401059e-05,1.4164598934971206e-05,-2.6200230570147244e-08,-8.184765542207373e-05,0.0,8.567965274100487,2.5,0.0,0.20865701812130777,0.20865701812130777,Chuzhou
