node,mean_score,std_score,boot_times,stability_score,city
bus_BV10208441,0.9670634308089141,0.1057294595049441,10,9.146583590525747,Fuzhou
bus_BV09079784,1.584006009814123,0.3224963630782146,3,4.911701780379268,Fuzhou
bus_BV10411607,0.8783037217243187,0.24817310371457324,10,3.5390768507440575,Fuzhou
bus_BV09105369,2.0002988719447212,0.679509011218328,10,2.9437414507879214,Fuzhou
bus_BV11171763,1.106844027982399,0.40548223036857106,10,2.72969791963345,Fuzhou
bus_BV10208690,0.20107253272043693,0.08037469620981517,9,2.501689178129555,Fuzhou
bus_BV10979110,0.18280621413431397,0.07831724674591921,10,2.3341754005427324,Fuzhou
bus_BV10906644,0.19907795325889346,0.123007623800567,7,1.618419500546281,Fuzhou
bus_BV10208832,0.2764616692337499,0.19199685257088572,10,1.4399280568018633,Fuzhou
metro_BV09371882,1.0056948015124196,0.0,1,1.0056948015124196,Fuzhou
bus_BV10208927,0.22476061994722502,0.23198239693258318,10,0.968869247108653,Fuzhou
bus_BV10209089,0.3373466895557797,0.36126586152151957,10,0.9337906404914446,Fuzhou
bus_BV10208520,0.4909209832030951,0.548390957149441,10,0.8952025336137878,Fuzhou
bus_BV09180217,0.014714304006850249,0.01648245546285144,2,0.8927246982566828,Fuzhou
bus_BV10569567,0.11891281524221949,0.15553981512486673,10,0.7645168377086496,Fuzhou
bus_BV10844781,0.18027358166947094,0.31854553888212317,10,0.5659271721174816,Fuzhou
bus_BV10208476,0.14675839544672278,0.3089883836937138,10,0.47496410364266867,Fuzhou
bus_BV10209418,0.19040013412864584,0.5232584890095304,10,0.3638739446928275,Fuzhou
bus_BV10468198,0.07983090076755905,0.22901760832897564,10,0.34857973526248454,Fuzhou
bus_BV10208580,0.09295751110927286,0.28516482597527476,10,0.3259781690521364,Fuzhou
bus_BV09188577,0.2645887097219125,0.0,1,0.2645887097219125,Fuzhou
bus_BV10208850,0.0030145580239081078,0.09456234384240725,10,0.031879050186631515,Fuzhou
bus_BV11583925,-0.00955756388337318,0.2637339314366016,10,-0.03623941549317307,Fuzhou
bus_BV10208493,-0.09967688435484426,0.28359913061905156,10,-0.35147103809012104,Fuzhou
bus_BV10208534,-0.22958295357768974,0.4009070051092266,10,-0.5726588583518304,Fuzhou
bus_BV10411609,-0.21138758307961575,0.32212097397154277,10,-0.6562366117020505,Fuzhou
bus_BV10391469,-0.09286991573219651,0.13586017062944994,10,-0.6835697943424155,Fuzhou
bus_BV10208643,-0.3070265459450326,0.2804163575748121,10,-1.0948952395338378,Fuzhou
bus_BV11370256,-0.06116670287312885,0.050983977113741176,10,-1.1997238022336474,Fuzhou
bus_BV11505711,-0.18749651798018435,0.12657128651199714,10,-1.4813510104355483,Fuzhou
bus_BV09020981,-0.050231767670843384,0.03311858070353614,10,-1.51672419036478,Fuzhou
bus_BV10209499,-0.18669671527430648,0.09739032744654999,10,-1.9169942334040053,Fuzhou
bus_BV10569487,-0.2868065603734814,0.13814179697231257,10,-2.076174958613111,Fuzhou
bus_BV10208952,-0.30606186450361095,0.14268445281682987,10,-2.145025873605563,Fuzhou
bus_BV10208955,-0.27914549349215234,0.10118496088064069,10,-2.7587643803489015,Fuzhou
bus_BV11125358,-0.33748447524615754,0.11841221028917409,10,-2.8500814731958224,Fuzhou
bus_BV10208477,-0.3161071367905989,0.10147292606493513,10,-3.1151866600993374,Fuzhou
bus_BV10849906,-0.2013849086074337,0.06406750796430298,10,-3.1433230911121135,Fuzhou
bus_BV10208579,-0.31309914297692265,0.07657300221477893,8,-4.088896778655041,Fuzhou
bus_BV10695123,-0.3380492733429249,0.08062731765487365,2,-4.19273815932421,Fuzhou
bus_BV11143187,-0.18435516141590017,0.04195086522610288,10,-4.394548633902869,Fuzhou
bus_BV10209883,-0.2830208841184023,0.061989292827551126,10,-4.565640702650615,Fuzhou
bus_BV11111178,-0.22202839503364583,0.04778981424687671,10,-4.64593453800275,Fuzhou
bus_BV10208485,-0.39572863827386656,0.07909511423086851,10,-5.0031988965436796,Fuzhou
bus_BV10208495,-0.35241126130226025,0.0674921946732351,10,-5.221510587903695,Fuzhou
bus_BV10208963,-0.3168401096454899,0.05653952974548727,10,-5.603867860823517,Fuzhou
bus_BV11162014,-0.2109043410642999,0.03728458435896394,10,-5.656608169953025,Fuzhou
bus_BV11025393,-0.28150677474089614,0.04791979070592193,10,-5.874539764229602,Fuzhou
bus_BV09154883,-0.25836780596325426,0.03982646914304133,10,-6.487337357522789,Fuzhou
bus_BV11229053,-0.4028516368953695,0.05627177064254286,8,-7.1590348180808006,Fuzhou
bus_BV10208921,-0.3822982388448913,0.05211545498448151,10,-7.335600650569437,Fuzhou
bus_BV10209120,-0.40151341075379526,0.05106788516949492,10,-7.86234500993565,Fuzhou
bus_BV10208768,-0.3094617736322921,0.035465558931340485,10,-8.725696018902,Fuzhou
bus_BV11474377,-0.4387628963989359,0.04647399177407203,10,-9.441039713600107,Fuzhou
bus_BV10208436,-0.40243691931330666,0.029720674847476612,9,-13.540634119925905,Fuzhou
