node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10330341,3.660777178632844e-05,3.455867111333648e-05,2.049100672991963e-06,0.0581514770205358,0.11392405063291139,9.57906813593744,53.5,0.0,2.830938279105973,2.830938279105973,Harbin
bus_BV10731532,3.660777178632844e-05,3.5055335923999055e-05,1.5524358623293845e-06,0.06704680180332434,0.14177215189873418,6.1348493433637,165.0,0.0,2.622318762734636,2.622318762734636,Harbin
bus_BV10114428,3.660777178632844e-05,3.592509988788765e-05,6.826718984407932e-07,2.1563905103438863e-05,0.0,10.024025175057599,17.0,0.0625,0.8351249162036909,0.8351249162036909,Harbin
bus_BV09060900,3.660777178632844e-05,3.6561737473036575e-05,4.6034313291865026e-08,2.1563905103438863e-05,0.0,14.94702468339489,1.0,0.04,0.7688687881993954,0.7688687881993954,Harbin
bus_BV10114512,3.660777178632844e-05,3.653926608740847e-05,6.850569891996797e-08,0.00043529994151225715,0.002531645569620253,7.930098231431921,111.5,0.1,0.666651700595153,0.666651700595153,Harbin
bus_BV09242428,3.660777178632844e-05,3.656297460014602e-05,4.4797186182417585e-08,2.1563905103438863e-05,0.0,6.586466620954109,111.5,0.1,0.503536358491967,0.503536358491967,Harbin
bus_BV09063340,3.660777178632844e-05,3.6529409795855793e-05,7.836199047264644e-08,2.1563905103438863e-05,0.0,9.45772150277757,3.5,0.05,0.36379656190654946,0.36379656190654946,Harbin
bus_BV09005417,3.660777178632844e-05,3.6421169750550146e-05,1.866020357782936e-07,0.0012627720143297827,0.005063291139240506,12.15005836812875,12.0,0.0,0.3068571038621771,0.3068571038621771,Harbin
bus_BV10114326,3.660777178632844e-05,3.659842915016904e-05,9.342636159400731e-09,0.0002284319233077925,0.0,13.552870043575496,2.0,0.0,0.28706639879046336,0.28706639879046336,Harbin
bus_BV10114321,3.660777178632844e-05,3.594005767855027e-05,6.677141077781717e-07,0.0002284319233077925,0.0,9.67963492921298,8.5,0.0,0.2715345333893754,0.2715345333893754,Harbin
bus_BV10115682,3.660777178632844e-05,3.5853254747134876e-05,7.545170391935638e-07,0.00271084814176048,0.007594936708860759,8.029910542437015,165.0,0.0,0.2653872938316332,0.2653872938316332,Harbin
bus_BV10114485,3.660777178632844e-05,3.656207526704197e-05,4.569651928647164e-08,2.1563905103438863e-05,0.0,7.617150920669549,17.0,0.058823529411764705,0.25156406056893066,0.25156406056893066,Harbin
