node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10964587,2.3385698009842343e-05,2.3274754426276395e-05,1.1094358356594791e-07,0.0015186613014204209,0.004081632653061225,7.467084212217357,33.5,0.0,1.737625085510744,1.737625085510744,Hefei
bus_BV11446275,2.3385698009842343e-05,2.1926247377042827e-05,1.459450632799516e-06,0.0002175662130543543,0.0,12.801745604966312,88.5,0.0,1.5608974235516226,1.5608974235516226,Hefei
bus_BV10956500,2.3385698009842343e-05,2.3196822570969167e-05,1.8887543887317667e-07,0.0009765383479345413,0.0020408163265306124,6.586571269292039,587.0,0.0,0.8715310900443669,0.8715310900443669,Hefei
bus_BV10845699,2.3385698009842343e-05,2.3368685507335003e-05,1.7012502507340378e-08,0.0002175662130543543,0.0020408163265306124,10.060243587674565,3.5,0.058823529411764705,0.8505489043169298,0.8505489043169298,Hefei
bus_BV11276871,2.3385698009842343e-05,2.335604593039591e-05,2.9652079446434884e-08,0.001084962938631695,0.0020408163265306124,7.190840473188061,145.0,0.0,0.8456222303118031,0.8456222303118031,Hefei
bus_BV10416038,2.3385698009842343e-05,2.337707230277511e-05,8.625707067234494e-09,7.170316600468851e-07,0.0,21.712593025549214,1.0,0.0,0.7896756872462893,0.7896756872462893,Hefei
bus_BV11547836,2.3385698009842343e-05,2.3382963025642484e-05,2.7349841998589584e-09,7.170316600468851e-07,0.0,11.353281967736866,53.0,0.09090909090909091,0.4980570660612232,0.4980570660612232,Hefei
bus_BV11271879,2.3385698009842343e-05,2.336821554435233e-05,1.7482465490014135e-08,0.000325990803751508,0.0020408163265306124,8.711123769816384,356.0,0.0,0.44560466377377356,0.44560466377377356,Hefei
bus_BV11596329,2.3385698009842343e-05,2.3322512334265905e-05,6.318567557643843e-08,7.170316600468851e-07,0.0,7.595392642517187,145.0,0.1111111111111111,0.3710707240402109,0.3710707240402109,Hefei
bus_BV11120538,2.3385698009842343e-05,2.331861664835733e-05,6.708136148501467e-08,0.0001091416223572006,0.0020408163265306124,8.79481226962821,33.5,0.0,0.3521197548773741,0.3521197548773741,Hefei
bus_BV10412293,2.3385698009842343e-05,2.3354875580478435e-05,3.082242936390794e-08,7.170316600468851e-07,0.0,10.646724437537914,9.0,0.06666666666666667,0.3146276453128505,0.3146276453128505,Hefei
bus_BV10722782,2.3385698009842343e-05,2.339277510671247e-05,-7.077096870125853e-09,7.170316600468851e-07,0.0,8.547573214214115,53.0,0.09090909090909091,0.25752474348421583,0.25752474348421583,Hefei
bus_BV09043574,2.3385698009842343e-05,2.297946229376162e-05,4.062357160807239e-07,0.000325990803751508,0.0,7.594348697357945,356.0,0.0,0.21832275989253913,0.21832275989253913,Hefei
bus_BV10171847,2.3385698009842343e-05,2.3382555931292416e-05,3.1420785499272283e-09,7.170316600468851e-07,0.0,9.15674150810042,15.5,0.07142857142857142,0.1955985022639183,0.1955985022639183,Hefei
bus_BV10171581,2.3385698009842343e-05,2.3375264661475287e-05,1.0433348367056e-08,7.170316600468851e-07,0.0,9.38468771569214,9.0,0.06666666666666667,0.19146819138262677,0.19146819138262677,Hefei
bus_BV10171956,2.3385698009842343e-05,2.3372644798297735e-05,1.3053211544608015e-08,7.170316600468851e-07,0.0,8.785972706827332,15.5,0.07142857142857142,0.1743118617385516,0.1743118617385516,Hefei
bus_BV10845720,2.3385698009842343e-05,2.3163972284528864e-05,2.2172572531347924e-07,0.00043441539444877275,0.0,7.35751720022437,228.0,0.0,0.09937417490058285,0.09937417490058285,Hefei
bus_BV10171768,2.3385698009842343e-05,2.3377202275188278e-05,8.495734654065276e-09,7.170316600468851e-07,0.0,6.765509402045206,33.5,0.08333333333333333,0.07783718380834265,0.07783718380834265,Hefei
bus_BV10171971,2.3385698009842343e-05,2.338183938858394e-05,3.858621258402445e-09,7.170316600468851e-07,0.0,7.300058603829715,15.5,0.07142857142857142,0.04317970574977098,0.04317970574977098,Hefei
bus_BV10648495,2.3385698009842343e-05,2.3385698009842343e-05,0.0,7.170316600468851e-07,0.0,12.190299527328373,2.0,0.0,-0.0035513128348326345,-0.0035513128348326345,Hefei
bus_BV10171767,2.3385698009842343e-05,2.3124711323271753e-05,2.609866865705901e-07,7.170316600468851e-07,0.0,8.69343925786253,53.0,0.0,-0.04739261951348922,-0.04739261951348922,Hefei
bus_BV10410404,2.3385698009842343e-05,2.3300815118431967e-05,8.488289141037614e-08,7.170316600468851e-07,0.0,10.024351937943806,9.0,0.0,-0.10262471229170031,-0.10262471229170031,Hefei
bus_BV10172604,2.3385698009842343e-05,2.3351078803342328e-05,3.461920650001547e-08,7.170316600468851e-07,0.0,10.463141113884955,9.0,0.0,-0.11353101923016098,-0.11353101923016098,Hefei
bus_BV10172006,2.3385698009842343e-05,2.3385398973386227e-05,2.990364561163562e-10,7.170316600468851e-07,0.0,10.787745494872102,9.0,0.0,-0.11891669724872618,-0.11891669724872618,Hefei
bus_BV11614195,2.3385698009842343e-05,2.3343160617102053e-05,4.2537392740289986e-08,7.170316600468851e-07,0.0,10.29514866906047,9.0,0.0,-0.11996498837696122,-0.11996498837696122,Hefei
bus_BV10945635,2.3385698009842343e-05,2.3385698009842343e-05,0.0,0.0001091416223572006,0.0,8.787503262685604,22.5,0.0,-0.2106995509494432,-0.2106995509494432,Hefei
bus_BV10171797,2.3385698009842343e-05,2.3384540850876795e-05,1.157158965548003e-09,7.170316600468851e-07,0.0,9.406651917014004,53.0,0.0,-0.23198885098128363,-0.23198885098128363,Hefei
bus_BV10648909,2.3385698009842343e-05,2.334418562748129e-05,4.151238236105263e-08,7.170316600468851e-07,0.0,8.661367477118036,53.0,0.0,-0.2556362065169296,-0.2556362065169296,Hefei
bus_BV10656830,2.3385698009842343e-05,2.3385569314145107e-05,1.286956972366721e-10,7.170316600468851e-07,0.0,9.101880559959763,9.0,0.0,-0.25808176581473274,-0.25808176581473274,Hefei
bus_BV11272457,2.3385698009842343e-05,2.337336292935148e-05,1.2335080490863279e-08,7.170316600468851e-07,0.0,8.240967032723047,22.5,0.0,-0.3176324177414515,-0.3176324177414515,Hefei
bus_BV10844024,2.3385698009842343e-05,2.33826122178369e-05,3.0857920054440315e-09,7.170316600468851e-07,0.0,8.338755323044222,228.0,0.0,-0.3182339782591514,-0.3182339782591514,Hefei
bus_BV11579381,2.3385698009842343e-05,2.3385698009842343e-05,0.0,0.0001091416223572006,0.0,7.3141903075693655,3.5,0.0,-0.33217938894433946,-0.33217938894433946,Hefei
bus_BV10171704,2.3385698009842343e-05,2.336597104011243e-05,1.9726969729911897e-08,0.0001091416223572006,0.0,6.886917575588312,22.5,0.0,-0.348929697101381,-0.348929697101381,Hefei
bus_BV10171556,2.3385698009842343e-05,2.337618390678329e-05,9.514103059053117e-09,7.170316600468851e-07,0.0,7.762723097406343,15.5,0.0,-0.35970794869082173,-0.35970794869082173,Hefei
bus_BV10173465,2.3385698009842343e-05,2.336980271167948e-05,1.589529816286222e-08,7.170316600468851e-07,0.0,7.620057041776961,88.5,0.0,-0.36549349059719216,-0.36549349059719216,Hefei
bus_BV09008381,2.3385698009842343e-05,2.339867973943112e-05,-1.2981729588775804e-08,7.170316600468851e-07,0.0,7.947533099363036,15.5,0.0,-0.3655433615131732,-0.3655433615131732,Hefei
bus_BV11449241,2.3385698009842343e-05,2.3385698009842343e-05,0.0,7.170316600468851e-07,0.0,7.779157148988269,22.5,0.0,-0.3672655255092874,-0.3672655255092874,Hefei
bus_BV10948623,2.3385698009842343e-05,2.337875585203289e-05,6.942157809454566e-09,7.170316600468851e-07,0.0,7.669618203800183,88.5,0.0,-0.36979412189254096,-0.36979412189254096,Hefei
bus_BV10172343,2.3385698009842343e-05,2.3384317891928277e-05,1.3801179140657358e-09,7.170316600468851e-07,0.0,7.544089248659314,53.0,0.0,-0.38535483416922117,-0.38535483416922117,Hefei
bus_BV10410966,2.3385698009842343e-05,2.3384346444411633e-05,1.3515654307103854e-09,7.170316600468851e-07,0.0,7.53012370586816,33.5,0.0,-0.3865330897171201,-0.3865330897171201,Hefei
bus_BV09411653,2.3385698009842343e-05,2.3385403929649562e-05,2.940801927808225e-10,7.170316600468851e-07,0.0,7.012928220623792,5.0,0.0,-0.43016830868040873,-0.43016830868040873,Hefei
bus_BV10172794,2.3385698009842343e-05,2.3381716022521946e-05,3.9819873203972744e-09,7.170316600468851e-07,0.0,6.888865015746518,145.0,0.0,-0.43694299859598285,-0.43694299859598285,Hefei
bus_BV11619576,2.3385698009842343e-05,2.338458795493169e-05,1.110054910652029e-09,7.170316600468851e-07,0.0,6.883180441612345,22.5,0.0,-0.440102080805146,-0.440102080805146,Hefei
bus_BV11614125,2.3385698009842343e-05,2.3364971018010168e-05,2.0726991832174975e-08,7.170316600468851e-07,0.0,6.5522681969504335,22.5,0.0,-0.44901020421616716,-0.44901020421616716,Hefei
bus_BV10461125,2.3385698009842343e-05,2.3370147961511764e-05,1.5550048330578714e-08,7.170316600468851e-07,0.0,6.574022456075022,22.5,0.0,-0.4520661465314987,-0.4520661465314987,Hefei
bus_BV10648499,2.3385698009842343e-05,2.337421876101638e-05,1.147924882596461e-08,7.170316600468851e-07,0.0,6.599453459152066,88.5,0.0,-0.45378271470908177,-0.45378271470908177,Hefei
bus_BV10172339,2.3385698009842343e-05,2.338443071729886e-05,1.2672925434815724e-09,7.170316600468851e-07,0.0,6.691968952616085,22.5,0.0,-0.4557208438975618,-0.4557208438975618,Hefei
bus_BV10171559,2.3385698009842343e-05,2.3367558637108166e-05,1.813937273417764e-08,7.170316600468851e-07,0.0,6.474053797065435,33.5,0.0,-0.4578832867572545,-0.4578832867572545,Hefei
bus_BV09105974,2.3385698009842343e-05,2.3385684181434815e-05,1.382840752848927e-11,7.170316600468851e-07,0.0,6.5534015883144265,15.5,0.0,-0.46832043095802495,-0.46832043095802495,Hefei
bus_BV11448917,2.3385698009842343e-05,2.3414778744116243e-05,-2.9080734273900024e-08,7.170316600468851e-07,0.0,6.839997390043531,33.5,0.0,-0.47194480522266746,-0.47194480522266746,Hefei
