node,mean_score,std_score,boot_times,stability_score,city
bus_BV10462898,0.5922183665510368,0.06778857825859697,10,8.736254608104064,Jinan
bus_BV11434560,0.8082018440766389,0.10207544702896723,10,7.917690183324727,Jinan
bus_BV10152750,0.8621289098571779,0.10997905673278581,10,7.839027330099802,Jinan
bus_BV10153282,0.7634570458845132,0.13478056594392857,10,5.6644441570135955,Jinan
bus_BV10425068,1.6849481268506317,0.3059150021594813,10,5.507896179910992,Jinan
bus_BV11434562,1.108732276414067,0.2388653013867515,10,4.641662993999564,Jinan
bus_BV11175200,0.9706333136923739,0.2173557784864131,10,4.465642808279974,Jinan
bus_BV11321066,0.521903291086648,0.12268889881777353,5,4.2538750740852755,Jinan
bus_BV11389126,0.18343170114928867,0.05963466353251785,10,3.0759236243536447,Jinan
bus_BV11144046,0.907588037207136,0.34819239493763215,10,2.6065704602881907,Jinan
bus_BV10152939,0.4022603459593547,0.15827964846446135,10,2.5414532092238153,Jinan
bus_BV10595775,0.7732650840537046,0.34231973028329704,10,2.2588971451478836,Jinan
bus_BV10153140,0.4351159116120539,0.31722739337359923,10,1.371621451945049,Jinan
bus_BV10152608,0.37630224623977154,0.3310098736682169,10,1.1368308464678742,Jinan
bus_BV10152805,0.19160137391803525,0.2985127452397965,10,0.6418532225335601,Jinan
bus_BV10572587,0.040360722528733156,0.08183058909641124,10,0.4932228649723184,Jinan
bus_BV10153024,-0.1188280190129691,0.27681195076681087,10,-0.4292734269277873,Jinan
bus_BV09145673,-0.4636880134835839,0.0,1,-0.4636880134835839,Jinan
bus_BV10784935,-0.4911962589193359,0.0,1,-0.4911962589193359,Jinan
bus_BV10154144,-0.0929395920182893,0.15830075549036787,10,-0.5871076600949501,Jinan
bus_BV10153281,-0.15999928704770944,0.21732254316108016,9,-0.7362295570359763,Jinan
bus_BV10153094,-0.08679611159640173,0.10741205610512257,10,-0.8080666795055937,Jinan
bus_BV10152825,-0.21137350370638713,0.24692265923667134,10,-0.8560311791534584,Jinan
bus_BV10153350,-0.17252049486863263,0.18715891631346884,10,-0.921786089858634,Jinan
bus_BV11356543,-0.1851688343370714,0.15444176616884564,10,-1.1989556124674,Jinan
bus_BV10153454,-0.29376305134331165,0.23154642398629816,10,-1.2687003910442223,Jinan
bus_BV10154077,-0.09097777505066021,0.0591994295553284,10,-1.5368012895735517,Jinan
bus_BV09040107,-0.35244329829656545,0.19001544555110256,10,-1.8548138480334286,Jinan
bus_BV10153336,-0.14155363301119842,0.07474290831558304,10,-1.8938735093741466,Jinan
bus_BV10480381,-0.2751890862522314,0.12489759814853794,10,-2.2033175040866686,Jinan
bus_BV10153203,-0.375159764245487,0.16438384827683192,10,-2.2822177808583635,Jinan
bus_BV10777599,-0.35119499572082347,0.13514984299450994,10,-2.59855995355829,Jinan
bus_BV10152872,-0.3169329840114862,0.1130890227515041,10,-2.8025085748845164,Jinan
bus_BV10154154,-0.26286956929700506,0.08994129681420784,10,-2.9226790070997737,Jinan
bus_BV11188193,-0.3038604453218975,0.09917213624367026,10,-3.0639696409846695,Jinan
bus_BV10152764,-0.2775152545008088,0.08974452279957569,10,-3.0922803411387405,Jinan
bus_BV10153043,-0.35975195258420867,0.10846801276788932,10,-3.3166636894823993,Jinan
bus_BV10153389,-0.5194477910879112,0.12964069323637786,2,-4.00682639109714,Jinan
bus_BV10152905,-0.3581491342669661,0.08402756799853485,3,-4.262280822531991,Jinan
bus_BV10152839,-0.3223301778111282,0.0735271514679564,10,-4.38382458095573,Jinan
bus_BV10153143,-0.16602262099713125,0.028427358219579948,10,-5.840238875253308,Jinan
bus_BV10153278,-0.3676412840357046,0.06002303353522399,7,-6.125002372129924,Jinan
bus_BV10153018,-0.4138439096067407,0.06417756377669694,10,-6.4484193660341935,Jinan
bus_BV10723954,-0.383484428796636,0.05825454648691298,10,-6.582908735779092,Jinan
bus_BV10153139,-0.24210342945780555,0.0347922766177672,10,-6.958537451636531,Jinan
bus_BV10153603,-0.3117540036198489,0.04291874402648442,10,-7.263817664125824,Jinan
bus_BV10152983,-0.41252081631654125,0.05629483098063766,10,-7.327861827665981,Jinan
bus_BV10153463,-0.3510181301098842,0.0375535046828349,10,-9.347144550236434,Jinan
bus_BV10153134,-0.46581218271536784,0.04945137282779138,10,-9.419598726642366,Jinan
bus_BV10453310,-0.4301293017909674,0.04006426803535282,10,-10.735980351659407,Jinan
bus_BV10153488,-0.41498960390238226,0.03663891495151558,10,-11.32646780579778,Jinan
bus_BV10154087,-0.4678061092922238,0.03276625577331779,10,-14.277065092756692,Jinan
bus_BV10152779,-0.5192099085621535,0.028237759677921477,3,-18.387072154927054,Jinan
bus_BV11143741,-0.40008581312317604,0.019982505110482128,10,-20.021794599484878,Jinan
bus_BV10392914,-0.4811050130226504,0.022573405156274342,2,-21.312903240027726,Jinan
bus_BV10152741,-0.5004330010621468,0.015563761414559684,7,-32.153710545632855,Jinan
