node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10897726,5.5881872118423766e-05,5.5671738817322536e-05,2.1013330110122922e-07,0.005574188320845996,0.004640371229698376,5.171718662736342,217.5,0.0,1.5021915230958982,1.5021915230958982,Kunming
bus_BV11007931,5.5881872118423766e-05,5.4507633701941716e-05,1.3742384164820498e-06,0.0008958257477466036,0.004640371229698376,7.560702015024059,2.5,0.0,1.254276384077311,1.254276384077311,Kunming
bus_BV10286896,5.5881872118423766e-05,5.486683509445919e-05,1.0150370239645788e-06,0.0003110304261091379,0.0069605568445475635,7.544606943298703,4.0,0.0,1.1773727630261481,1.1773727630261481,Kunming
bus_BV10288123,5.5881872118423766e-05,5.562618333897954e-05,2.5568877944422304e-07,0.002065416391021424,0.0069605568445475635,5.677920786224176,23.0,0.0,1.0036186330196226,1.0036186330196226,Kunming
bus_BV10801215,5.5881872118423766e-05,5.572107093912051e-05,1.6080117930325765e-07,1.863276529046054e-05,0.0,17.704060322876746,2.5,0.0,0.8513431493433524,0.8513431493433524,Kunming
bus_BV10801217,5.5881872118423766e-05,5.555937664362216e-05,3.2249547480160337e-07,1.863276529046054e-05,0.0,7.88870832862789,57.0,0.1,0.7882770412411662,0.7882770412411662,Kunming
bus_BV10286972,5.5881872118423766e-05,5.378359168253782e-05,2.098280435885945e-06,1.863276529046054e-05,0.0,6.122702355782558,13.0,0.0,0.7877977768657621,0.7877977768657621,Kunming
bus_BV10391663,5.5881872118423766e-05,5.582822718924901e-05,5.364492917475606e-08,0.001188223408565281,0.004640371229698376,5.988367624129265,23.0,0.0,0.4614859826709674,0.4614859826709674,Kunming
bus_BV10287843,5.5881872118423766e-05,5.5808253591606723e-05,7.361852681704215e-08,1.863276529046054e-05,0.0,7.720912202770795,13.0,0.07692307692307693,0.45625053172549446,0.45625053172549446,Kunming
bus_BV11494087,5.5881872118423766e-05,5.568489633265138e-05,1.9697578577238363e-07,1.863276529046054e-05,0.0,13.210361649087966,1.0,0.0,0.44118745548038074,0.44118745548038074,Kunming
bus_BV11000139,5.5881872118423766e-05,5.5838778997767384e-05,4.309312065638117e-08,1.863276529046054e-05,0.0,6.029653258014306,23.0,0.08333333333333333,0.3286347899030416,0.3286347899030416,Kunming
bus_BV10287603,5.5881872118423766e-05,5.5796376246036035e-05,8.549587238773073e-08,0.0006034280869279263,0.004640371229698376,5.809615915644537,6.0,0.0,0.3236230664153674,0.3236230664153674,Kunming
bus_BV10287243,5.5881872118423766e-05,5.587251655603131e-05,9.355562392455584e-09,1.863276529046054e-05,0.0,5.1532440357335165,23.0,0.08333333333333333,0.2266661511482858,0.2266661511482858,Kunming
bus_BV10287088,5.5881872118423766e-05,5.586871494713801e-05,1.3157171285753237e-08,1.863276529046054e-05,0.0,4.989211898083018,13.0,0.07692307692307693,0.16250056646596817,0.16250056646596817,Kunming
bus_BV10287132,5.5881872118423766e-05,5.581223511588995e-05,6.963700253381235e-08,0.0003110304261091379,0.002320185614849188,5.749190234624191,23.0,0.0,-0.015736948456152353,-0.015736948456152353,Kunming
bus_BV10288230,5.5881872118423766e-05,5.517017837460302e-05,7.116937438207455e-07,1.863276529046054e-05,0.0,5.308932276133782,57.0,0.0,-0.03698322658276352,-0.03698322658276352,Kunming
