node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV09385716,3.8806802820527926e-05,3.795308695202464e-05,8.537158685032836e-07,0.03723431850167258,0.11170212765957446,4.867974456913314,322.0,0.0,3.216755538212404,3.216755538212404,Lanzhou
bus_BV10295518,3.8806802820527926e-05,3.8184596998175896e-05,6.222058223520293e-07,0.0021967782800065283,0.013297872340425532,8.312218155108411,44.5,0.0,0.7986507532835168,0.7986507532835168,Lanzhou
bus_BV10295161,3.8806802820527926e-05,3.8717462201725e-05,8.93406188029236e-08,5.162275623105117e-05,0.0,5.208997672417167,124.0,0.14285714285714285,0.7664243422769899,0.7664243422769899,Lanzhou
bus_BV10295241,3.8806802820527926e-05,3.833710819265183e-05,4.6969462787609806e-07,5.162275623105117e-05,0.0,11.60169216484472,1.0,0.0,0.7595389898592178,0.7595389898592178,Lanzhou
bus_BV10295754,3.8806802820527926e-05,3.866312383454524e-05,1.4367898598268813e-07,0.0007666745974894695,0.005319148936170213,13.102663087400687,2.0,0.0,0.7138490588038934,0.7138490588038934,Lanzhou
bus_BV10295620,3.8806802820527926e-05,3.827735332990796e-05,5.294494906199647e-07,5.162275623105117e-05,0.0,8.799106886987456,124.0,0.0,0.5164807552358436,0.5164807552358436,Lanzhou
bus_BV10295149,3.8806802820527926e-05,3.87802051091573e-05,2.6597711370628314e-08,5.162275623105117e-05,0.0,6.274332191962507,25.0,0.1,0.5113838848621683,0.5113838848621683,Lanzhou
bus_BV10295144,3.8806802820527926e-05,3.832007364173818e-05,4.867291787897453e-07,5.162275623105117e-05,0.0,9.031869333195742,10.0,0.0,0.5020041075762377,0.5020041075762377,Lanzhou
bus_BV11329603,3.8806802820527926e-05,3.874482394382987e-05,6.197887669805386e-08,5.162275623105117e-05,0.0,5.6229881542679685,25.0,0.1,0.47462738932131154,0.47462738932131154,Lanzhou
bus_BV10295658,3.8806802820527926e-05,3.827620733928033e-05,5.305954812475942e-07,0.003269356041894267,0.007978723404255319,5.728289669880355,76.0,0.0,0.4139899292959289,0.4139899292959289,Lanzhou
bus_BV11292669,3.8806802820527926e-05,3.804695532858267e-05,7.598474919452578e-07,5.162275623105117e-05,0.0,5.762549205002212,10.0,0.0,0.40521019275489617,0.40521019275489617,Lanzhou
bus_BV10295148,3.8806802820527926e-05,3.85703627832127e-05,2.3644003731522272e-07,0.003984407883152685,0.013297872340425532,5.693787511772861,44.5,0.0,0.23432771254886225,0.23432771254886225,Lanzhou
bus_BV11671399,3.8806802820527926e-05,3.8736936369499316e-05,6.986645102860972e-08,0.003626881962523476,0.018617021276595744,6.568538512658135,44.5,0.0,0.22754417248832487,0.22754417248832487,Lanzhou
bus_BV10926067,3.8806802820527926e-05,3.877648052055994e-05,3.0322299967982527e-08,0.00040914867686026035,0.0,9.79150381689877,3.0,0.0,0.17738297464332403,0.17738297464332403,Lanzhou
bus_BV10295293,3.8806802820527926e-05,3.8791310722053246e-05,1.5492098474679833e-08,5.162275623105117e-05,0.0,9.70109018897256,10.0,0.0,0.14052307991072555,0.14052307991072555,Lanzhou
bus_BV10295153,3.8806802820527926e-05,3.87818472072994e-05,2.4955613228527373e-08,5.162275623105117e-05,0.0,9.14030758242308,6.0,0.0,0.08959959235534526,0.08959959235534526,Lanzhou
bus_BV10295147,3.8806802820527926e-05,3.870737097472479e-05,9.943184580313595e-08,5.162275623105117e-05,0.0,7.578197622841311,14.5,0.0,-0.008080525610378066,-0.008080525610378066,Lanzhou
bus_BV11420907,3.8806802820527926e-05,3.84427056260348e-05,3.6409719449312757e-07,5.162275623105117e-05,0.0,4.804225486177104,124.0,0.0,-0.05997894905667331,-0.05997894905667331,Lanzhou
bus_BV09191992,3.8806802820527926e-05,3.8829426592586265e-05,-2.2623772058339234e-08,5.162275623105117e-05,0.0,7.924947826426346,25.0,0.0,-0.0832740522098858,-0.0832740522098858,Lanzhou
bus_BV10376948,3.8806802820527926e-05,3.872967875102952e-05,7.71240694984082e-08,0.003269356041894267,0.007978723404255319,4.938771227144526,14.5,0.0,-0.08624603719412349,-0.08624603719412349,Lanzhou
bus_BV11237215,3.8806802820527926e-05,3.877620998449338e-05,3.0592836034547114e-08,5.162275623105117e-05,0.0,7.432235996622883,14.5,0.0,-0.08679402285507716,-0.08679402285507716,Lanzhou
bus_BV09000669,3.8806802820527926e-05,3.8673506095767013e-05,1.3329672476091218e-07,5.162275623105117e-05,0.0,5.634150992110001,6.0,0.0,-0.18364398705449297,-0.18364398705449297,Lanzhou
bus_BV10982372,3.8806802820527926e-05,3.880557796204863e-05,1.2248584792980935e-09,5.162275623105117e-05,0.0,6.4148851475804864,25.0,0.0,-0.22190022463053616,-0.22190022463053616,Lanzhou
bus_BV11282577,3.8806802820527926e-05,3.876312684989521e-05,4.3675970632712406e-08,5.162275623105117e-05,0.0,6.018906532837033,14.5,0.0,-0.22502067702422487,-0.22502067702422487,Lanzhou
bus_BV11264014,3.8806802820527926e-05,3.8806147592474484e-05,6.552280534414872e-10,5.162275623105117e-05,0.0,6.341583823517259,25.0,0.0,-0.23021514200024576,-0.23021514200024576,Lanzhou
bus_BV10295150,3.8806802820527926e-05,3.8785189906894215e-05,2.1612913633710742e-08,5.162275623105117e-05,0.0,6.133101469034401,76.0,0.0,-0.23313670310414852,-0.23313670310414852,Lanzhou
bus_BV11101865,3.8806802820527926e-05,3.877706503297398e-05,2.9737787553946703e-08,5.162275623105117e-05,0.0,5.939731699580341,6.0,0.0,-0.24623296081767315,-0.24623296081767315,Lanzhou
bus_BV10295340,3.8806802820527926e-05,3.874318329366296e-05,6.361952686496507e-08,5.162275623105117e-05,0.0,5.404478588267858,25.0,0.0,-0.2720254814284404,-0.2720254814284404,Lanzhou
bus_BV10377209,3.8806802820527926e-05,3.8753374271139735e-05,5.3428549388190435e-08,0.0007666745974894695,0.0026595744680851063,4.834483521666789,124.0,0.0,-0.28131057663865816,-0.28131057663865816,Lanzhou
bus_BV11027562,3.8806802820527926e-05,3.880420065989256e-05,2.60216063536448e-09,5.162275623105117e-05,0.0,5.7096356256564045,76.0,0.0,-0.2956041715307753,-0.2956041715307753,Lanzhou
bus_BV11138681,3.8806802820527926e-05,3.8805991044248794e-05,8.117762791316633e-10,5.162275623105117e-05,0.0,5.592650977761467,14.5,0.0,-0.30968336230076166,-0.30968336230076166,Lanzhou
bus_BV09006489,3.8806802820527926e-05,3.8841239571604664e-05,-3.443675107673785e-08,5.162275623105117e-05,0.0,5.815373566119733,25.0,0.0,-0.31836777477651845,-0.31836777477651845,Lanzhou
bus_BV11051760,3.8806802820527926e-05,3.8804391234623904e-05,2.4115859040214948e-09,5.162275623105117e-05,0.0,5.464715973207899,6.0,0.0,-0.3218142114741677,-0.3218142114741677,Lanzhou
bus_BV10295669,3.8806802820527926e-05,3.875830412349489e-05,4.849869703303373e-08,5.162275623105117e-05,0.0,5.062439576992854,201.5,0.0,-0.32226608972764303,-0.32226608972764303,Lanzhou
bus_BV11027568,3.8806802820527926e-05,3.880149105394859e-05,5.3117665793335706e-09,5.162275623105117e-05,0.0,5.417123238406359,14.5,0.0,-0.32421083023847397,-0.32421083023847397,Lanzhou
bus_BV11113303,3.8806802820527926e-05,3.881020837393805e-05,-3.405553410122306e-09,5.162275623105117e-05,0.0,5.3995654394225845,44.5,0.0,-0.3340801750535954,-0.3340801750535954,Lanzhou
bus_BV11556197,3.8806802820527926e-05,3.8733974801489843e-05,7.282801903808224e-08,5.162275623105117e-05,0.0,4.726233800190721,201.5,0.0,-0.33566938183152506,-0.33566938183152506,Lanzhou
bus_BV10999219,3.8806802820527926e-05,3.875713500064953e-05,4.966781987839601e-08,5.162275623105117e-05,0.0,4.869310245996888,25.0,0.0,-0.341722521016819,-0.341722521016819,Lanzhou
bus_BV10952247,3.8806802820527926e-05,3.885115625076506e-05,-4.435343023713174e-08,0.00040914867686026035,0.0,5.508219861477935,124.0,0.0,-0.34648837984240793,-0.34648837984240793,Lanzhou
bus_BV10295670,3.8806802820527926e-05,3.87785388655764e-05,2.826395495152432e-08,5.162275623105117e-05,0.0,4.9433484053737455,201.5,0.0,-0.3535020609824865,-0.3535020609824865,Lanzhou
bus_BV11361662,3.8806802820527926e-05,3.8802227799625204e-05,4.575020902721492e-09,5.162275623105117e-05,0.0,5.095324628949837,6.0,0.0,-0.35909455474622337,-0.35909455474622337,Lanzhou
bus_BV10950339,3.8806802820527926e-05,3.878156374429325e-05,2.5239076234673935e-08,5.162275623105117e-05,0.0,4.901836232074265,201.5,0.0,-0.36069181805041717,-0.36069181805041717,Lanzhou
bus_BV10954990,3.8806802820527926e-05,3.8782199977711435e-05,2.4602842816490297e-08,5.162275623105117e-05,0.0,4.7723830881430445,76.0,0.0,-0.3750368471388511,-0.3750368471388511,Lanzhou
bus_BV09079478,3.8806802820527926e-05,3.879669687873281e-05,1.0105941795112761e-08,5.162275623105117e-05,0.0,4.801531686219326,25.0,0.0,-0.3852472269188869,-0.3852472269188869,Lanzhou
bus_BV10466938,3.8806802820527926e-05,3.879421422449154e-05,1.2588596036384537e-08,0.00040914867686026035,0.0,4.53663076807922,201.5,0.0,-0.3974931224560801,-0.3974931224560801,Lanzhou
bus_BV09390893,3.8806802820527926e-05,3.880663404630163e-05,1.6877422629759092e-10,5.162275623105117e-05,0.0,4.729734172941047,124.0,0.0,-0.4020021626923952,-0.4020021626923952,Lanzhou
bus_BV11448894,3.8806802820527926e-05,3.885777249512289e-05,-5.0969674594967716e-08,5.162275623105117e-05,0.0,5.111370642573572,201.5,0.0,-0.4083817032740239,-0.4083817032740239,Lanzhou
bus_BV10295273,3.8806802820527926e-05,3.878857704305969e-05,1.8225777468232937e-08,5.162275623105117e-05,0.0,4.507540497123805,25.0,0.0,-0.40904421769330557,-0.40904421769330557,Lanzhou
bus_BV09390889,3.8806802820527926e-05,3.8854391682892274e-05,-4.758886236434849e-08,5.162275623105117e-05,0.0,4.674392880990515,322.0,0.0,-0.451728902772341,-0.451728902772341,Lanzhou
bus_BV10996684,3.8806802820527926e-05,3.899423091439709e-05,-1.874280938691611e-07,5.162275623105117e-05,0.0,4.691371079855079,124.0,0.0,-0.5783036192867306,-0.5783036192867306,Lanzhou
