node,mean_score,std_score,boot_times,stability_score,city
bus_BV11159503,2.7317117865656124,0.1860257864540183,10,14.68458589419793,Luoyang
bus_BV10377949,0.47668786981992756,0.060095957333603844,10,7.932110771655357,Luoyang
bus_BV10098850,0.3159098354475265,0.04333396724570631,10,7.290118644229176,Luoyang
bus_BV09140008,1.3778000870056615,0.1978050036539169,10,6.965445726346879,Luoyang
bus_BV11694024,0.7742443823927908,0.12370053780078075,10,6.2590214526754435,Luoyang
bus_BV10098459,1.3268258717763175,0.46475690724257923,10,2.854881385409876,Luoyang
bus_BV10377927,0.21917150246944664,0.09413176461384272,10,2.3283477164703954,Luoyang
bus_BV11380524,0.2665469392059524,0.1453388301749307,10,1.8339690813903213,Luoyang
bus_BV11402631,0.40572744165609065,0.28443716329336993,10,1.4264220001849806,Luoyang
bus_BV10955172,0.2623002338518524,0.34472483329274495,10,0.7608973909347855,Luoyang
bus_BV10615991,0.18241928277144928,0.3067352992052555,10,0.5947123702324772,Luoyang
bus_BV10098576,0.56204290034214,0.0,1,0.56204290034214,Luoyang
bus_BV11115968,0.044744095050913854,0.1522585564897466,10,0.29386914695487437,Luoyang
bus_BV11047506,-0.020252274825824555,0.1050089974627418,10,-0.19286226310643168,Luoyang
bus_BV10741722,-0.1252659742305215,0.37536628626263285,10,-0.3337166268728521,Luoyang
bus_BV10098587,-0.04554531798648881,0.10121323639594802,10,-0.44999364814675263,Luoyang
bus_BV11523675,-0.1687380589188631,0.3081606955661093,10,-0.5475651368622141,Luoyang
bus_BV10740549,-0.2026205494965274,0.3400071795277655,5,-0.5959301912937377,Luoyang
bus_BV10098331,-0.09336484834090494,0.13283482751793357,10,-0.7028641739280186,Luoyang
bus_BV11542213,-0.13837143404664526,0.12714216946490153,10,-1.0883204506089472,Luoyang
bus_BV10098052,-0.08817569145162213,0.07475341636984568,10,-1.179553844333091,Luoyang
bus_BV11178527,-0.07070129292856384,0.049371803495066174,10,-1.4320173379012937,Luoyang
bus_BV10098983,-0.22883987884768767,0.1525479577920026,8,-1.5001175181809583,Luoyang
bus_BV11271702,-0.21242058274975806,0.12783970546122947,9,-1.6616165170844723,Luoyang
bus_BV10098182,-0.10276526316837531,0.05050041524785126,10,-2.0349385705964496,Luoyang
bus_BV10098095,-0.27044001086383523,0.13185746067577087,10,-2.0510025672252583,Luoyang
bus_BV10098206,-0.19378336401145363,0.08874402385769596,10,-2.1836213161348037,Luoyang
bus_BV11621401,-0.1746306170473806,0.0764437686588615,10,-2.2844320376506806,Luoyang
bus_BV10098153,-0.1387270950565117,0.05603227707302952,10,-2.4758420957492264,Luoyang
bus_BV11107700,-0.2328936795323754,0.08795409795951946,10,-2.6478999666458316,Luoyang
bus_BV10098606,-0.1541937904701615,0.05022903377915577,10,-3.069813376263185,Luoyang
bus_BV11622635,-0.27543104301267174,0.08941584833078399,4,-3.0803377404681993,Luoyang
bus_BV11517923,-0.2787150425314774,0.07224073774592306,10,-3.8581417168014687,Luoyang
bus_BV10098403,-0.27489491013128176,0.06979906528859564,10,-3.9383746703618066,Luoyang
bus_BV11374784,-0.30291796110546315,0.06504522515914817,10,-4.6570353749095466,Luoyang
bus_BV10098473,-0.20060664944795428,0.04300404784878026,10,-4.664830703962141,Luoyang
bus_BV10565244,-0.28095660425799507,0.05819003696910509,10,-4.828258764031651,Luoyang
bus_BV10619150,-0.2568414417231779,0.05087755844101283,10,-5.04822556567259,Luoyang
bus_BV10501511,-0.25610173001133046,0.04973314373371191,10,-5.149517188927643,Luoyang
bus_BV10762319,-0.2801087266186338,0.05410293263037115,6,-5.17732886605307,Luoyang
bus_BV11324698,-0.1783203627384822,0.030127219616252133,10,-5.9189100693907575,Luoyang
bus_BV09408139,-0.2808880208128076,0.04285958678462286,10,-6.553678566420495,Luoyang
bus_BV11416364,-0.3118498793234296,0.04474714711649339,10,-6.969155124460065,Luoyang
bus_BV10441389,-0.2490665907055197,0.03560612814126842,10,-6.995046464105164,Luoyang
bus_BV10098706,-0.3236609830326842,0.04405671162147451,10,-7.346460905863739,Luoyang
bus_BV10761771,-0.25412279596063786,0.034529159029316824,10,-7.3596557086235155,Luoyang
bus_BV11013452,-0.23591978309945386,0.0313095149849713,10,-7.535080241961393,Luoyang
bus_BV11194423,-0.3746595292881375,0.04885795579186837,10,-7.668340734531637,Luoyang
bus_BV10098679,-0.34514274968621,0.02997579466035714,10,-11.51404453014266,Luoyang
bus_BV10098678,-0.32125319258365603,0.027602527281972142,10,-11.638538490208795,Luoyang
bus_BV11040786,-0.314125481323305,0.025075962318095453,10,-12.526951192102892,Luoyang
bus_BV11185673,-0.38685443726450325,0.022761126714370535,5,-16.996270534250502,Luoyang
bus_BV10098064,-0.3277753658303132,0.01861685198885297,2,-17.60637029089929,Luoyang
bus_BV11142974,-0.3696205501294631,0.020462670333834268,10,-18.063154195802465,Luoyang
