node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10267262,4.7794239226092545e-05,4.743401400652872e-05,3.602252195638271e-07,0.000421511379218531,0.003257328990228013,5.8690557240182715,8.5,0.0,1.820860149158695,1.820860149158695,Nanning
bus_BV10267705,4.7794239226092545e-05,4.7762527618923135e-05,3.171160716941031e-08,0.0011208120785192177,0.0,10.684897787919674,3.0,0.0625,1.2200218824966924,1.2200218824966924,Nanning
bus_BV09048174,4.7794239226092545e-05,4.716544235943086e-05,6.287968666616878e-07,7.186102956813212e-05,0.0,9.706602978149686,26.0,0.0,1.1154577363443356,1.1154577363443356,Nanning
bus_BV10268046,4.7794239226092545e-05,4.7607341448418585e-05,1.8689777767396098e-07,7.186102956813212e-05,0.0,6.988970424137123,238.0,0.16666666666666666,1.028521490515113,1.028521490515113,Nanning
bus_BV11027039,4.7794239226092545e-05,4.7673210742537606e-05,1.21028483554939e-07,7.186102956813212e-05,0.0,10.017788434308375,1.5,0.058823529411764705,0.7474153048341681,0.7474153048341681,Nanning
bus_BV10751440,4.7794239226092545e-05,4.77736020676183e-05,2.0637158474245878e-08,0.0021697631274703033,0.0,5.476160998411649,138.5,0.0,0.6764445330050696,0.6764445330050696,Nanning
bus_BV10267371,4.7794239226092545e-05,4.722247441825246e-05,5.71764807840084e-07,7.186102956813212e-05,0.0,5.222693236744455,77.5,0.0,0.44614224571218175,0.44614224571218175,Nanning
bus_BV11177634,4.7794239226092545e-05,4.7794239226092545e-05,0.0,0.0014704624281696166,0.0,6.4463109538821355,238.0,0.0,0.44523294155505266,0.44523294155505266,Nanning
bus_BV10267430,4.7794239226092545e-05,4.761000198960391e-05,1.842372364886362e-07,7.186102956813212e-05,0.0,4.615509174480827,45.0,0.1111111111111111,0.41295983241953926,0.41295983241953926,Nanning
bus_BV09046191,4.7794239226092545e-05,4.7725552938083254e-05,6.86862880092912e-08,7.186102956813212e-05,0.0,4.84235937865505,45.0,0.1111111111111111,0.27720067982101715,0.27720067982101715,Nanning
bus_BV09320876,4.7794239226092545e-05,4.7733639052292724e-05,6.060017379982144e-08,7.186102956813212e-05,0.0,5.249178641081541,26.0,0.1,0.2587956070010305,0.2587956070010305,Nanning
