node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10560460,1.898942603850736e-05,1.6524773574442648e-05,2.4646524640647123e-06,0.12626644678656396,0.2803347280334728,27.325668909998317,1.0,0.0,4.961264247203998,4.961264247203998,Nantong
bus_BV10565604,1.898942603850736e-05,1.8825650950990915e-05,1.6377508751644527e-07,0.0028175533491839877,0.010460251046025104,12.131240525469174,4.0,0.06666666666666667,0.6996296322137003,0.6996296322137003,Nantong
bus_BV11376426,1.898942603850736e-05,1.8985309319278523e-05,4.116719228837673e-09,3.174431440600145e-06,0.0,12.539260801601003,14.5,0.08333333333333333,0.6739491991724682,0.6739491991724682,Nantong
bus_BV10137437,1.898942603850736e-05,1.8963846539507524e-05,2.5579498999836182e-08,0.0001311007458834057,0.0,5.8238287715513986,52.5,0.1111111111111111,0.6062455537563809,0.6062455537563809,Nantong
bus_BV09098772,1.898942603850736e-05,1.8984243675903684e-05,5.182362603676718e-09,0.0001311007458834057,0.0,5.689519518685789,35.0,0.1,0.49926810559223134,0.49926810559223134,Nantong
bus_BV10137144,1.898942603850736e-05,1.897655949491414e-05,1.2866543593220996e-08,3.174431440600145e-06,0.0,23.149982399456658,2.0,0.0,0.4917810732554058,0.4917810732554058,Nantong
bus_BV10707090,1.898942603850736e-05,1.898637546306062e-05,3.0505754467404086e-09,3.174431440600145e-06,0.0,18.92637200616671,7.0,0.0,0.29472788265748895,0.29472788265748895,Nantong
bus_BV10137320,1.898942603850736e-05,1.898248922670888e-05,6.936811798480708e-09,3.174431440600145e-06,0.0,16.519001828888094,7.0,0.0,0.18790927127845736,0.18790927127845736,Nantong
bus_BV11470836,1.898942603850736e-05,1.883822463056183e-05,1.5120140794553023e-07,0.0001311007458834057,0.0,13.371285150421704,22.5,0.0,0.13039391521595609,0.13039391521595609,Nantong
bus_BV10460325,1.898942603850736e-05,1.8983645281672132e-05,5.780756835228781e-09,3.174431440600145e-06,0.0,12.813479116429336,10.0,0.0,0.019350792704421485,0.019350792704421485,Nantong
bus_BV10943646,1.898942603850736e-05,1.8939508884444196e-05,4.9917154063164424e-08,3.174431440600145e-06,0.0,11.640211038588928,14.5,0.0,-0.008214719175526207,-0.008214719175526207,Nantong
bus_BV10469756,1.898942603850736e-05,1.8976033777137306e-05,1.3392261370054651e-08,3.174431440600145e-06,0.0,10.69071023334402,52.5,0.0,-0.07241314428797357,-0.07241314428797357,Nantong
bus_BV10137914,1.898942603850736e-05,1.90014337003664e-05,-1.200766185904112e-08,3.174431440600145e-06,0.0,10.77455679267264,4.0,0.0,-0.0833423481753578,-0.0833423481753578,Nantong
bus_BV11475824,1.898942603850736e-05,1.8976023537983383e-05,1.3402500523977033e-08,3.174431440600145e-06,0.0,10.3335445774774,14.5,0.0,-0.08858950672118177,-0.08858950672118177,Nantong
bus_BV11482188,1.898942603850736e-05,1.8848432720153e-05,1.4099331835436016e-07,3.174431440600145e-06,0.0,8.67605320504935,22.5,0.0,-0.08970313845174399,-0.08970313845174399,Nantong
bus_BV10137488,1.898942603850736e-05,1.8974713319997818e-05,1.4712718509542639e-08,3.174431440600145e-06,0.0,9.836209427500828,14.5,0.0,-0.11036281536523312,-0.11036281536523312,Nantong
bus_BV10493310,1.898942603850736e-05,1.8821626966347273e-05,1.6779907216008788e-07,0.0001311007458834057,0.0,7.673923186608912,88.0,0.0,-0.1181154606449126,-0.1181154606449126,Nantong
bus_BV11168421,1.898942603850736e-05,1.8833983722057315e-05,1.5544231645004555e-07,0.001538290204755155,0.006276150627615063,6.302192465792236,531.0,0.0,-0.13950482402174152,-0.13950482402174152,Nantong
bus_BV10493274,1.898942603850736e-05,1.8982973269572952e-05,6.452768934408251e-09,3.174431440600145e-06,0.0,9.249292531075728,158.0,0.0,-0.1417440923212936,-0.1417440923212936,Nantong
bus_BV10137477,1.898942603850736e-05,1.8957451378465283e-05,3.1974660042077054e-08,0.0001311007458834057,0.0,8.65038133454344,35.0,0.0,-0.1526320037348478,-0.1526320037348478,Nantong
bus_BV11260065,1.898942603850736e-05,1.8989161340580247e-05,2.6469792711395217e-10,3.174431440600145e-06,0.0,8.95929632361455,10.0,0.0,-0.15847124742042146,-0.15847124742042146,Nantong
bus_BV10138189,1.898942603850736e-05,1.898874025546442e-05,6.857830429391084e-10,3.174431440600145e-06,0.0,8.642763217686207,4.0,0.0,-0.17256842064022693,-0.17256842064022693,Nantong
bus_BV09366804,1.898942603850736e-05,1.8906294449919093e-05,8.313158858826768e-08,3.174431440600145e-06,0.0,7.478844982321628,531.0,0.0,-0.17749669373614502,-0.17749669373614502,Nantong
bus_BV10492684,1.898942603850736e-05,1.8835831730919006e-05,1.5359430758835448e-07,3.174431440600145e-06,0.0,6.31862503421549,158.0,0.0,-0.18920577107509806,-0.18920577107509806,Nantong
bus_BV11596037,1.898942603850736e-05,1.89725711152218e-05,1.685492328556092e-08,0.00038695337476923886,0.0,7.914666778326982,35.0,0.0,-0.19183561517695297,-0.19183561517695297,Nantong
bus_BV09098771,1.898942603850736e-05,1.887550664221107e-05,1.1391939629629163e-07,3.174431440600145e-06,0.0,6.271460028247785,286.5,0.0,-0.21434810582972083,-0.21434810582972083,Nantong
bus_BV09194222,1.898942603850736e-05,1.898558571278127e-05,3.84032572609054e-09,3.174431440600145e-06,0.0,7.652622658130104,7.0,0.0,-0.21560010598292365,-0.21560010598292365,Nantong
bus_BV10137385,1.898942603850736e-05,1.8986098323287586e-05,3.3277152197748613e-09,3.174431440600145e-06,0.0,7.507763776937379,35.0,0.0,-0.22246054248420163,-0.22246054248420163,Nantong
bus_BV11482515,1.898942603850736e-05,1.8974200594234076e-05,1.522544427328486e-08,3.174431440600145e-06,0.0,7.230580952646257,14.5,0.0,-0.2281201459769443,-0.2281201459769443,Nantong
bus_BV09194190,1.898942603850736e-05,1.897966983514219e-05,9.75620336517109e-09,0.0017941428336408771,0.0,6.724547838321426,35.0,0.0,-0.23393991415397428,-0.23393991415397428,Nantong
bus_BV10138596,1.898942603850736e-05,1.9010233446527384e-05,-2.0807408020023495e-08,3.174431440600145e-06,0.0,7.5335531295648,158.0,0.0,-0.2352867846666115,-0.2352867846666115,Nantong
bus_BV10454390,1.898942603850736e-05,1.899446153353737e-05,-5.035495030008327e-09,3.174431440600145e-06,0.0,7.196338765232934,35.0,0.0,-0.2414198335060511,-0.2414198335060511,Nantong
bus_BV11073484,1.898942603850736e-05,1.8973480125283307e-05,1.5945913224053057e-08,3.174431440600145e-06,0.0,6.793038028783636,52.5,0.0,-0.24752638014398887,-0.24752638014398887,Nantong
bus_BV11683575,1.898942603850736e-05,1.8984895059072032e-05,4.5309794353287245e-09,3.174431440600145e-06,0.0,6.923306702548014,35.0,0.0,-0.24824314866704708,-0.24824314866704708,Nantong
bus_BV10453462,1.898942603850736e-05,1.8971117459478557e-05,1.8308579028803557e-08,3.174431440600145e-06,0.0,6.6459382839194445,88.0,0.0,-0.2528211224701985,-0.2528211224701985,Nantong
bus_BV10448360,1.898942603850736e-05,1.8988035525537717e-05,1.3905129696434998e-09,3.174431440600145e-06,0.0,6.799786666573309,35.0,0.0,-0.25566053054595334,-0.25566053054595334,Nantong
bus_BV10451420,1.898942603850736e-05,1.8989148778053307e-05,2.7726045405361273e-10,3.174431440600145e-06,0.0,6.762750087724144,52.5,0.0,-0.25798408392085215,-0.25798408392085215,Nantong
bus_BV10137379,1.898942603850736e-05,1.8964302615130515e-05,2.512342337684573e-08,3.174431440600145e-06,0.0,6.367756392810367,158.0,0.0,-0.2614732899776813,-0.2614732899776813,Nantong
bus_BV09106073,1.898942603850736e-05,1.8979257343722862e-05,1.0168694784498693e-08,3.174431440600145e-06,0.0,6.288508245483693,35.0,0.0,-0.27373529332332125,-0.27373529332332125,Nantong
bus_BV10443089,1.898942603850736e-05,1.898914187002733e-05,2.841684800304904e-10,3.174431440600145e-06,0.0,6.188771838615222,22.5,0.0,-0.2839856245637262,-0.2839856245637262,Nantong
bus_BV10752671,1.898942603850736e-05,1.897640502478873e-05,1.302101371862912e-08,3.174431440600145e-06,0.0,5.985435110990933,88.0,0.0,-0.28581288304606445,-0.28581288304606445,Nantong
bus_BV09183778,1.898942603850736e-05,1.898942603850736e-05,0.0,3.174431440600145e-06,0.0,6.070668724090301,10.0,0.0,-0.2895013613490206,-0.2895013613490206,Nantong
bus_BV10137141,1.898942603850736e-05,1.8978761248224352e-05,1.0664790283008242e-08,3.174431440600145e-06,0.0,5.896145258592702,35.0,0.0,-0.291224637811348,-0.291224637811348,Nantong
bus_BV10137679,1.898942603850736e-05,1.8985682233247735e-05,3.743805259625807e-09,3.174431440600145e-06,0.0,5.967201404858572,52.5,0.0,-0.29201837505306394,-0.29201837505306394,Nantong
bus_BV10559964,1.898942603850736e-05,1.898544752440013e-05,3.9785141072319055e-09,3.174431440600145e-06,0.0,5.829060678439874,22.5,0.0,-0.29814109707344205,-0.29814109707344205,Nantong
bus_BV10137052,1.898942603850736e-05,1.898845157860751e-05,9.74459899849968e-10,3.174431440600145e-06,0.0,5.819496502239183,22.5,0.0,-0.30031632020261867,-0.30031632020261867,Nantong
bus_BV10496219,1.898942603850736e-05,1.898665707102835e-05,2.7689674790115073e-09,3.174431440600145e-06,0.0,5.75384002328102,531.0,0.0,-0.3022505131784188,-0.3022505131784188,Nantong
bus_BV10137623,1.898942603850736e-05,1.8986638531550697e-05,2.787506956663144e-09,3.174431440600145e-06,0.0,5.737847038336254,52.5,0.0,-0.3029643660158887,-0.3029643660158887,Nantong
bus_BV10460321,1.898942603850736e-05,1.900580552488192e-05,-1.6379486374559538e-08,3.174431440600145e-06,0.0,5.700807918140408,22.5,0.0,-0.3157564537068445,-0.3157564537068445,Nantong
bus_BV10493311,1.898942603850736e-05,1.9012429187359823e-05,-2.3003148852462023e-08,3.174431440600145e-06,0.0,5.6978991394219305,286.5,0.0,-0.3197289584519456,-0.3197289584519456,Nantong
