node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10157308,1.8481324263110183e-05,1.8453031586107818e-05,2.8292677002364724e-08,0.002017940946692498,0.0029239766081871343,9.447985490594991,18.0,0.0,3.071982238019251,3.071982238019251,Qingdao
bus_BV09048417,1.8481324263110183e-05,1.8452167295608324e-05,2.9156967501858485e-08,0.0005441015951818118,0.0,7.16325573486338,318.5,0.14285714285714285,1.072106871289876,1.072106871289876,Qingdao
bus_BV09121113,1.8481324263110183e-05,1.8412403003788346e-05,6.892125932183655e-08,1.7730398213733345e-05,0.0,9.430767297344278,32.5,0.0,0.8185943350686204,0.8185943350686204,Qingdao
bus_BV11556857,1.8481324263110183e-05,1.847676667836414e-05,4.557584746043121e-09,1.7730398213733345e-05,0.0,11.567352985790397,107.0,0.1111111111111111,0.7426679654845373,0.7426679654845373,Qingdao
bus_BV10624620,1.8481324263110183e-05,1.8474556698285163e-05,6.7675648250195715e-09,1.7730398213733345e-05,0.0,10.015489139482138,107.0,0.1111111111111111,0.5863692492911623,0.5863692492911623,Qingdao
bus_BV11323156,1.8481324263110183e-05,1.8457167228115107e-05,2.4157034995076003e-08,1.7730398213733345e-05,0.0,7.00379678529246,107.0,0.1111111111111111,0.4631038404023909,0.4631038404023909,Qingdao
bus_BV10614269,1.8481324263110183e-05,1.8471005533892622e-05,1.0318729217560622e-08,1.7730398213733345e-05,0.0,7.460085854271625,107.0,0.1111111111111111,0.327788615494644,0.327788615494644,Qingdao
bus_BV11688664,1.8481324263110183e-05,1.847277219999918e-05,8.552063111002476e-09,0.00012300463760728242,0.0,11.178226713831346,188.0,0.0,0.27173774214924284,0.27173774214924284,Qingdao
bus_BV10158594,1.8481324263110183e-05,1.8436222150888604e-05,4.510211222157856e-08,1.7730398213733345e-05,0.0,7.435238836193399,107.0,0.0,0.2511664668514455,0.2511664668514455,Qingdao
bus_BV11245928,1.8481324263110183e-05,1.8476878214719236e-05,4.446048390946867e-09,1.7730398213733345e-05,0.0,11.999881159188686,7.5,0.0,0.24144595283892498,0.24144595283892498,Qingdao
bus_BV10393370,1.8481324263110183e-05,1.8480047304755534e-05,1.2769583546492526e-09,0.00012300463760728242,0.0,11.481440620996619,60.5,0.0,0.20821781671309061,0.20821781671309061,Qingdao
metro_BV10425284,1.8481324263110183e-05,1.8437825355454513e-05,4.3498907655669614e-08,1.7730398213733345e-05,0.0,7.005556683105782,546.0,0.0,0.17744445166776493,0.17744445166776493,Qingdao
bus_BV10393205,1.8481324263110183e-05,1.849746209278508e-05,-1.6137829674896844e-08,1.7730398213733345e-05,0.0,13.42049580010894,1.0,0.0,0.12941430608550575,0.12941430608550575,Qingdao
bus_BV10156446,1.8481324263110183e-05,1.8469462436295127e-05,1.186182681505582e-08,1.7730398213733345e-05,0.0,9.888065924824357,7.5,0.0,0.08934230640517105,0.08934230640517105,Qingdao
bus_BV09053351,1.8481324263110183e-05,1.8481324263110183e-05,0.0,1.7730398213733345e-05,0.0,7.289393816306634,32.5,0.09090909090909091,0.06511660510875045,0.06511660510875045,Qingdao
bus_BV10158541,1.8481324263110183e-05,1.8471963891580105e-05,9.360371530078084e-09,1.7730398213733345e-05,0.0,9.576236390874884,3.5,0.0,0.01745068985082586,0.01745068985082586,Qingdao
bus_BV10708382,1.8481324263110183e-05,1.8477695301104113e-05,3.628962006069924e-09,1.7730398213733345e-05,0.0,10.207731143483361,7.5,0.0,0.014637258897009828,0.014637258897009828,Qingdao
bus_BV10155882,1.8481324263110183e-05,1.845238499802964e-05,2.8939265080542113e-08,1.7730398213733345e-05,0.0,7.226935678497664,188.0,0.0,0.003957333911985342,0.003957333911985342,Qingdao
bus_BV10154505,1.8481324263110183e-05,1.8480163580380384e-05,1.1606827297989063e-09,1.7730398213733345e-05,0.0,6.6195140190440425,32.5,0.09090909090909091,0.0004897573978684434,0.0004897573978684434,Qingdao
bus_BV11319534,1.8481324263110183e-05,1.847112390033767e-05,1.0200362772514127e-08,1.7730398213733345e-05,0.0,9.248704435716496,60.5,0.0,-0.010402840155080945,-0.010402840155080945,Qingdao
bus_BV10154570,1.8481324263110183e-05,1.8481324263110183e-05,0.0,1.7730398213733345e-05,0.0,7.01412765955973,13.0,0.07692307692307693,-0.03744223434897942,-0.03744223434897942,Qingdao
bus_BV10155464,1.8481324263110183e-05,1.847892840722009e-05,2.3958558900944815e-09,1.7730398213733345e-05,0.0,9.831685579010763,60.5,0.0,-0.04754593346859167,-0.04754593346859167,Qingdao
bus_BV11031444,1.8481324263110183e-05,1.848119957783553e-05,1.246852746545409e-10,1.7730398213733345e-05,0.0,6.805941031599064,13.0,0.07692307692307693,-0.060771300245591076,-0.060771300245591076,Qingdao
bus_BV10154691,1.8481324263110183e-05,1.8481324263110183e-05,0.0,1.7730398213733345e-05,0.0,9.92639319716251,13.0,0.0,-0.06908367616942018,-0.06908367616942018,Qingdao
bus_BV10398382,1.8481324263110183e-05,1.8482310752029534e-05,-9.86488919350691e-10,1.7730398213733345e-05,0.0,9.90401887754535,107.0,0.0,-0.08533401007933111,-0.08533401007933111,Qingdao
bus_BV09247029,1.8481324263110183e-05,1.8479100916974634e-05,2.2233461355493497e-09,1.7730398213733345e-05,0.0,9.536526166780064,2.0,0.0,-0.08542181070818296,-0.08542181070818296,Qingdao
