node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10026905,2.9852612892073866e-05,2.9625188136670022e-05,2.2742475540384313e-07,0.000514673991237502,0.006085192697768763,10.361849796357578,125.0,0.0,2.223601621218824,2.223601621218824,Shanghai
bus_BV11187411,2.9852612892073866e-05,2.9823827153180394e-05,2.878573889347172e-08,0.001828584302577041,0.002028397565922921,8.616711848124897,77.0,0.0,1.3602552804430932,1.3602552804430932,Shanghai
bus_BV10026790,2.9852612892073866e-05,2.9815760168453573e-05,3.6852723620292544e-08,0.0010859393439938136,0.002028397565922921,10.791218310620103,22.5,0.0,1.0066475904149754,1.0066475904149754,Shanghai
bus_BV10025013,2.9852612892073866e-05,2.978639589249779e-05,6.621699957607625e-08,5.351737567549364e-07,0.0,32.43270768496823,1.0,0.0,0.9884796086746579,0.9884796086746579,Shanghai
bus_BV10430171,2.9852612892073866e-05,2.9754468184406845e-05,9.814470766702027e-08,5.351737567549364e-07,0.0,15.81747451451713,194.5,0.1,0.9069450608393057,0.9069450608393057,Shanghai
bus_BV10342666,2.9852612892073866e-05,2.975917390478646e-05,9.34389872874058e-08,0.00011478824430799506,0.0,25.521206052477353,3.0,0.0,0.8444120491983519,0.8444120491983519,Shanghai
bus_BV10026096,2.9852612892073866e-05,2.962850588157371e-05,2.2410701050015508e-07,5.351737567549364e-07,0.0,13.32886665944932,14.0,0.0,0.7036022914820922,0.7036022914820922,Shanghai
bus_BV10025630,2.9852612892073866e-05,2.9839057624590433e-05,1.3555267483432838e-08,0.00040042092068615087,0.0,9.891177642992913,77.0,0.08333333333333333,0.4671389643620745,0.4671389643620745,Shanghai
bus_BV10026178,2.9852612892073866e-05,2.980133445986195e-05,5.127843221191446e-08,5.7661709032319486e-05,0.0,7.976954423771876,125.0,0.09090909090909091,0.34229561920585916,0.34229561920585916,Shanghai
bus_BV10424709,2.9852612892073866e-05,2.975000545096111e-05,1.0260744111275689e-07,0.0003432943854105863,0.0,10.636505676449966,49.5,0.0,0.3308916705127495,0.3308916705127495,Shanghai
bus_BV10026128,2.9852612892073866e-05,2.982452057248121e-05,2.8092319592654954e-08,5.351737567549364e-07,0.0,9.535385172815031,77.0,0.08333333333333333,0.24456923092738242,0.24456923092738242,Shanghai
bus_BV10383682,2.9852612892073866e-05,2.9846153024733877e-05,6.45986733998808e-09,5.351737567549364e-07,0.0,7.660437772893487,194.5,0.1,0.16847009951835512,0.16847009951835512,Shanghai
bus_BV11452742,2.9852612892073866e-05,2.9849144408719315e-05,3.468483354550383e-09,5.351737567549364e-07,0.0,7.949221793470772,125.0,0.09090909090909091,0.11817346446567278,0.11817346446567278,Shanghai
bus_BV10338456,2.9852612892073866e-05,2.984575984931784e-05,6.853042756023924e-09,5.351737567549364e-07,0.0,7.6383934026479015,125.0,0.09090909090909091,0.11670052315194623,0.11670052315194623,Shanghai
bus_BV10028878,2.9852612892073866e-05,2.9734060306404178e-05,1.185525856696874e-07,5.351737567549364e-07,0.0,9.37745804202967,77.0,0.0,0.1088294605884844,0.1088294605884844,Shanghai
bus_BV11655120,2.9852612892073866e-05,2.9870699206675906e-05,-1.808631460204052e-08,5.351737567549364e-07,0.0,7.708246649833401,125.0,0.09090909090909091,0.023290446407170984,0.023290446407170984,Shanghai
bus_BV10024773,2.9852612892073866e-05,2.9851974573310344e-05,6.383187635213461e-10,5.351737567549364e-07,0.0,8.478535438438513,22.5,0.06666666666666667,-0.007302142310918025,-0.007302142310918025,Shanghai
