node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10880616,2.094175467837277e-05,2.0893309033472015e-05,4.844564490075624e-08,0.003558656542402061,0.004081632653061225,6.485613750856351,39.5,0.0,2.2990109206931675,2.2990109206931675,Shaoxing
bus_BV09165468,2.094175467837277e-05,2.0936789747519463e-05,4.9649308533073464e-09,1.409686015585443e-06,0.0,10.054937411042008,69.5,0.1,1.5214898082882706,1.5214898082882706,Shaoxing
bus_BV10200196,2.094175467837277e-05,2.0914397642134813e-05,2.735703623795818e-08,0.0011595830811181873,0.0020408163265306124,8.698877639880982,111.5,0.0,1.0585899427592598,1.0585899427592598,Shaoxing
bus_BV10626993,2.094175467837277e-05,2.076477780759268e-05,1.7697687078009142e-07,1.409686015585443e-06,0.0,9.226299571290305,354.0,0.0,0.9936859246202124,0.9936859246202124,Shaoxing
bus_BV10560174,2.094175467837277e-05,2.0850905787191378e-05,9.084889118139258e-08,0.002317756476220789,0.0,7.35307138237801,69.5,0.0,0.9787412306470212,0.9787412306470212,Shaoxing
bus_BV11207062,2.094175467837277e-05,2.0831837779397408e-05,1.099168989753632e-07,1.409686015585443e-06,0.0,7.883511259884072,39.5,0.0,0.4219899500930109,0.4219899500930109,Shaoxing
bus_BV10765395,2.094175467837277e-05,2.0923936749231104e-05,1.781792914166646e-08,1.409686015585443e-06,0.0,11.725303828556642,39.5,0.0,0.3895471488472216,0.3895471488472216,Shaoxing
bus_BV10378128,2.094175467837277e-05,2.0853957549530615e-05,8.779712884215572e-08,1.409686015585443e-06,0.0,8.394566005998325,199.5,0.0,0.3597040995501678,0.3597040995501678,Shaoxing
bus_BV10198828,2.094175467837277e-05,2.0941473821637533e-05,2.808567352379735e-10,1.409686015585443e-06,0.0,12.227629544197027,1.5,0.0,0.35302625171357344,0.35302625171357344,Shaoxing
bus_BV10198825,2.094175467837277e-05,2.0930985127002794e-05,1.0769551369976523e-08,1.409686015585443e-06,0.0,11.572573650827453,1.5,0.0,0.3279236631197132,0.3279236631197132,Shaoxing
bus_BV11262356,2.094175467837277e-05,2.0939119342555356e-05,2.635335817414476e-09,0.0013250364232756384,0.0,7.87243066832503,39.5,0.0,0.21258705510310022,0.21258705510310022,Shaoxing
bus_BV11392282,2.094175467837277e-05,2.0922483672557033e-05,1.9271005815737336e-08,1.409686015585443e-06,0.0,10.151100026835234,15.0,0.0,0.18968785670491384,0.18968785670491384,Shaoxing
bus_BV10959918,2.094175467837277e-05,2.087648208647366e-05,6.527259189910962e-08,1.409686015585443e-06,0.0,7.5491767114385135,199.5,0.0,0.11547260603736308,0.11547260603736308,Shaoxing
bus_BV11428658,2.094175467837277e-05,2.0940173392963967e-05,1.5812854088033998e-09,1.409686015585443e-06,0.0,10.139450857243977,7.5,0.0,0.08422955970002853,0.08422955970002853,Shaoxing
bus_BV10728372,2.094175467837277e-05,2.0916154927047778e-05,2.5599751324992845e-08,1.409686015585443e-06,0.0,9.01089547976503,199.5,0.0,0.07592350845066219,0.07592350845066219,Shaoxing
bus_BV10198907,2.094175467837277e-05,2.093157934577059e-05,1.0175332602181355e-08,1.409686015585443e-06,0.0,9.407704916409516,3.5,0.0,0.03784475771168756,0.03784475771168756,Shaoxing
bus_BV10656898,2.094175467837277e-05,2.0931800901535497e-05,9.953776837273373e-09,1.409686015585443e-06,0.0,9.22356795513169,111.5,0.0,0.01216695580338837,0.01216695580338837,Shaoxing
bus_BV10728385,2.094175467837277e-05,2.0922273142689846e-05,1.948153568292457e-08,1.409686015585443e-06,0.0,8.466568224278287,15.0,0.0,-0.03207599855984229,-0.03207599855984229,Shaoxing
bus_BV10881649,2.094175467837277e-05,2.093411335509515e-05,7.641323277620782e-09,1.409686015585443e-06,0.0,8.962688620047253,6.0,0.0,-0.03595283595352389,-0.03595283595352389,Shaoxing
