node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10085752,4.6581949367598004e-05,4.562949917928541e-05,9.524501883125932e-07,0.0105722866722614,0.018072289156626505,6.066020477933986,94.5,0.0,3.520950555231596,3.520950555231596,Taiyuan
bus_BV10084988,4.6581949367598004e-05,4.540608513448518e-05,1.1758642331128233e-06,7.637122348969072e-07,0.0,19.949016253669505,1.0,0.0,2.1033744513201573,2.1033744513201573,Taiyuan
bus_BV11492771,4.6581949367598004e-05,4.627807580370724e-05,3.038735638907666e-07,0.003634724729744021,0.014056224899598393,4.525736829344163,94.5,0.0,1.3466486880276567,1.3466486880276567,Taiyuan
bus_BV11321892,4.6581949367598004e-05,4.639679903109271e-05,1.8515033650529474e-07,0.003304364637243151,0.010040160642570281,4.8965694309074825,254.0,0.0,0.9162624913866289,0.9162624913866289,Taiyuan
bus_BV10085441,4.6581949367598004e-05,4.581700077338248e-05,7.649485942155216e-07,0.0006614838972365256,0.004016064257028112,5.913611459311298,162.0,0.0,0.779902558419708,0.779902558419708,Taiyuan
bus_BV09269771,4.6581949367598004e-05,4.621620740547257e-05,3.6574196212543384e-07,0.0006614838972365256,0.002008032128514056,11.43977721342929,2.5,0.0,0.7207653706926902,0.7207653706926902,Taiyuan
bus_BV11014692,4.6581949367598004e-05,4.640577850344686e-05,1.7617086415114232e-07,0.001652564174739024,0.002008032128514056,7.79306555921303,36.0,0.0,0.34043081664946573,0.34043081664946573,Taiyuan
bus_BV11689104,4.6581949367598004e-05,4.631129350168615e-05,2.7065586591185564e-07,7.637122348969072e-07,0.0,10.93732958175326,2.5,0.0,0.3292623849293096,0.3292623849293096,Taiyuan
bus_BV09007760,4.6581949367598004e-05,4.6441173672857553e-05,1.407756947404505e-07,7.637122348969072e-07,0.0,12.418762611894044,5.5,0.0,0.32811100223997924,0.32811100223997924,Taiyuan
bus_BV10085169,4.6581949367598004e-05,4.6041526092176965e-05,5.404232754210387e-07,7.637122348969072e-07,0.0,7.665168807455936,7.0,0.0,0.3138298417221027,0.3138298417221027,Taiyuan
bus_BV10085034,4.6581949367598004e-05,4.6412940372192796e-05,1.6900899540520797e-07,7.637122348969072e-07,0.0,10.745042733539243,4.0,0.0,0.20490666151858689,0.20490666151858689,Taiyuan
bus_BV11048550,4.6581949367598004e-05,4.6555111278539135e-05,2.683808905886868e-08,0.001982924267239894,0.002008032128514056,7.04035930888382,13.0,0.0,0.16542381389024602,0.16542381389024602,Taiyuan
