node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10852760,2.7233931036676288e-05,2.387413673811685e-05,3.359794298559437e-06,0.18933236325201663,0.30364372469635625,10.388759065362851,27.5,0.0,3.363933448857317,3.363933448857317,Wuhu
bus_BV11070148,2.7233931036676288e-05,2.3986004170073606e-05,3.2479268666026823e-06,0.18531629899498847,0.29554655870445345,8.451315762746715,27.5,0.0,3.0628579184037457,3.0628579184037457,Wuhu
bus_BV11662674,2.7233931036676288e-05,2.6460947618068396e-05,7.729834186078917e-07,3.619706405610934e-06,0.0,10.07604355338028,2.0,0.07142857142857142,1.1052494321096424,1.1052494321096424,Wuhu
bus_BV11259102,2.7233931036676288e-05,2.717696995121669e-05,5.69610854595965e-08,3.619706405610934e-06,0.0,5.493732377675809,47.0,0.14285714285714285,1.0146085507864002,1.0146085507864002,Wuhu
bus_BV09061634,2.7233931036676288e-05,2.7163085849157346e-05,7.084518751894145e-08,0.00029048143905041623,0.0,14.789755351575069,4.5,0.0,0.7731170711492151,0.7731170711492151,Wuhu
bus_BV10648101,2.7233931036676288e-05,2.7227419895475068e-05,6.5111412012198034e-09,3.619706405610934e-06,0.0,9.379427238792921,1.0,0.0,0.14579268976422133,0.14579268976422133,Wuhu
bus_BV11471898,2.7233931036676288e-05,2.7155081711414914e-05,7.884932526137413e-08,3.619706405610934e-06,0.0,8.339018946249176,17.0,0.0,0.05168411651798475,0.05168411651798475,Wuhu
bus_BV09342040,2.7233931036676288e-05,2.7209836803528315e-05,2.4094233147972476e-08,3.619706405610934e-06,0.0,7.8267032954249744,83.5,0.0,-0.022636226557610318,-0.022636226557610318,Wuhu
bus_BV10743624,2.7233931036676288e-05,2.7200429065494055e-05,3.3501971182232606e-08,3.619706405610934e-06,0.0,7.786575826107523,10.0,0.0,-0.02421710045816963,-0.02421710045816963,Wuhu
bus_BV10725760,2.7233931036676288e-05,2.7169919640012495e-05,6.40113966637926e-08,3.619706405610934e-06,0.0,7.300452182327287,10.0,0.0,-0.06920727353731053,-0.06920727353731053,Wuhu
bus_BV11377110,2.7233931036676288e-05,2.7197375488910077e-05,3.655554776621118e-08,3.619706405610934e-06,0.0,7.37355381226409,160.5,0.0,-0.06952153674829546,-0.06952153674829546,Wuhu
bus_BV10174279,2.7233931036676288e-05,2.7226733358282822e-05,7.197678393465392e-09,3.619706405610934e-06,0.0,7.288720366285281,10.0,0.0,-0.0881100649380766,-0.0881100649380766,Wuhu
bus_BV09310034,2.7233931036676288e-05,2.723633188555689e-05,-2.4008488806024253e-09,3.619706405610934e-06,0.0,7.249442498922569,17.0,0.0,-0.09547998943840011,-0.09547998943840011,Wuhu
bus_BV11190676,2.7233931036676288e-05,2.719181073110756e-05,4.212030556872699e-08,3.619706405610934e-06,0.0,6.963670901583872,10.0,0.0,-0.11369701766865958,-0.11369701766865958,Wuhu
bus_BV10843581,2.7233931036676288e-05,2.7199655672301787e-05,3.427536437450104e-08,3.619706405610934e-06,0.0,6.9682245931495785,10.0,0.0,-0.11561583100342715,-0.11561583100342715,Wuhu
bus_BV10733830,2.7233931036676288e-05,2.6881208652370818e-05,3.5272238430546964e-07,0.0025853753002094138,0.0020242914979757085,5.8505418719802025,27.5,0.0,-0.12121070439450929,-0.12121070439450929,Wuhu
bus_BV11485791,2.7233931036676288e-05,2.7232372812651423e-05,1.558224024864849e-09,3.619706405610934e-06,0.0,6.961514932297832,47.0,0.0,-0.12649613801237908,-0.12649613801237908,Wuhu
bus_BV11478845,2.7233931036676288e-05,2.717818575260073e-05,5.574528407555841e-08,3.619706405610934e-06,0.0,6.732841666192456,83.5,0.0,-0.13532686391654078,-0.13532686391654078,Wuhu
bus_BV10432893,2.7233931036676288e-05,2.722519894631179e-05,8.732090364496658e-09,3.619706405610934e-06,0.0,6.746491517829478,4.5,0.0,-0.14835327685355326,-0.14835327685355326,Wuhu
bus_BV10832385,2.7233931036676288e-05,2.7177091741414894e-05,5.6839295261393476e-08,0.0017247901022747758,0.004048582995951417,6.379693124858378,10.0,0.0,-0.15135260728271469,-0.15135260728271469,Wuhu
bus_BV10573088,2.7233931036676288e-05,2.696984747574258e-05,2.6408356093370836e-07,3.619706405610934e-06,0.0,5.897668989056878,47.0,0.0,-0.16434881030001824,-0.16434881030001824,Wuhu
bus_BV10738613,2.7233931036676288e-05,2.7189064433497075e-05,4.486660317921297e-08,3.619706405610934e-06,0.0,6.370883706715064,47.0,0.0,-0.17922651340319792,-0.17922651340319792,Wuhu
bus_BV11377855,2.7233931036676288e-05,2.7230243931971266e-05,3.6871047050213938e-09,3.619706405610934e-06,0.0,6.474000820547033,10.0,0.0,-0.18042840470494872,-0.18042840470494872,Wuhu
bus_BV10174688,2.7233931036676288e-05,2.7200180363260477e-05,3.37506734158107e-08,3.619706405610934e-06,0.0,6.25164014925112,160.5,0.0,-0.19602069301408054,-0.19602069301408054,Wuhu
bus_BV10787635,2.7233931036676288e-05,2.7214313705879027e-05,1.9617330797261042e-08,3.619706405610934e-06,0.0,6.184963250471661,27.5,0.0,-0.2078626768007085,-0.2078626768007085,Wuhu
bus_BV11662672,2.7233931036676288e-05,2.7226102210516438e-05,7.828826159849849e-09,3.619706405610934e-06,0.0,6.183942672076938,4.5,0.0,-0.21162658720582467,-0.21162658720582467,Wuhu
bus_BV10174389,2.7233931036676288e-05,2.720899531757752e-05,2.4935719098767475e-08,3.619706405610934e-06,0.0,6.041940045389214,17.0,0.0,-0.22223174415194172,-0.22223174415194172,Wuhu
bus_BV10174299,2.7233931036676288e-05,2.7219831527347962e-05,1.4099509328325448e-08,3.619706405610934e-06,0.0,6.0095340238175945,17.0,0.0,-0.2292153427453596,-0.2292153427453596,Wuhu
bus_BV10174304,2.7233931036676288e-05,2.725601290904656e-05,-2.2081872370273317e-08,3.619706405610934e-06,0.0,5.986379151010335,4.5,0.0,-0.2430096699284337,-0.2430096699284337,Wuhu
bus_BV10762285,2.7233931036676288e-05,2.7138102698249275e-05,9.582833842701312e-08,3.619706405610934e-06,0.0,5.627435445228533,83.5,0.0,-0.2466997722863063,-0.2466997722863063,Wuhu
bus_BV10832367,2.7233931036676288e-05,2.6952087960687042e-05,2.818430759892456e-07,3.619706405610934e-06,0.0,5.087540050470718,17.0,0.0,-0.2495680485122464,-0.2495680485122464,Wuhu
bus_BV11380770,2.7233931036676288e-05,2.7192909513256246e-05,4.1021523420041467e-08,3.619706405610934e-06,0.0,5.743292802666155,160.5,0.0,-0.2506939321686143,-0.2506939321686143,Wuhu
bus_BV10174615,2.7233931036676288e-05,2.713994997216018e-05,9.398106451610839e-08,3.619706405610934e-06,0.0,5.574382006369547,160.5,0.0,-0.2532125455100454,-0.2532125455100454,Wuhu
bus_BV10174845,2.7233931036676288e-05,2.6930206518218845e-05,3.0372451845744305e-07,3.619706405610934e-06,0.0,4.814430475185142,160.5,0.0,-0.2733762702655517,-0.2733762702655517,Wuhu
bus_BV10174692,2.7233931036676288e-05,2.7059058030033557e-05,1.7487300664273064e-07,0.00029048143905041623,0.0,5.142776466943018,83.5,0.0,-0.27493596138552084,-0.27493596138552084,Wuhu
bus_BV10174212,2.7233931036676288e-05,2.7204685355755806e-05,2.92456809204819e-08,3.619706405610934e-06,0.0,5.40529803713563,17.0,0.0,-0.29218796082339893,-0.29218796082339893,Wuhu
bus_BV11103677,2.7233931036676288e-05,2.7191798314349398e-05,4.213272232689023e-08,3.619706405610934e-06,0.0,5.299784602616328,83.5,0.0,-0.30001352627394023,-0.30001352627394023,Wuhu
bus_BV10174436,2.7233931036676288e-05,2.7188348797606037e-05,4.5582239070250885e-08,3.619706405610934e-06,0.0,5.273286224972897,83.5,0.0,-0.3019128456849237,-0.3019128456849237,Wuhu
bus_BV10544344,2.7233931036676288e-05,2.7218871758706776e-05,1.505927796951185e-08,3.619706405610934e-06,0.0,5.347053650641415,160.5,0.0,-0.3031021072264008,-0.3031021072264008,Wuhu
bus_BV10843569,2.7233931036676288e-05,2.7207788129036753e-05,2.6142907639534814e-08,0.0014379283696298595,0.0020242914979757085,5.179116687593545,47.0,0.0,-0.3037580308390655,-0.3037580308390655,Wuhu
bus_BV10174504,2.7233931036676288e-05,2.7209891664333606e-05,2.4039372342681784e-08,3.619706405610934e-06,0.0,5.23298016492193,27.5,0.0,-0.3130957784479736,-0.3130957784479736,Wuhu
bus_BV10842980,2.7233931036676288e-05,2.714711702098845e-05,8.681401568783848e-08,3.619706405610934e-06,0.0,5.055573229772151,160.5,0.0,-0.31352710367444625,-0.31352710367444625,Wuhu
bus_BV10445271,2.7233931036676288e-05,2.7231938813634767e-05,1.9922230415211288e-09,3.619706405610934e-06,0.0,5.247133255232161,83.5,0.0,-0.31833655093190893,-0.31833655093190893,Wuhu
bus_BV11509012,2.7233931036676288e-05,2.721305731157575e-05,2.087372510053642e-08,3.619706405610934e-06,0.0,5.191641811033064,539.5,0.0,-0.3187048658398468,-0.3187048658398468,Wuhu
bus_BV10697609,2.7233931036676288e-05,2.723059340440178e-05,3.337632274507882e-09,3.619706405610934e-06,0.0,5.233105947914919,83.5,0.0,-0.3194907870504837,-0.3194907870504837,Wuhu
bus_BV10732557,2.7233931036676288e-05,2.717027323037737e-05,6.365780629891916e-08,3.619706405610934e-06,0.0,4.857403424177145,83.5,0.0,-0.3428869415620109,-0.3428869415620109,Wuhu
bus_BV10724231,2.7233931036676288e-05,2.721846457972657e-05,1.5466456949718302e-08,3.619706405610934e-06,0.0,4.9665774345395866,47.0,0.0,-0.3455814006635736,-0.3455814006635736,Wuhu
bus_BV11601716,2.7233931036676288e-05,2.7196692371487385e-05,3.723866518890297e-08,3.619706405610934e-06,0.0,4.84952734017861,47.0,0.0,-0.3519480531416619,-0.3519480531416619,Wuhu
bus_BV10476652,2.7233931036676288e-05,2.7225508222228337e-05,8.422814447950577e-09,3.619706405610934e-06,0.0,4.90672234182053,83.5,0.0,-0.3544645706850493,-0.3544645706850493,Wuhu
bus_BV11381231,2.7233931036676288e-05,2.724439623508022e-05,-1.0465198403932554e-08,3.619706405610934e-06,0.0,4.779565013335308,160.5,0.0,-0.37455110155139365,-0.37455110155139365,Wuhu
