脆弱性排名,city,候选节点总数,Top5_平均综合破坏力,Top5_平均效率损失,Top5_平均连通碎裂度(LCC_loss),Top5_平均阻断率(Reachability_loss),全局_平均网络连通碎裂度,核心枢纽多模态依赖度
1,Wuhu,50.0,1.8639532842612643,1.5017021713497097e-06,0.07498927661977332,0.11983805668016193,0.007622667325453219,0.04285714285714284
2,Taiyuan,50.0,1.7334277488771495,6.764573832073999e-07,0.0036347247297439794,0.009236947791164619,0.0005557686676362777,0.0
3,Wenzhou,50.0,1.66442685665277,2.851280307841402e-07,0.0034117602922758457,0.011055276381909519,0.0004267838694224587,0.0
4,Shenyang,50.0,1.6312710006542033,9.706357909587213e-07,0.059331259436463925,0.11740890688259105,0.006778875341430112,0.03333333333333332
5,Chengdu,50.0,1.630210475495574,1.1313153101934008e-07,0.00037132043060467997,0.0013793103448275599,5.762818812908633e-05,0.062063748944553875
6,Zhengzhou,50.0,1.5692577825288587,1.6657658626624242e-07,0.0013838988180293929,0.005479452054794501,0.0001853565046267855,0.02222222222222222
7,Harbin,50.0,1.54478048936777,8.797496891947948e-07,0.025135341315115835,0.051645569620253115,0.00282255687159079,0.0405
8,Foshan,50.0,1.506195781856269,1.0502074542741218e-07,0.0004316626282606,0.0016194331983805598,7.322036980496162e-05,0.0376068376068376
9,Changchun,50.0,1.5044912569839988,7.360679805484269e-07,0.01823585388131398,0.039278557114228424,0.002842392406038846,0.030917874396135258
10,Shijiazhuang,50.0,1.4928816018905897,2.0013407816868897e-07,0.001847312104511279,0.00540540540540538,0.0002769531104625547,0.057070707070707064
11,Nantong,50.0,1.4880713475877556,5.326612264827016e-07,0.025869875211791044,0.05815899581589958,0.002671717350719079,0.07222222222222222
12,Chuzhou,50.0,1.4341897039515947,5.022730801785989e-07,0.026312555823496408,0.05828571428571426,0.0026596913878753153,0.0
13,Xuzhou,50.0,1.410145313037162,7.771081111029769e-07,0.07332275854024885,0.14927536231884056,0.008321945135335894,0.03076923076923076
14,Dongguan,50.0,1.4087764077742173,3.161319915657149e-07,0.0028338251311741903,0.00642570281124496,0.0003536043400058493,0.01666666666666666
15,Luoyang,50.0,1.3997721402674181,4.1188870381591494e-07,0.0012084336785381656,0.00281124497991966,0.00015274143966542103,0.01818181818181818
16,Fuzhou,50.0,1.381982615235461,1.3853741639147506e-07,0.00021430077660582062,0.0,7.041588451949616e-05,0.056666666666666664
17,Wuxi,50.0,1.3768209013934485,1.23916036191936e-06,0.0629099517890199,0.09061224489795917,0.006325960808185642,0.0375
18,Dalian,50.0,1.3736137484271298,2.0669010773297932e-07,0.0012156085978505568,0.010344827586206858,0.0003156085978505428,0.07333333333333332
19,Shaoxing,50.0,1.3703035654015863,6.971867479070117e-08,0.0014077630943543941,0.00122448979591836,0.0001767902287025421,0.02
20,Tianjin,50.0,1.3455220886194894,8.340706208892897e-08,0.00043760702175164087,0.0008179959100204399,7.359246116927524e-05,0.013333333333333319
21,urumchi,50.0,1.3440046842801139,6.116717653910846e-07,0.0009358646739681262,0.00203252032520324,0.0001258088080463439,0.03636363636363636
22,ningbo,50.0,1.3238563267018066,3.174820561721856e-07,0.024615208444546073,0.043455497382198935,0.002786766006622841,0.049999999999999975
23,Nanchang,50.0,1.3192448198535658,5.243571265142833e-07,0.012944800276546662,0.02334004024144866,0.0017067050384514198,0.0
24,Jinan,50.0,1.3034014962559004,1.5741287113116712e-07,0.000781211062155695,0.0046189376443418004,0.00020447361041824144,0.02788461538461538
25,Shanghai,50.0,1.297185832318171,9.14849850321408e-08,0.000686053597064362,0.0020283975659229,9.536522231429067e-05,0.02
26,Hangzhou,50.0,1.2949089824579196,9.351506287734758e-08,0.0005454524390069669,0.00207468879668048,6.564954722199989e-05,0.02583333333333332
27,Shenzhen,50.0,1.2757777512643773,3.934710196499422e-07,0.0002140779656290233,0.00126849894291752,3.22358256897074e-05,0.01538461538461538
28,Guangzhou,50.0,1.266989001346126,4.767223386090662e-08,0.00024669159917794386,0.0,4.955388711276096e-05,0.029946524064171122
29,Hohhot,50.0,1.262913056582608,8.797432137549558e-07,0.01771132102420768,0.03939393939393934,0.002099139545028075,0.0
30,Qingdao,50.0,1.2583441318306894,2.753921067942449e-08,0.00052304674730308,0.00058479532163742,6.826203312266027e-05,0.073015873015873
31,Lanzhou,50.0,1.2510437364872042,4.3572718470340454e-07,0.0080602033783261,0.026063829787234018,0.0011671036285942759,0.02857142857142856
32,Wuhan,50.0,1.2371436084689016,2.914213379420449e-07,0.001304225436197088,0.00373443983402484,0.00043104922968755795,0.054285714285714284
33,Chongqing,50.0,1.22760317223904,5.658479875180905e-08,0.0005962671960808283,0.0021390374331550803,0.00012074599673672924,0.01852631578947368
34,Xiamen,50.0,1.2087206764926814,4.54523054149291e-07,0.0008148904394155405,0.0032323232323232197,0.000157335951052055,0.03428571428571428
35,Guiyang,50.0,1.2002223074679916,5.116231241836928e-07,0.0004698198110929247,0.0008849557522123601,0.00010184046958232416,0.013333333333333319
36,Changzhou,50.0,1.189794143062383,2.2925647229367934e-07,0.0002970333624752835,0.00041152263374484,5.2278117720086876e-05,0.02222222222222222
37,Nanning,50.0,1.1864553126698008,2.6573199092476506e-07,0.00035158130928841926,0.0006514657980456,0.00021172116942828033,0.05759803921568626
38,Changsha,50.0,1.1764569876192839,3.6725751219705903e-07,0.011220629197683617,0.02373737373737372,0.0011987304472005505,0.05888888888888888
39,Hefei,50.0,1.1732449467470931,3.6118684743848314e-07,0.00080305900281902,0.0020408163265306,0.00011131011417114764,0.01176470588235294
