City,Strategy,LCC_AUC,EFF_AUC,FileName
Beijing,betweenness,0.174345,0.00532,Beijing_multi_betweenness.pkl
Beijing,degree,0.106899,0.003029,Beijing_multi_degree.pkl
Beijing,random,0.238136,0.012676,Beijing_multi_random.pkl
Changchun,betweenness,0.119493,0.00357,Changchun_multi_betweenness.pkl
Changchun,degree,0.071177,0.002358,Changchun_multi_degree.pkl
Changchun,random,0.196583,0.008578,Changchun_multi_random.pkl
Changsha,betweenness,0.145518,0.00404,Changsha_multi_betweenness.pkl
Changsha,degree,0.091554,0.002405,Changsha_multi_degree.pkl
Changsha,random,0.172047,0.005459,Changsha_multi_random.pkl
Changzhou,betweenness,0.153096,0.003644,Changzhou_multi_betweenness.pkl
Changzhou,degree,0.079652,0.001732,Changzhou_multi_degree.pkl
Changzhou,random,0.141468,0.003848,Changzhou_multi_random.pkl
Chengdu,betweenness,0.166731,0.004961,Chengdu_multi_betweenness.pkl
Chengdu,degree,0.117222,0.00342,Chengdu_multi_degree.pkl
Chengdu,random,0.223725,0.010589,Chengdu_multi_random.pkl
Chongqing,betweenness,0.063038,0.001588,Chongqing_multi_betweenness.pkl
Chongqing,degree,0.040784,0.001068,Chongqing_multi_degree.pkl
Chongqing,random,0.13158,0.003957,Chongqing_multi_random.pkl
Chuzhou,betweenness,0.059924,0.001746,Chuzhou_multi_betweenness.pkl
Chuzhou,degree,0.026597,0.000699,Chuzhou_multi_degree.pkl
Chuzhou,random,0.047363,0.001813,Chuzhou_multi_random.pkl
Dalian,betweenness,0.080611,0.002913,Dalian_multi_betweenness.pkl
Dalian,degree,0.064565,0.002114,Dalian_multi_degree.pkl
Dalian,random,0.150644,0.006283,Dalian_multi_random.pkl
Dongguan,betweenness,0.155896,0.004224,Dongguan_multi_betweenness.pkl
Dongguan,degree,0.076311,0.002453,Dongguan_multi_degree.pkl
Dongguan,random,0.218088,0.010136,Dongguan_multi_random.pkl
Foshan,betweenness,0.115916,0.003601,Foshan_multi_betweenness.pkl
Foshan,degree,0.083764,0.002714,Foshan_multi_degree.pkl
Foshan,random,0.203992,0.008372,Foshan_multi_random.pkl
Fuzhou,betweenness,0.123503,0.004607,Fuzhou_multi_betweenness.pkl
Fuzhou,degree,0.083258,0.002442,Fuzhou_multi_degree.pkl
Fuzhou,random,0.185938,0.009891,Fuzhou_multi_random.pkl
Guangzhou,betweenness,0.156153,0.004867,Guangzhou_multi_betweenness.pkl
Guangzhou,degree,0.126914,0.004481,Guangzhou_multi_degree.pkl
Guangzhou,random,0.243508,0.011559,Guangzhou_multi_random.pkl
Guiyang,betweenness,0.164997,0.010013,Guiyang_multi_betweenness.pkl
Guiyang,degree,0.126985,0.00712,Guiyang_multi_degree.pkl
Guiyang,random,0.274226,0.027495,Guiyang_multi_random.pkl
Hangzhou,betweenness,0.162265,0.00476,Hangzhou_multi_betweenness.pkl
Hangzhou,degree,0.099987,0.002319,Hangzhou_multi_degree.pkl
Hangzhou,random,0.203504,0.008146,Hangzhou_multi_random.pkl
Harbin,betweenness,0.114028,0.004216,Harbin_multi_betweenness.pkl
Harbin,degree,0.063718,0.002306,Harbin_multi_degree.pkl
Harbin,random,0.207296,0.011232,Harbin_multi_random.pkl
Hefei,betweenness,0.134025,0.003561,Hefei_multi_betweenness.pkl
Hefei,degree,0.060887,0.00159,Hefei_multi_degree.pkl
Hefei,random,0.167831,0.006173,Hefei_multi_random.pkl
Hohhot,betweenness,0.124891,0.006793,Hohhot_multi_betweenness.pkl
Hohhot,degree,0.07927,0.004068,Hohhot_multi_degree.pkl
Hohhot,random,0.187127,0.010929,Hohhot_multi_random.pkl
Jinan,betweenness,0.125341,0.004042,Jinan_multi_betweenness.pkl
Jinan,degree,0.058074,0.001961,Jinan_multi_degree.pkl
Jinan,random,0.181062,0.007722,Jinan_multi_random.pkl
Kunming,betweenness,0.142144,0.007379,Kunming_multi_betweenness.pkl
Kunming,degree,0.1136,0.005094,Kunming_multi_degree.pkl
Kunming,random,0.252222,0.017833,Kunming_multi_random.pkl
Lanzhou,betweenness,0.088072,0.004159,Lanzhou_multi_betweenness.pkl
Lanzhou,degree,0.065895,0.003012,Lanzhou_multi_degree.pkl
Lanzhou,random,0.202627,0.012595,Lanzhou_multi_random.pkl
Luoyang,betweenness,0.136494,0.004535,Luoyang_multi_betweenness.pkl
Luoyang,degree,0.056211,0.002274,Luoyang_multi_degree.pkl
Luoyang,random,0.190446,0.009808,Luoyang_multi_random.pkl
Nanchang,betweenness,0.127662,0.004503,Nanchang_multi_betweenness.pkl
Nanchang,degree,0.075362,0.002852,Nanchang_multi_degree.pkl
Nanchang,random,0.223485,0.012292,Nanchang_multi_random.pkl
