node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10673006,2.9348679777630288e-05,2.7826991002388763e-05,1.5216887752415245e-06,0.056048659598301964,0.11868686868686869,6.213465154858844,83.5,0.0,3.982523082164982,3.982523082164982,Changsha
bus_BV10465326,2.9348679777630288e-05,2.9284875595796422e-05,6.380418183386577e-08,1.362159752904546e-05,0.0,12.957811896271343,1.0,0.0,0.7256324725027736,0.7256324725027736,Changsha
bus_BV10229999,2.9348679777630288e-05,2.9331639320451184e-05,1.7040457179103968e-08,1.362159752904546e-05,0.0,7.8351741782117985,12.0,0.08333333333333333,0.4052180999857065,0.4052180999857065,Changsha
bus_BV11436659,2.9348679777630288e-05,2.92745426733655e-05,7.41371042647865e-08,1.362159752904546e-05,0.0,6.30666295116926,83.5,0.1111111111111111,0.39251041004125764,0.39251041004125764,Changsha
bus_BV09028188,2.9348679777630288e-05,2.9189062735164273e-05,1.5961704246601456e-07,1.362159752904546e-05,0.0,6.06432024472018,45.0,0.1,0.3764008734016995,0.3764008734016995,Changsha
bus_BV10230324,2.9348679777630288e-05,2.92452274714758e-05,1.0345230615448731e-07,0.00014243777684119774,0.0,10.220911752562646,23.0,0.0,0.371915515639595,0.371915515639595,Changsha
bus_BV09313031,2.9348679777630288e-05,2.9220398874977818e-05,1.2828090265246998e-07,1.362159752904546e-05,0.0,5.92729952422385,45.0,0.1,0.32721381342016687,0.32721381342016687,Changsha
bus_BV11084447,2.9348679777630288e-05,2.933699536565384e-05,1.1684411976447428e-08,0.00027125395615335,0.0,10.416710645860375,2.0,0.0,0.31716823972475655,0.31716823972475655,Changsha
bus_BV10659811,2.9348679777630288e-05,2.9228036191984673e-05,1.2064358564561464e-07,1.362159752904546e-05,0.0,5.86285204335081,23.0,0.09090909090909091,0.26041000748751564,0.26041000748751564,Changsha
bus_BV10651963,2.9348679777630288e-05,2.9345001062522657e-05,3.678715107631247e-09,1.362159752904546e-05,0.0,6.2658956292697745,45.0,0.1,0.2588936709431814,0.2588936709431814,Changsha
bus_BV09067704,2.9348679777630288e-05,2.9333082032480498e-05,1.559774514979024e-08,1.362159752904546e-05,0.0,5.952029846541316,45.0,0.1,0.22488083760846375,0.22488083760846375,Changsha
bus_BV11407364,2.9348679777630288e-05,2.9340864257705472e-05,7.815519924816219e-09,1.362159752904546e-05,0.0,5.745687599831102,45.0,0.1,0.18784277808840277,0.18784277808840277,Changsha
