node,mean_score,std_score,boot_times,stability_score,city
bus_BV10673006,3.9460270400659203,0.048005138136260894,10,82.20008047606194,Changsha
bus_BV10465326,0.7448040031125258,0.026737647739950736,10,27.85599286057351,Changsha
bus_BV10229999,0.4040449517097768,0.04735596510963294,10,8.532079653610337,Changsha
bus_BV11192670,0.3595329584726992,0.04387830872162681,5,8.193863597045528,Changsha
bus_BV11084447,0.3556025549892685,0.04866618301349076,10,7.306972930689111,Changsha
bus_BV11436659,0.39943904609592534,0.060840194212040725,10,6.565379772622022,Changsha
bus_BV10651963,0.22274222713951902,0.03661937492968711,10,6.08263157797998,Changsha
bus_BV10230324,0.4660205739597439,0.07808570828570816,10,5.9680641247944894,Changsha
bus_BV11407364,0.16964862826666846,0.033278419866394245,10,5.097855546303455,Changsha
bus_BV09028188,0.21525959113008453,0.05043307571204088,10,4.268221705868998,Changsha
bus_BV09313031,0.19153379618130464,0.04858542694198086,10,3.942205900299467,Changsha
bus_BV10659811,0.13240965627495077,0.036060995044951506,10,3.671823791652417,Changsha
bus_BV09067704,0.1894862993321977,0.05399460616762788,10,3.5093554280288224,Changsha
bus_BV10229997,0.04588282784202861,0.020651145766434488,10,2.2218043561806167,Changsha
bus_BV11349187,0.023291313039131494,0.011630227280105819,10,2.0026515777947718,Changsha
bus_BV11081526,0.08447285728154784,0.04357185670791745,10,1.9387018198648407,Changsha
bus_BV11261542,0.06739745786381068,0.06552917330767799,10,1.0285105728749986,Changsha
bus_BV11688694,0.03214031684502339,0.15948092067158398,10,0.20153078308283343,Changsha
bus_BV11107170,0.053546178532017735,0.0,1,0.053546178532017735,Changsha
bus_BV11658254,-0.008937003992167614,0.019888396181683754,10,-0.44935747543200094,Changsha
bus_BV10444271,-0.030028160764461104,0.04917774930690871,10,-0.6106044925117728,Changsha
bus_BV09028189,-0.12440314257696214,0.11302656423372251,10,-1.100653925153164,Changsha
bus_BV10230206,-0.10510280370774912,0.04223450854416875,10,-2.4885521921561122,Changsha
bus_BV10230045,-0.13783440405782926,0.053353347054008564,10,-2.583425142644767,Changsha
bus_BV10230134,-0.18818847810264344,0.07113671361311277,10,-2.645447647070919,Changsha
bus_BV10230735,-0.15358455723962688,0.05790067553744299,10,-2.652551620313846,Changsha
bus_BV10433572,-0.18424087501737096,0.059945469941741256,10,-3.0734740166636034,Changsha
bus_BV10230055,-0.2522984745413713,0.057472576097020785,10,-4.389892497885174,Changsha
bus_BV10230208,-0.21484385538276757,0.04492241194862721,10,-4.7825528113435345,Changsha
bus_BV11069808,-0.25568847934053884,0.05021660254881463,10,-5.0917110167873,Changsha
bus_BV11024060,-0.3573614622159791,0.0597957294403807,8,-5.976369981548369,Changsha
bus_BV10230210,-0.2919432491030976,0.04442166686929396,10,-6.572089792155064,Changsha
bus_BV11688986,-0.095786010330038,0.01439910820527425,10,-6.652213626175564,Changsha
bus_BV11379735,-0.2706094566867122,0.03361956582745211,10,-8.049163323046619,Changsha
bus_BV11162555,-0.2659928083633159,0.03250683153977639,10,-8.18267157816113,Changsha
bus_BV11690519,-0.2461137113772141,0.02841966128007961,10,-8.659977413240673,Changsha
bus_BV10477215,-0.19218322648514025,0.022166301536255237,10,-8.670058894137854,Changsha
bus_BV09028538,-0.3646619969513722,0.04079383453235645,10,-8.939142685169896,Changsha
bus_BV10619934,-0.316454252257053,0.03384167310404729,10,-9.3510199030026,Changsha
bus_BV09006549,-0.25993508304538143,0.021810159100961655,10,-11.918068211306089,Changsha
bus_BV09323000,-0.2833691634395524,0.022970987216195525,10,-12.33595393236847,Changsha
bus_BV11356539,-0.37786266480404684,0.029933193217018,10,-12.623529198145409,Changsha
bus_BV10231089,-0.32624099569331594,0.02555349057511355,10,-12.766978627227328,Changsha
bus_BV10749204,-0.23542983355865651,0.018311556287184016,10,-12.856892188596134,Changsha
bus_BV09196872,-0.22959612761821827,0.016890026454522703,10,-13.593583899976634,Changsha
bus_BV09160441,-0.26650169460353307,0.017738022337004763,10,-15.02430988625283,Changsha
bus_BV10230370,-0.3702028629085377,0.02412265419593129,3,-15.346682269489076,Changsha
bus_BV10404186,-0.38483915803040636,0.023686754804332424,10,-16.247012253864966,Changsha
bus_BV10230630,-0.29938315827910594,0.017592359604656,10,-17.017784699104496,Changsha
bus_BV10230238,-0.3038725285907867,0.014337578067110793,10,-21.1941176694736,Changsha
bus_BV10230925,-0.31662444179493926,0.013571507433191429,10,-23.330069268494686,Changsha
bus_BV09160439,-0.3708606489575591,0.012054127374032261,10,-30.766253730979468,Changsha
bus_BV10230578,-0.41654588293566985,0.009909360505461033,3,-42.03555439834572,Changsha
