node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10148194,3.010099869155065e-05,3.0057512459618086e-05,4.3486231932564866e-08,0.0001356562780213677,0.00205761316872428,14.249539183111658,1.5,0.0,2.320125918038324,2.320125918038324,Changzhou
bus_BV11114118,3.010099869155065e-05,2.956530631649527e-05,5.356923750553813e-07,0.00027013718173296564,0.0,7.759189624037949,62.0,0.0,1.066071065585857,1.066071065585857,Changzhou
bus_BV09247007,3.010099869155065e-05,2.9545764856454304e-05,5.552338350963468e-07,1.1753743096587499e-06,0.0,8.40399164753561,62.0,0.0,0.9037274131726531,0.9037274131726531,Changzhou
bus_BV10624101,3.010099869155065e-05,3.0096648024896593e-05,4.350666654058397e-09,0.0010770226040029973,0.0,6.110851161244781,62.0,0.0,0.8314902659489062,0.8314902659489062,Changzhou
bus_BV11372020,3.010099869155065e-05,3.0093479438820606e-05,7.5192527300453e-09,1.1753743096587499e-06,0.0,5.29941870114228,25.0,0.1111111111111111,0.8275560525661751,0.8275560525661751,Changzhou
bus_BV10953798,3.010099869155065e-05,3.0155564106112637e-05,-5.456541456198559e-08,1.1753743096587499e-06,0.0,7.121819118266198,3.5,0.08333333333333333,0.6490424680320641,0.6490424680320641,Changzhou
bus_BV10390489,3.010099869155065e-05,3.010093017204037e-05,6.851951027980643e-11,0.0009425417002913994,0.0,5.466178647734569,288.5,0.0,0.6169158869945942,0.6169158869945942,Changzhou
bus_BV10147848,3.010099869155065e-05,3.0091315010017278e-05,9.683681533372918e-09,1.1753743096587499e-06,0.0,11.487484321223803,1.5,0.0,0.3868904587920371,0.3868904587920371,Changzhou
bus_BV10145149,3.010099869155065e-05,2.980349675802922e-05,2.975019335214295e-07,1.1753743096587499e-06,0.0,5.830695058065655,12.0,0.0,0.197103299493171,0.197103299493171,Changzhou
bus_BV10145072,3.010099869155065e-05,2.986292143450156e-05,2.3807725704908924e-07,1.1753743096587499e-06,0.0,6.493086801025967,7.0,0.0,0.1782752849233278,0.1782752849233278,Changzhou
