node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10244410,3.588119215661729e-05,3.565046350852978e-05,2.3072864808750774e-07,0.013615793852425395,0.02208835341365462,15.656561572023296,3.0,0.0,3.4860694068161204,3.4860694068161204,Dongguan
bus_BV10595089,3.588119215661729e-05,3.587073406402665e-05,1.0458092590636249e-08,3.3847064062619836e-07,0.0,8.927018193223864,13.5,0.08333333333333333,1.2588366027798437,1.2588366027798437,Dongguan
bus_BV11203551,3.588119215661729e-05,3.528626140113027e-05,5.94930755487021e-07,0.00018433111093507648,0.006024096385542169,8.674569904915167,3.0,0.0,0.9413119234273358,0.9413119234273358,Dongguan
bus_BV11401447,3.588119215661729e-05,3.52875704767677e-05,5.936216798495869e-07,3.3847064062619836e-07,0.0,11.914188544447127,8.0,0.0,0.8276099341367255,0.8276099341367255,Dongguan
bus_BV10263365,3.588119215661729e-05,3.5730271374803466e-05,1.509207818138229e-07,0.00036832375122941574,0.004016064257028112,11.650095641467297,1.0,0.0,0.530054171711061,0.530054171711061,Dongguan
bus_BV10264572,3.588119215661729e-05,3.534994083307435e-05,5.312513235429422e-07,3.3847064062619836e-07,0.0,8.396242551715218,27.0,0.0,0.4450828968981304,0.4450828968981304,Dongguan
bus_BV10529468,3.588119215661729e-05,3.571565312974959e-05,1.6553902686769912e-07,0.000552316391523866,0.002008032128514056,10.789195505839714,5.0,0.0,0.36965754143885854,0.36965754143885854,Dongguan
bus_BV11689332,3.588119215661729e-05,3.578848472774359e-05,9.270742887369863e-08,3.3847064062619836e-07,0.0,13.745830183073581,3.0,0.0,0.3502039161151831,0.3502039161151831,Dongguan
bus_BV10973226,3.588119215661729e-05,3.5419460532717546e-05,4.617316238997432e-07,0.0007363090318182053,0.0,6.559545469700464,496.0,0.0,0.2758754142800791,0.2758754142800791,Dongguan
bus_BV10264111,3.588119215661729e-05,3.581999740982015e-05,6.119474679713735e-08,3.3847064062619836e-07,0.0,13.2748671000326,27.0,0.0,0.2696125540060386,0.2696125540060386,Dongguan
bus_BV10263175,3.588119215661729e-05,3.568283264529766e-05,1.983595113196269e-07,3.3847064062619836e-07,0.0,10.99186437899261,48.0,0.0,0.24669486708245236,0.24669486708245236,Dongguan
bus_BV10262189,3.588119215661729e-05,3.5561510402041975e-05,3.196817545753143e-07,0.00036832375122941574,0.002008032128514056,6.848018833570056,82.5,0.0,0.2059159663000054,0.2059159663000054,Dongguan
