node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10254208,3.648876163459404e-05,3.633864919717214e-05,1.501124374218984e-07,0.0008089702687403832,0.0,8.505854246434613,101.5,0.1111111111111111,1.9700096348271483,1.9700096348271483,Foshan
bus_BV10254120,3.648876163459404e-05,3.6352282053112576e-05,1.3647958148146097e-07,0.0005394648112548861,0.0020242914979757085,8.348352040127109,7.0,0.0,1.5629115285732833,1.5629115285732833,Foshan
bus_BV10252134,3.648876163459404e-05,3.640391640056302e-05,8.484523403101495e-08,0.00026995935376938895,0.0020242914979757085,12.227468430397186,13.0,0.0,1.5009390689884645,1.5009390689884645,Foshan
bus_BV11654362,3.648876163459404e-05,3.6460373909202e-05,2.83877253920355e-08,0.00026995935376938895,0.0020242914979757085,8.46705273257499,13.0,0.07692307692307693,1.4118454077763407,1.4118454077763407,Foshan
bus_BV10889437,3.648876163459404e-05,3.6363482885783386e-05,1.2527874881065106e-07,0.00026995935376938895,0.0020242914979757085,7.099653337659476,101.5,0.0,1.0852732691161089,1.0852732691161089,Foshan
bus_BV09244985,3.648876163459404e-05,3.6393940826785966e-05,9.48208078080704e-08,4.5389628389180814e-07,0.0,15.09016672667865,2.0,0.0,0.8204547170806646,0.8204547170806646,Foshan
bus_BV10450600,3.648876163459404e-05,3.636191876977156e-05,1.268428648224773e-07,0.00013520662502664038,0.0,10.626194660424805,30.5,0.0,0.5954052919596845,0.5954052919596845,Foshan
bus_BV10254754,3.648876163459404e-05,3.64515935876886e-05,3.716804690543816e-08,0.0008089702687403832,0.0,6.892719540903563,165.5,0.0,0.5894739061973102,0.5894739061973102,Foshan
bus_BV10330486,3.648876163459404e-05,3.624975454460612e-05,2.390070899879144e-07,4.5389628389180814e-07,0.0,6.840053705663386,58.5,0.0,0.4485995756543114,0.4485995756543114,Foshan
bus_BV10251710,3.648876163459404e-05,3.6390384020902184e-05,9.837761369185289e-08,4.5389628389180814e-07,0.0,10.131574079871951,7.0,0.0,0.28515124043293244,0.28515124043293244,Foshan
