node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10284606,6.302393051591478e-05,6.245506744187504e-05,5.688630740397388e-07,0.00034070425266818916,0.0022123893805309734,6.877018244202065,3.5,0.0,1.636539426986677,1.636539426986677,Guiyang
bus_BV10284875,6.302393051591478e-05,6.271571967788571e-05,3.082108380290672e-07,0.0006634931487301543,0.0,10.101390335717822,43.0,0.06666666666666667,1.6040878114749075,1.6040878114749075,Guiyang
bus_BV10585056,6.302393051591478e-05,6.2894876639765e-05,1.2905387614978267e-07,0.00034070425266818916,0.0022123893805309734,5.894154513017215,43.0,0.0,1.049216763685012,1.049216763685012,Guiyang
bus_BV10801214,6.302393051591478e-05,6.26428276698594e-05,3.811028460553841e-07,0.0009862820447921194,0.0,6.390897892336144,33.0,0.0,0.939154860682187,0.939154860682187,Guiyang
bus_BV10582581,6.302393051591478e-05,6.185304552927029e-05,1.170884986644491e-06,1.791535660622401e-05,0.0,5.257332691172484,43.0,0.0,0.7721126745111747,0.7721126745111747,Guiyang
bus_BV10284917,6.302393051591478e-05,6.293268380544895e-05,9.124671046582778e-08,1.791535660622401e-05,0.0,5.419120734899063,255.0,0.125,0.7411459826993331,0.7411459826993331,Guiyang
bus_BV10284737,6.302393051591478e-05,6.300368052507267e-05,2.0249990842103748e-08,0.0009862820447921194,0.0,7.857573404732073,8.5,0.0,0.7307728018603462,0.7307728018603462,Guiyang
bus_BV09219058,6.302393051591478e-05,6.281227033471877e-05,2.1166018119600798e-07,0.00034070425266818916,0.0,5.76604402563933,18.0,0.05555555555555555,0.5906231371181012,0.5906231371181012,Guiyang
bus_BV10284835,6.302393051591478e-05,6.277378471287562e-05,2.5014580303916317e-07,1.791535660622401e-05,0.0,10.342684171295325,18.0,0.0,0.4020086282143992,0.4020086282143992,Guiyang
bus_BV11688754,6.302393051591478e-05,6.299825386271078e-05,2.5676653203995535e-08,0.00034070425266818916,0.0,9.677960899427571,3.5,0.0,0.37361641586793864,0.37361641586793864,Guiyang
bus_BV10516835,6.302393051591478e-05,6.291172581149872e-05,1.1220470441605801e-07,1.791535660622401e-05,0.0,11.30458678376136,33.0,0.0,0.37063011313463495,0.37063011313463495,Guiyang
bus_BV11448548,6.302393051591478e-05,6.270236287041595e-05,3.215676454988286e-07,1.791535660622401e-05,0.0,5.695379961234426,8.5,0.047619047619047616,0.3384448336443839,0.3384448336443839,Guiyang
bus_BV10284936,6.302393051591478e-05,6.295579844552703e-05,6.813207038774787e-08,0.00034070425266818916,0.0,8.256107450627091,18.0,0.0,0.24781603449425282,0.24781603449425282,Guiyang
bus_BV10420062,6.302393051591478e-05,6.298607711336865e-05,3.785340254612644e-08,1.791535660622401e-05,0.0,10.81403439830051,2.0,0.0,0.23230931240559366,0.23230931240559366,Guiyang
bus_BV10284682,6.302393051591478e-05,6.300651714127914e-05,1.741337463563857e-08,1.791535660622401e-05,0.0,9.810645179163506,1.0,0.0,0.08978031467718199,0.08978031467718199,Guiyang
bus_BV11125256,6.302393051591478e-05,6.300470080733356e-05,1.922970858121828e-08,1.791535660622401e-05,0.0,9.4991819783952,8.5,0.0,0.054241706238528434,0.054241706238528434,Guiyang
bus_BV10284601,6.302393051591478e-05,6.29831678215579e-05,4.076269435688217e-08,1.791535660622401e-05,0.0,5.0723332540182,13.0,0.05263157894736842,0.008147323141995566,0.008147323141995566,Guiyang
bus_BV10455591,6.302393051591478e-05,6.280142606993406e-05,2.225044459807133e-07,1.791535660622401e-05,0.0,6.900658068552854,90.0,0.0,-0.041621417829125845,-0.041621417829125845,Guiyang
bus_BV10744637,6.302393051591478e-05,6.283595042116397e-05,1.879800947508038e-07,1.791535660622401e-05,0.0,7.010382938106933,5.0,0.0,-0.06523986765173365,-0.06523986765173365,Guiyang
bus_BV10865332,6.302393051591478e-05,6.302393051591478e-05,0.0,1.791535660622401e-05,0.0,8.496902230505222,6.0,0.0,-0.0868629749328876,-0.0868629749328876,Guiyang
bus_BV10285068,6.302393051591478e-05,6.288427016742587e-05,1.396603484889094e-07,1.791535660622401e-05,0.0,6.78274702468481,27.0,0.0,-0.1441631010514248,-0.1441631010514248,Guiyang
bus_BV11554439,6.302393051591478e-05,6.279696441822173e-05,2.2696609769304983e-07,1.791535660622401e-05,0.0,5.68423983242912,90.0,0.0,-0.18322440685901206,-0.18322440685901206,Guiyang
bus_BV09003256,6.302393051591478e-05,6.295084089243674e-05,7.308962347804288e-08,1.791535660622401e-05,0.0,6.956953615025258,13.0,0.0,-0.19420093035500435,-0.19420093035500435,Guiyang
bus_BV10329984,6.302393051591478e-05,6.29611280863492e-05,6.28024295655841e-08,1.791535660622401e-05,0.0,6.9830429371478075,43.0,0.0,-0.2020332630872993,-0.2020332630872993,Guiyang
bus_BV10284775,6.302393051591478e-05,6.300199246637097e-05,2.1938049543808718e-08,1.791535660622401e-05,0.0,7.264318107019642,22.5,0.0,-0.21177223689525038,-0.21177223689525038,Guiyang
bus_BV10284646,6.302393051591478e-05,6.301370215250407e-05,1.0228363410709333e-08,1.791535660622401e-05,0.0,7.291819186596557,13.0,0.0,-0.22095181335547237,-0.22095181335547237,Guiyang
bus_BV10284602,6.302393051591478e-05,6.29964754172584e-05,2.7455098656383316e-08,1.791535660622401e-05,0.0,7.082933966022855,8.5,0.0,-0.22771265630257875,-0.22771265630257875,Guiyang
bus_BV10284693,6.302393051591478e-05,6.288953438142035e-05,1.3439613449442466e-07,1.791535660622401e-05,0.0,5.864698959305181,18.0,0.0,-0.26023848692694523,-0.26023848692694523,Guiyang
bus_BV11257285,6.302393051591478e-05,6.296590148731113e-05,5.8029028603649854e-08,1.791535660622401e-05,0.0,6.536702375997328,22.5,0.0,-0.26082858144621895,-0.26082858144621895,Guiyang
bus_BV10284725,6.302393051591478e-05,6.294259518007749e-05,8.133533583729242e-08,1.791535660622401e-05,0.0,6.183730701856553,43.0,0.0,-0.27844218701209716,-0.27844218701209716,Guiyang
bus_BV10284722,6.302393051591478e-05,6.291092156895767e-05,1.130089469571113e-07,1.791535660622401e-05,0.0,5.8427297297750265,43.0,0.0,-0.28569160696994744,-0.28569160696994744,Guiyang
bus_BV09221902,6.302393051591478e-05,6.291528148872091e-05,1.086490271938657e-07,1.791535660622401e-05,0.0,5.858452037467303,73.0,0.0,-0.28844979143564164,-0.28844979143564164,Guiyang
bus_BV10284623,6.302393051591478e-05,6.286569253292208e-05,1.5823798299269504e-07,1.791535660622401e-05,0.0,5.332400218293152,13.0,0.0,-0.29885785206714616,-0.29885785206714616,Guiyang
bus_BV11029449,6.302393051591478e-05,6.297843644012581e-05,4.5494075788965905e-08,1.791535660622401e-05,0.0,6.252508701425328,33.0,0.0,-0.30839193274973875,-0.30839193274973875,Guiyang
bus_BV10284683,6.302393051591478e-05,6.298522525238492e-05,3.870526352985667e-08,1.791535660622401e-05,0.0,6.2968436160411105,27.0,0.0,-0.3102978513773033,-0.3102978513773033,Guiyang
bus_BV10284995,6.302393051591478e-05,6.297375614607172e-05,5.0174369843055755e-08,1.791535660622401e-05,0.0,6.104749849886582,43.0,0.0,-0.3211789145086044,-0.3211789145086044,Guiyang
bus_BV10285440,6.302393051591478e-05,6.298540412924403e-05,3.852638667074457e-08,1.791535660622401e-05,0.0,6.096737129113826,90.0,0.0,-0.33456576164217394,-0.33456576164217394,Guiyang
bus_BV11319991,6.302393051591478e-05,6.299907277437757e-05,2.4857741537205537e-08,1.791535660622401e-05,0.0,6.010161848041814,27.0,0.0,-0.35956044823602323,-0.35956044823602323,Guiyang
bus_BV10284773,6.302393051591478e-05,6.297045951752503e-05,5.3470998389752505e-08,1.791535660622401e-05,0.0,5.748467218474622,43.0,0.0,-0.3605315134395924,-0.3605315134395924,Guiyang
bus_BV10284715,6.302393051591478e-05,6.292718269183692e-05,9.674782407785684e-08,1.791535660622401e-05,0.0,5.343759716676185,57.5,0.0,-0.3630712086097234,-0.3630712086097234,Guiyang
bus_BV10284642,6.302393051591478e-05,6.300793867263268e-05,1.599184328209891e-08,1.791535660622401e-05,0.0,5.922102835468637,22.5,0.0,-0.37961146032948895,-0.37961146032948895,Guiyang
bus_BV10285218,6.302393051591478e-05,6.298672178635689e-05,3.720872955788898e-08,1.791535660622401e-05,0.0,5.510078563173215,73.0,0.0,-0.40655876769118665,-0.40655876769118665,Guiyang
bus_BV10953160,6.302393051591478e-05,6.297460494378262e-05,4.93255721321597e-08,1.791535660622401e-05,0.0,5.069907363833234,148.0,0.0,-0.44659808784157395,-0.44659808784157395,Guiyang
bus_BV10284786,6.302393051591478e-05,6.298746684846155e-05,3.646366745322532e-08,1.791535660622401e-05,0.0,5.172529674582823,57.5,0.0,-0.4479678143715356,-0.4479678143715356,Guiyang
bus_BV10284620,6.302393051591478e-05,6.29879164982997e-05,3.60140176150828e-08,1.791535660622401e-05,0.0,5.166858956630909,33.0,0.0,-0.4491296824072389,-0.4491296824072389,Guiyang
bus_BV10482514,6.302393051591478e-05,6.29849075795979e-05,3.9022936316871794e-08,1.791535660622401e-05,0.0,5.071485249726006,255.0,0.0,-0.4573961451580755,-0.4573961451580755,Guiyang
bus_BV10800823,6.302393051591478e-05,6.301391387646535e-05,1.0016639449429558e-08,1.791535660622401e-05,0.0,5.271996582808441,57.5,0.0,-0.46420593583906083,-0.46420593583906083,Guiyang
bus_BV11478686,6.302393051591478e-05,6.301968306598365e-05,4.24744993113269e-09,1.791535660622401e-05,0.0,5.106908299068104,73.0,0.0,-0.4902225492159432,-0.4902225492159432,Guiyang
bus_BV10284598,6.302393051591478e-05,6.302030633600679e-05,3.6241799079888204e-09,1.791535660622401e-05,0.0,4.950252867080765,90.0,0.0,-0.5097363101973612,-0.5097363101973612,Guiyang
bus_BV10284605,6.302393051591478e-05,6.305399072051849e-05,-3.0060204603710866e-08,1.791535660622401e-05,0.0,5.152449403748239,18.0,0.0,-0.5213325830442394,-0.5213325830442394,Guiyang
