node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10844476,2.4026185757667098e-05,2.384465115480872e-05,1.8153460285837792e-07,0.002464664006146977,0.01037344398340249,8.955785131294027,290.5,0.0,3.55192589185793,3.55192589185793,Hangzhou
bus_BV09062684,2.4026185757667098e-05,2.394814317308256e-05,7.804258458453853e-08,0.00026016423308072856,0.0,10.107888986443816,31.5,0.0625,1.0573376337722107,1.0573376337722107,Hangzhou
bus_BV10383571,2.4026185757667098e-05,2.4007172346756193e-05,1.901341091090547e-08,8.113186024116814e-07,0.0,19.394175918029255,1.0,0.0,0.7665082074432926,0.7665082074432926,Hangzhou
bus_BV10181431,2.4026185757667098e-05,2.384558987742463e-05,1.80595880242469e-07,8.113186024116814e-07,0.0,7.4616914189994565,628.0,0.0,0.5816970731862429,0.5816970731862429,Hangzhou
bus_BV10181603,2.4026185757667098e-05,2.401779692187665e-05,8.388835790446958e-09,8.113186024116814e-07,0.0,9.437601160053037,31.5,0.06666666666666667,0.517076106029922,0.517076106029922,Hangzhou
bus_BV09208763,2.4026185757667098e-05,2.4023758220274645e-05,2.4275373924528257e-09,8.113186024116814e-07,0.0,9.710686970356038,49.0,0.06666666666666667,0.5091600110302413,0.5091600110302413,Hangzhou
bus_BV10183694,2.4026185757667098e-05,2.4022629662515722e-05,3.556095151375729e-09,8.113186024116814e-07,0.0,7.925691808586095,102.5,0.07692307692307693,0.4632913472881597,0.4632913472881597,Hangzhou
bus_BV10180736,2.4026185757667098e-05,2.4016517317833632e-05,9.668439833465658e-09,6.56495472219909e-05,0.0,15.621406983001473,6.0,0.0,0.42132864399567205,0.42132864399567205,Hangzhou
bus_BV10181063,2.4026185757667098e-05,2.4004346288575163e-05,2.183946909193555e-08,8.113186024116814e-07,0.0,9.669314057068945,6.0,0.047619047619047616,0.41388178756951705,0.41388178756951705,Hangzhou
bus_BV10389490,2.4026185757667098e-05,2.39733053508274e-05,5.2880406839698725e-08,6.56495472219909e-05,0.002074688796680498,7.85654552764046,31.5,0.0,0.24997770353827353,0.24997770353827353,Hangzhou
bus_BV11148787,2.4026185757667098e-05,2.405039861610675e-05,-2.42128584396503e-08,8.113186024116814e-07,0.0,15.58820623118378,9.0,0.0,0.1990299322880028,0.1990299322880028,Hangzhou
bus_BV10181321,2.4026185757667098e-05,2.400130217212502e-05,2.4883585542079516e-08,8.113186024116814e-07,0.0,10.799171368491724,147.0,0.0,0.04031812841545965,0.04031812841545965,Hangzhou
bus_BV10183395,2.4026185757667098e-05,2.401999762830795e-05,6.1881293591467014e-09,8.113186024116814e-07,0.0,11.21034168478958,16.5,0.0,-0.023760052873342263,-0.023760052873342263,Hangzhou
bus_BV10184121,2.4026185757667098e-05,2.402038845043606e-05,5.797307231038067e-09,8.113186024116814e-07,0.0,11.157235078614317,31.5,0.0,-0.030538911913052642,-0.030538911913052642,Hangzhou
bus_BV10181363,2.4026185757667098e-05,2.4016820033859998e-05,9.365723807100142e-09,8.113186024116814e-07,0.0,10.888164075532213,49.0,0.0,-0.035109736827364416,-0.035109736827364416,Hangzhou
bus_BV10181183,2.4026185757667098e-05,2.4025551734301158e-05,6.340233659401584e-10,8.113186024116814e-07,0.0,11.161505327596709,21.5,0.0,-0.05787003247364701,-0.05787003247364701,Hangzhou
bus_BV10180590,2.4026185757667098e-05,2.4023000012206738e-05,3.185745460360383e-09,8.113186024116814e-07,0.0,10.992613128746862,6.0,0.0,-0.059065468545918126,-0.059065468545918126,Hangzhou
bus_BV10180734,2.4026185757667098e-05,2.402176515018112e-05,4.42060748597945e-09,8.113186024116814e-07,0.0,10.768238877793538,16.5,0.0,-0.07221853815884102,-0.07221853815884102,Hangzhou
bus_BV10181692,2.4026185757667098e-05,2.4016935290462366e-05,9.250467204732158e-09,8.113186024116814e-07,0.0,10.148449504058178,147.0,0.0,-0.10093763337790687,-0.10093763337790687,Hangzhou
bus_BV10180532,2.4026185757667098e-05,2.4023978448552452e-05,2.2073091146458006e-09,8.113186024116814e-07,0.0,10.168197868202208,2.0,0.0,-0.13699219198974724,-0.13699219198974724,Hangzhou
bus_BV10180669,2.4026185757667098e-05,2.401797894541742e-05,8.20681224967897e-09,6.56495472219909e-05,0.0,9.307901403368401,31.5,0.0,-0.14308073651590753,-0.14308073651590753,Hangzhou
bus_BV10186046,2.4026185757667098e-05,2.4019166603998404e-05,7.019153668693989e-09,8.113186024116814e-07,0.0,9.66238766052511,70.5,0.0,-0.15576014948331662,-0.15576014948331662,Hangzhou
bus_BV10943967,2.4026185757667098e-05,2.4026065776355893e-05,1.1998131120558356e-10,8.113186024116814e-07,0.0,9.736430194813725,31.5,0.0,-0.18625574975970005,-0.18625574975970005,Hangzhou
bus_BV10180654,2.4026185757667098e-05,2.4015851072707585e-05,1.0334684959513587e-08,8.113186024116814e-07,0.0,9.043456547419556,49.0,0.0,-0.1925298766646527,-0.1925298766646527,Hangzhou
bus_BV10182818,2.4026185757667098e-05,2.401803983500206e-05,8.145922665038079e-09,8.113186024116814e-07,0.0,9.15102914116452,49.0,0.0,-0.19479231937476943,-0.19479231937476943,Hangzhou
bus_BV09010740,2.4026185757667098e-05,2.4025665850951336e-05,5.199067157625708e-10,8.113186024116814e-07,0.0,9.570213834751959,6.0,0.0,-0.198762414893062,-0.198762414893062,Hangzhou
bus_BV10182792,2.4026185757667098e-05,2.3999073070898977e-05,2.7112686768121437e-08,8.113186024116814e-07,0.0,7.762036802620708,12.0,0.0,-0.2154579434048896,-0.2154579434048896,Hangzhou
bus_BV10183642,2.4026185757667098e-05,2.401349724226045e-05,1.2688515406647657e-08,6.56495472219909e-05,0.0,7.921244199474006,12.0,0.0,-0.24127122222728098,-0.24127122222728098,Hangzhou
bus_BV09009899,2.4026185757667098e-05,2.4019366215499283e-05,6.819542167815475e-09,8.113186024116814e-07,0.0,8.673558547191996,31.5,0.0,-0.24400136253418403,-0.24400136253418403,Hangzhou
bus_BV10180577,2.4026185757667098e-05,2.4025794403663607e-05,3.91354003491265e-10,8.113186024116814e-07,0.0,9.032768682728502,12.0,0.0,-0.24683063934327115,-0.24683063934327115,Hangzhou
bus_BV10944260,2.4026185757667098e-05,2.4015914144834533e-05,1.0271612832565277e-08,8.113186024116814e-07,0.0,8.42361701945419,3.0,0.0,-0.24751017546016896,-0.24751017546016896,Hangzhou
bus_BV11315946,2.4026185757667098e-05,2.4026185757667098e-05,0.0,6.56495472219909e-05,0.0,8.608538147419354,6.0,0.0,-0.2487729243520394,-0.2487729243520394,Hangzhou
bus_BV10184436,2.4026185757667098e-05,2.4003630472664995e-05,2.2555285002103084e-08,8.113186024116814e-07,0.0,7.5382828002873525,204.0,0.0,-0.2596391733519752,-0.2596391733519752,Hangzhou
bus_BV10184378,2.4026185757667098e-05,2.40236631847587e-05,2.522572908398484e-09,8.113186024116814e-07,0.0,8.7573354876294,147.0,0.0,-0.25967470957273847,-0.25967470957273847,Hangzhou
bus_BV10509231,2.4026185757667098e-05,2.400533750690939e-05,2.084825075770674e-08,8.113186024116814e-07,0.0,7.615067267979469,422.5,0.0,-0.2620306558301665,-0.2620306558301665,Hangzhou
bus_BV10338221,2.4026185757667098e-05,2.4026185757667098e-05,0.0,8.113186024116814e-07,0.0,8.86478912630508,21.5,0.0,-0.2637389558680423,-0.2637389558680423,Hangzhou
bus_BV10184571,2.4026185757667098e-05,2.4025471728870418e-05,7.140287966805555e-10,6.56495472219909e-05,0.0,8.128494681458498,102.5,0.0,-0.28725939601933004,-0.28725939601933004,Hangzhou
bus_BV10838153,2.4026185757667098e-05,2.4018600367202593e-05,7.585390464504699e-09,8.113186024116814e-07,0.0,8.03543692504656,102.5,0.0,-0.2961451069845518,-0.2961451069845518,Hangzhou
bus_BV09264164,2.4026185757667098e-05,2.402289140021944e-05,3.2943574476571253e-09,8.113186024116814e-07,0.0,8.290503393388441,70.5,0.0,-0.29668660247639195,-0.29668660247639195,Hangzhou
bus_BV10181460,2.4026185757667098e-05,2.4026160114466e-05,2.5643201097432216e-11,8.113186024116814e-07,0.0,8.47535117922865,21.5,0.0,-0.2979321764817602,-0.2979321764817602,Hangzhou
bus_BV10180688,2.4026185757667098e-05,2.401049942633085e-05,1.5686331336248557e-08,8.113186024116814e-07,0.0,7.464584973166855,12.0,0.0,-0.302996635780334,-0.302996635780334,Hangzhou
bus_BV10183824,2.4026185757667098e-05,2.4013194253010963e-05,1.2991504656134818e-08,8.113186024116814e-07,0.0,7.394109103033112,290.5,0.0,-0.32367058427737144,-0.32367058427737144,Hangzhou
bus_BV10180643,2.4026185757667098e-05,2.401678615818845e-05,9.399599478648359e-09,8.113186024116814e-07,0.0,7.516249028070785,31.5,0.0,-0.3321784870056904,-0.3321784870056904,Hangzhou
bus_BV11600877,2.4026185757667098e-05,2.4023877969084482e-05,2.3077885826162025e-09,6.56495472219909e-05,0.0,7.419382920681817,21.5,0.0,-0.34121846807064904,-0.34121846807064904,Hangzhou
bus_BV10183673,2.4026185757667098e-05,2.4026185757667098e-05,0.0,8.113186024116814e-07,0.0,7.945929661215019,31.5,0.0,-0.34474083899831265,-0.34474083899831265,Hangzhou
bus_BV11070627,2.4026185757667098e-05,2.4021007194412135e-05,5.17856325496266e-09,8.113186024116814e-07,0.0,7.517310338470091,102.5,0.0,-0.3547361378366478,-0.3547361378366478,Hangzhou
bus_BV10180528,2.4026185757667098e-05,2.4060569666617e-05,-3.43839089499014e-08,6.56495472219909e-05,0.0,9.293912925479725,12.0,0.0,-0.3728671006691924,-0.3728671006691924,Hangzhou
bus_BV10646921,2.4026185757667098e-05,2.4026120922341066e-05,6.483532603211804e-11,8.113186024116814e-07,0.0,7.611437749088379,70.5,0.0,-0.37387998681190643,-0.37387998681190643,Hangzhou
bus_BV10187127,2.4026185757667098e-05,2.4026185757667098e-05,0.0,8.113186024116814e-07,0.0,7.5032433904406854,204.0,0.0,-0.38376576384372757,-0.38376576384372757,Hangzhou
bus_BV10426889,2.4026185757667098e-05,2.402513170375874e-05,1.0540539083580907e-09,8.113186024116814e-07,0.0,7.404052230957812,204.0,0.0,-0.38685360636307503,-0.38685360636307503,Hangzhou
