node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV11159503,2.6830853903571572e-05,2.643230088595047e-05,3.9855301762110217e-07,0.004026595163664548,0.008032128514056224,5.688001826941504,281.0,0.0,2.5247650907795594,2.5247650907795594,Luoyang
bus_BV10098459,2.6830853903571572e-05,2.6390130847749227e-05,4.4072305582234465e-07,0.0020136226742886176,0.006024096385542169,5.713558297360426,34.5,0.0,1.6520861758534668,1.6520861758534668,Luoyang
bus_BV09140008,2.6830853903571572e-05,2.6474754953395498e-05,3.560989501760741e-07,6.501849125761794e-07,0.0,23.288443749276933,1.0,0.0,1.2789654828528567,1.2789654828528567,Luoyang
bus_BV11694024,2.6830853903571572e-05,2.6830767042002128e-05,8.686156944404241e-11,6.501849125761794e-07,0.0,5.864384755573241,34.5,0.09090909090909091,0.7757622174594359,0.7757622174594359,Luoyang
bus_BV11402631,2.6830853903571572e-05,2.5966872269680962e-05,8.639816338906097e-07,6.501849125761794e-07,0.0,7.183820782248139,13.5,0.0,0.7672817343917707,0.7672817343917707,Luoyang
bus_BV10377949,2.6830853903571572e-05,2.6830853903571572e-05,0.0,6.501849125761794e-07,0.0,5.663339518792423,9.5,0.07142857142857142,0.5185466762889075,0.5185466762889075,Luoyang
bus_BV10098052,2.6830853903571572e-05,2.6334429130045706e-05,4.96424773525866e-07,6.501849125761794e-07,0.0,8.673407870519025,20.5,0.0,0.43075945711677044,0.43075945711677044,Luoyang
bus_BV10098850,2.6830853903571572e-05,2.68037608741504e-05,2.709302942117373e-08,6.501849125761794e-07,0.0,14.811827179190024,6.0,0.0,0.29562305742022044,0.29562305742022044,Luoyang
bus_BV11047506,2.6830853903571572e-05,2.6751898466531827e-05,7.895543703974493e-08,0.0004479774047738694,0.002008032128514056,7.0858318393111555,20.5,0.0,0.24728509654459516,0.24728509654459516,Luoyang
bus_BV10955172,2.6830853903571572e-05,2.681018547917172e-05,2.0668424399851524e-08,6.501849125761794e-07,0.0,12.726472075279647,2.0,0.0,0.14292961750450658,0.14292961750450658,Luoyang
bus_BV10377927,2.6830853903571572e-05,2.6586884658539176e-05,2.439692450323963e-07,6.501849125761794e-07,0.0,8.864033839286973,20.5,0.0,0.14173424825106995,0.14173424825106995,Luoyang
bus_BV10098983,2.6830853903571572e-05,2.6453474586644024e-05,3.773793169275484e-07,6.501849125761794e-07,0.0,5.541491865345619,76.0,0.0,0.07044792469499728,0.07044792469499728,Luoyang
bus_BV11380524,2.6830853903571572e-05,2.6830853903571572e-05,0.0,0.0004479774047738694,0.0,9.74856112453266,34.5,0.0,0.05345440713333896,0.05345440713333896,Luoyang
bus_BV10615991,2.6830853903571572e-05,2.6817894677521593e-05,1.2959226049978997e-08,6.501849125761794e-07,0.0,10.665623083678296,3.0,0.0,-0.0095979601496218,-0.0095979601496218,Luoyang
bus_BV10098182,2.6830853903571572e-05,2.66951504580637e-05,1.357034455078724e-07,6.501849125761794e-07,0.0,8.040448532630984,6.0,0.0,-0.04516513240646702,-0.04516513240646702,Luoyang
bus_BV11115968,2.6830853903571572e-05,2.6827315527122966e-05,3.538376448605936e-09,0.0004479774047738694,0.0,8.011117956841519,13.5,0.0,-0.06311842247871571,-0.06311842247871571,Luoyang
bus_BV10098331,2.6830853903571572e-05,2.662664329213005e-05,2.04210611441522e-07,6.501849125761794e-07,0.0,6.391302879309938,76.0,0.0,-0.07780738681115754,-0.07780738681115754,Luoyang
bus_BV11542213,2.6830853903571572e-05,2.6717935742694412e-05,1.1291816087716025e-07,6.501849125761794e-07,0.0,7.944941619248732,4.0,0.0,-0.07908818337588644,-0.07908818337588644,Luoyang
bus_BV11178527,2.6830853903571572e-05,2.679528027746951e-05,3.5573626102061506e-08,6.501849125761794e-07,0.0,9.209203486106707,34.5,0.0,-0.08378953802098797,-0.08378953802098797,Luoyang
bus_BV10098153,2.6830853903571572e-05,2.669415521622641e-05,1.3669868734516243e-07,6.501849125761794e-07,0.0,7.127896226637167,184.0,0.0,-0.10742591830605648,-0.10742591830605648,Luoyang
bus_BV10098606,2.6830853903571572e-05,2.6802701853957116e-05,2.8152049614456353e-08,6.501849125761794e-07,0.0,8.619113435930906,6.0,0.0,-0.13370653038924082,-0.13370653038924082,Luoyang
bus_BV11621401,2.6830853903571572e-05,2.677078058127923e-05,6.007332229234248e-08,6.501849125761794e-07,0.0,7.796000296247995,76.0,0.0,-0.1527187748472199,-0.1527187748472199,Luoyang
bus_BV10098587,2.6830853903571572e-05,2.669155277830854e-05,1.3930112526303363e-07,6.501849125761794e-07,0.0,6.275451972446593,76.0,0.0,-0.16358282313527306,-0.16358282313527306,Luoyang
bus_BV11324698,2.6830853903571572e-05,2.68150651827872e-05,1.5788720784371647e-08,6.501849125761794e-07,0.0,8.376368667985938,76.0,0.0,-0.16538863632356735,-0.16538863632356735,Luoyang
bus_BV10619150,2.6830853903571572e-05,2.6792738914600778e-05,3.8114988970794047e-08,6.501849125761794e-07,0.0,7.2229860334632665,9.5,0.0,-0.21885415951880016,-0.21885415951880016,Luoyang
bus_BV11013452,2.6830853903571572e-05,2.682791930468094e-05,2.9345988906330587e-09,6.501849125761794e-07,0.0,7.644599234338929,20.5,0.0,-0.23166172244252956,-0.23166172244252956,Luoyang
bus_BV11107700,2.6830853903571572e-05,2.6822785211009737e-05,8.06869256183559e-09,6.501849125761794e-07,0.0,7.358518588991989,34.5,0.0,-0.2454063966411153,-0.2454063966411153,Luoyang
bus_BV10441389,2.6830853903571572e-05,2.6825817065186866e-05,5.036838384706233e-09,6.501849125761794e-07,0.0,7.3918629623745336,13.5,0.0,-0.24671808322678465,-0.24671808322678465,Luoyang
bus_BV10098473,2.6830853903571572e-05,2.679679871283225e-05,3.4055190739321376e-08,6.501849125761794e-07,0.0,6.861977879281556,52.0,0.0,-0.2488171566196289,-0.2488171566196289,Luoyang
bus_BV10098403,2.6830853903571572e-05,2.677989441602112e-05,5.095948755045126e-08,6.501849125761794e-07,0.0,6.280334271596031,13.5,0.0,-0.269020030549123,-0.269020030549123,Luoyang
