node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV09406125,3.471843277782982e-05,3.2921679943860864e-05,1.796752833968953e-06,0.11450367322956734,0.22469635627530365,7.3333909987309145,165.0,0.0,2.6401781964270308,2.6401781964270308,Shenyang
bus_BV11183612,3.471843277782982e-05,3.289487730924215e-05,1.8235554685876702e-06,0.11631855526223522,0.22672064777327935,6.272776663897973,423.0,0.0,2.5529430319287316,2.5529430319287316,Shenyang
bus_BV11355508,3.471843277782982e-05,3.3817654221749404e-05,9.007785560804127e-07,0.06583183689892891,0.13562753036437247,7.664970127672557,101.0,0.0,1.4255045081072708,1.4255045081072708,Shenyang
bus_BV10856687,3.471843277782982e-05,3.4414454083592694e-05,3.0397869423712346e-07,1.1158957941015402e-06,0.0,10.464219811098031,5.5,0.06666666666666667,0.9371488093312585,0.9371488093312585,Shenyang
bus_BV10944872,3.471843277782982e-05,3.469031937591037e-05,2.811340191944707e-08,1.1158957941015402e-06,0.0,6.27395211891565,63.5,0.1,0.6005804574767244,0.6005804574767244,Shenyang
bus_BV11066649,3.471843277782982e-05,3.467122965672671e-05,4.720312110310926e-08,1.1158957941015402e-06,0.0,6.473580999991299,13.5,0.08333333333333333,0.4816613843573041,0.4816613843573041,Shenyang
bus_BV10922236,3.471843277782982e-05,3.469367641352638e-05,2.4756364303435852e-08,0.00033109444718826264,0.0,12.602822006290278,3.0,0.0,0.4313332565046818,0.4313332565046818,Shenyang
bus_BV11194086,3.471843277782982e-05,3.429858737931036e-05,4.19845398519456e-07,0.027884303488600493,0.05060728744939271,6.655023618295741,101.0,0.0,0.38060909387951936,0.38060909387951936,Shenyang
bus_BV10049323,3.471843277782982e-05,3.471352196255636e-05,4.910815273458341e-09,1.1158957941015402e-06,0.0,6.969978411690804,5.5,0.06666666666666667,0.3647839762729794,0.3647839762729794,Shenyang
bus_BV10954420,3.471843277782982e-05,3.4630439783881084e-05,8.799299394873295e-08,1.1158957941015402e-06,0.0,11.137415544736232,1.0,0.0,0.28982037622930684,0.28982037622930684,Shenyang
bus_BV10049974,3.471843277782982e-05,3.4714676808566534e-05,3.755969263282951e-09,1.1158957941015402e-06,0.0,11.51114287476233,2.0,0.0,0.2886687672839865,0.2886687672839865,Shenyang
bus_BV10049757,3.471843277782982e-05,3.4710235410604264e-05,8.197367225553504e-09,1.1158957941015402e-06,0.0,11.162515381660343,36.5,0.0,0.24995839003985676,0.24995839003985676,Shenyang
bus_BV10050738,3.471843277782982e-05,3.428677229932258e-05,4.316604785072368e-07,0.0004960837228853432,0.0020242914979757085,8.772887943383518,13.5,0.0,0.20806516177645318,0.20806516177645318,Shenyang
bus_BV10433929,3.471843277782982e-05,3.467563027224742e-05,4.28025055823969e-08,0.0001661051714911821,0.0020242914979757085,9.025744369013687,63.5,0.0,0.02648233928911005,0.02648233928911005,Shenyang
bus_BV10944878,3.471843277782982e-05,3.456147591441881e-05,1.5695686341100521e-07,1.1158957941015402e-06,0.0,7.942807680790749,5.5,0.0,-0.049729572560993585,-0.049729572560993585,Shenyang
bus_BV10049358,3.471843277782982e-05,3.4678360527803055e-05,4.0072250026761764e-08,0.0006610729985824237,0.0,8.236219501452915,5.5,0.0,-0.0724365631239289,-0.0724365631239289,Shenyang
bus_BV10051420,3.471843277782982e-05,3.4566038029306064e-05,1.523947485237531e-07,1.1158957941015402e-06,0.0,6.9214301889789205,36.5,0.0,-0.1725705252851692,-0.1725705252851692,Shenyang
bus_BV10052034,3.471843277782982e-05,3.455900630801371e-05,1.5942646981610936e-07,1.1158957941015402e-06,0.0,6.775637256384567,423.0,0.0,-0.18598215106416482,-0.18598215106416482,Shenyang
bus_BV10896421,3.471843277782982e-05,3.471124699821097e-05,7.185779618849777e-09,0.0001661051714911821,0.0,7.397254044338233,36.5,0.0,-0.19304915973439923,-0.19304915973439923,Shenyang
bus_BV10922246,3.471843277782982e-05,3.46236904286727e-05,9.474234915711732e-08,0.0004960837228853432,0.0,6.9246446736589755,63.5,0.0,-0.1990560788208881,-0.1990560788208881,Shenyang
bus_BV10808634,3.471843277782982e-05,3.4651881669146176e-05,6.655110868364073e-08,1.1158957941015402e-06,0.0,7.052802007538132,63.5,0.0,-0.2031514518874457,-0.2031514518874457,Shenyang
bus_BV11007688,3.471843277782982e-05,3.460268676399819e-05,1.1574601383163003e-07,0.00033109444718826264,0.0020242914979757085,6.438839418690891,36.5,0.0,-0.23794246391902657,-0.23794246391902657,Shenyang
bus_BV10049321,3.471843277782982e-05,3.4716027275147294e-05,2.405502682523077e-09,1.1158957941015402e-06,0.0,7.007444629717853,8.5,0.0,-0.24292019745516202,-0.24292019745516202,Shenyang
bus_BV10947658,3.471843277782982e-05,3.4697561101013075e-05,2.087167681674246e-08,0.0001661051714911821,0.0,6.866588410227337,36.5,0.0,-0.24825605404449824,-0.24825605404449824,Shenyang
bus_BV10473731,3.471843277782982e-05,3.4468649117465145e-05,2.497836603646724e-07,1.1158957941015402e-06,0.0,5.757786113233135,267.0,0.0,-0.25747107271240727,-0.25747107271240727,Shenyang
bus_BV11136664,3.471843277782982e-05,3.4717138825766414e-05,1.2939520634033504e-09,1.1158957941015402e-06,0.0,6.751091483231091,36.5,0.0,-0.273733792298601,-0.273733792298601,Shenyang
bus_BV10049391,3.471843277782982e-05,3.4696863643758696e-05,2.1569134071121104e-08,1.1158957941015402e-06,0.0,6.5894397840705645,63.5,0.0,-0.28190792428486716,-0.28190792428486716,Shenyang
bus_BV11405098,3.471843277782982e-05,3.4628438742093554e-05,8.999403573626354e-08,0.008250579680648018,0.010121457489878543,5.310816103591967,2246.5,0.0,-0.28569571573909563,-0.28569571573909563,Shenyang
