node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10698458,4.908935384649427e-05,4.891434852228596e-05,1.750053242083094e-07,0.0003985554989008877,0.004228329809725159,14.39302928978834,5.0,0.0,2.4259636541520684,2.4259636541520684,Shenzhen
bus_BV11049400,4.908935384649427e-05,4.738328911472914e-05,1.706064731765128e-06,3.2464990327163434e-06,0.0,11.533742212551145,578.5,0.0,1.332494373471662,1.332494373471662,Shenzhen
bus_BV10915430,4.908935384649427e-05,4.903109993634289e-05,5.8253910151379853e-08,0.0002667858322781269,0.0021141649048625794,7.206503432004582,11.5,0.0,0.9853825166299677,0.9853825166299677,Shenzhen
bus_BV10244410,4.908935384649427e-05,4.908935384649427e-05,0.0,0.0002667858322781269,0.0,17.84955696177529,3.0,0.0,0.8651800405214158,0.8651800405214158,Shenzhen
bus_BV10243043,4.908935384649427e-05,4.906132271436938e-05,2.8031132124893576e-08,0.00013501616565547714,0.0,9.960357934720943,127.0,0.07692307692307693,0.7698681715467728,0.7698681715467728,Shenzhen
bus_BV10448711,4.908935384649427e-05,4.9085272668943456e-05,4.081177550814834e-09,0.00013501616565547714,0.0,18.0859062285319,4.0,0.0,0.5695829286984095,0.5695829286984095,Shenzhen
bus_BV10382748,4.908935384649427e-05,4.907985601380257e-05,9.497832691702612e-09,0.00013501616565547714,0.0,6.25509717527571,94.5,0.06666666666666667,0.47257468747143416,0.47257468747143416,Shenzhen
bus_BV10244991,4.908935384649427e-05,4.908653485759383e-05,2.8189889004375836e-09,3.2464990327163434e-06,0.0,21.7009535079187,1.5,0.0,0.4513453879475365,0.4513453879475365,Shenzhen
bus_BV09063181,4.908935384649427e-05,4.907433078553819e-05,1.5023060956084278e-08,3.2464990327163434e-06,0.0,7.769979669058829,326.0,0.09090909090909091,0.44160974479690934,0.44160974479690934,Shenzhen
bus_BV09403774,4.908935384649427e-05,4.908935384649427e-05,0.0,3.2464990327163434e-06,0.0,18.382774726501232,28.5,0.0,0.2703979766712912,0.2703979766712912,Shenzhen
bus_BV10247055,4.908935384649427e-05,4.904923326432085e-05,4.012058217342339e-08,3.2464990327163434e-06,0.0,8.709967888753138,38.5,0.05555555555555555,0.2294388950561986,0.2294388950561986,Shenzhen
bus_BV10570155,4.908935384649427e-05,4.9122196000219854e-05,-3.284215372558266e-08,3.2464990327163434e-06,0.0,11.091415583398037,8.0,0.043478260869565216,0.19946811332413844,0.19946811332413844,Shenzhen
bus_BV10243171,4.908935384649427e-05,4.904477834763066e-05,4.4575498863613e-08,3.2464990327163434e-06,0.0,7.038923516726678,70.5,0.0625,0.1989875982389185,0.1989875982389185,Shenzhen
bus_BV10382406,4.908935384649427e-05,4.906703659928394e-05,2.231724721032778e-08,3.2464990327163434e-06,0.0,16.196974492508534,1.5,0.0,0.17147414218746515,0.17147414218746515,Shenzhen
bus_BV09084757,4.908935384649427e-05,4.9083134692124984e-05,6.219154369286738e-09,3.2464990327163434e-06,0.0,8.343174493487728,19.5,0.05,0.13667004525431217,0.13667004525431217,Shenzhen
bus_BV10243423,4.908935384649427e-05,4.907734969947538e-05,1.2004147018888792e-08,3.2464990327163434e-06,0.0,7.733720844191165,28.5,0.05263157894736842,0.12984626221804604,0.12984626221804604,Shenzhen
bus_BV10387555,4.908935384649427e-05,4.907058334201386e-05,1.8770504480407737e-08,3.2464990327163434e-06,0.0,5.955944835648535,50.5,0.058823529411764705,0.089548283332505,0.089548283332505,Shenzhen
bus_BV10582353,4.908935384649427e-05,4.9077347623273874e-05,1.2006223220397414e-08,3.2464990327163434e-06,0.0,6.379045467081783,11.5,0.045454545454545456,-0.0006752956929415577,-0.0006752956929415577,Shenzhen
bus_BV11088950,4.908935384649427e-05,4.908935384649427e-05,0.0,0.00013501616565547714,0.0,6.3406689337296225,326.0,0.0,-0.06596475560863777,-0.06596475560863777,Shenzhen
bus_BV10243741,4.908935384649427e-05,4.9086418804835806e-05,2.9350416584647348e-09,0.00013501616565547714,0.0,5.975546212970933,19.5,0.0,-0.08315422073422726,-0.08315422073422726,Shenzhen
bus_BV10590220,4.908935384649427e-05,4.906776993539983e-05,2.1583911094442173e-08,3.2464990327163434e-06,0.0,11.061789356412449,28.5,0.0,-0.10551498159014194,-0.10551498159014194,Shenzhen
bus_BV10862260,4.908935384649427e-05,4.9088320296767063e-05,1.0335497272075502e-09,3.2464990327163434e-06,0.0,11.326815221156421,28.5,0.0,-0.10848494208557642,-0.10848494208557642,Shenzhen
bus_BV10922198,4.908935384649427e-05,4.90585945343542e-05,3.0759312140071706e-08,3.2464990327163434e-06,0.0,10.339562030059824,38.5,0.0,-0.13669053318148522,-0.13669053318148522,Shenzhen
bus_BV10853457,4.908935384649427e-05,4.908930913243441e-05,4.471405986087012e-11,3.2464990327163434e-06,0.0,9.285373661358541,6.0,0.0,-0.21918396318547173,-0.21918396318547173,Shenzhen
bus_BV11633702,4.908935384649427e-05,4.908579077310786e-05,3.5630733864126622e-09,3.2464990327163434e-06,0.0,8.984323260161766,70.5,0.0,-0.23243590363942646,-0.23243590363942646,Shenzhen
bus_BV10244181,4.908935384649427e-05,4.9084134170497486e-05,5.219675996784854e-09,3.2464990327163434e-06,0.0,8.733745480808912,28.5,0.0,-0.24453269541279754,-0.24453269541279754,Shenzhen
bus_BV10245131,4.908935384649427e-05,4.9080735700891305e-05,8.618145602965778e-09,3.2464990327163434e-06,0.0,8.347514667534208,28.5,0.0,-0.26246956023478657,-0.26246956023478657,Shenzhen
bus_BV10242921,4.908935384649427e-05,4.907660965065509e-05,1.2744195839182028e-08,3.2464990327163434e-06,0.0,8.100976820315939,758.0,0.0,-0.2722780403267843,-0.2722780403267843,Shenzhen
bus_BV10243631,4.908935384649427e-05,4.906982951047692e-05,1.9524336017347828e-08,3.2464990327163434e-06,0.0,7.881958318441219,15.0,0.0,-0.27837971224008057,-0.27837971224008057,Shenzhen
bus_BV10968097,4.908935384649427e-05,4.905036811292129e-05,3.898573357298199e-08,3.2464990327163434e-06,0.0,7.206437132901141,15.0,0.0,-0.2984156958482424,-0.2984156958482424,Shenzhen
bus_BV09084989,4.908935384649427e-05,4.901541405086217e-05,7.393979563210076e-08,3.2464990327163434e-06,0.0,6.543986757012321,234.0,0.0,-0.3047560328443564,-0.3047560328443564,Shenzhen
bus_BV10242366,4.908935384649427e-05,4.908872564515296e-05,6.282013413082851e-10,3.2464990327163434e-06,0.0,7.529371374702689,8.0,0.0,-0.3132021737729348,-0.3132021737729348,Shenzhen
bus_BV11633634,4.908935384649427e-05,4.908295697489288e-05,6.396871601391523e-09,3.2464990327163434e-06,0.0,7.436715240384533,94.5,0.0,-0.31335128110306837,-0.31335128110306837,Shenzhen
bus_BV10921055,4.908935384649427e-05,4.91149901537689e-05,-2.563630727462577e-08,3.2464990327163434e-06,0.0,7.744697087950449,11.5,0.0,-0.3236388770696438,-0.3236388770696438,Shenzhen
bus_BV10244403,4.908935384649427e-05,4.908905818120093e-05,2.95665293341559e-10,3.2464990327163434e-06,0.0,7.183034079645684,70.5,0.0,-0.3321208100507388,-0.3321208100507388,Shenzhen
bus_BV11320486,4.908935384649427e-05,4.908935384649427e-05,0.0,3.2464990327163434e-06,0.0,6.990250555463293,28.5,0.0,-0.34274430786458787,-0.34274430786458787,Shenzhen
bus_BV11306735,4.908935384649427e-05,4.906556477689852e-05,2.3789069595751876e-08,3.2464990327163434e-06,0.0,6.535256064986704,70.5,0.0,-0.3472824154621257,-0.3472824154621257,Shenzhen
bus_BV10244073,4.908935384649427e-05,4.904358848767541e-05,4.576535881886017e-08,3.2464990327163434e-06,0.0,6.078714235358821,70.5,0.0,-0.3534240016487555,-0.3534240016487555,Shenzhen
bus_BV10382721,4.908935384649427e-05,4.9088183655572766e-05,1.1701909215046705e-09,3.2464990327163434e-06,0.0,6.692572229299445,94.5,0.0,-0.35778394296672067,-0.35778394296672067,Shenzhen
bus_BV10660622,4.908935384649427e-05,4.908556912147519e-05,3.7847250190822085e-09,3.2464990327163434e-06,0.0,6.651040624370455,28.5,0.0,-0.35782660813834666,-0.35782660813834666,Shenzhen
bus_BV10245891,4.908935384649427e-05,4.908483917175203e-05,4.514674742239083e-09,3.2464990327163434e-06,0.0,6.325351522758217,127.0,0.0,-0.3747429620494238,-0.3747429620494238,Shenzhen
bus_BV11325371,4.908935384649427e-05,4.906123727022143e-05,2.811657627283925e-08,3.2464990327163434e-06,0.0,5.952703547387329,70.5,0.0,-0.3750061640508536,-0.3750061640508536,Shenzhen
bus_BV10382788,4.908935384649427e-05,4.9080636495372654e-05,8.717351121616528e-09,3.2464990327163434e-06,0.0,6.221895497242876,70.5,0.0,-0.3767865619390624,-0.3767865619390624,Shenzhen
bus_BV10383044,4.908935384649427e-05,4.908209268150085e-05,7.261164993421483e-09,3.2464990327163434e-06,0.0,6.137068376390716,50.5,0.0,-0.38257309312316845,-0.38257309312316845,Shenzhen
bus_BV10880083,4.908935384649427e-05,4.9088059532276415e-05,1.2943142178558275e-09,3.2464990327163434e-06,0.0,6.226476442315074,8.0,0.0,-0.38276499045164913,-0.38276499045164913,Shenzhen
