node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV10869016,2.735504191334456e-05,2.7066180178616637e-05,2.888617347279217e-07,0.006953858466576923,0.02364864864864865,6.451444575634675,437.0,0.0,3.145218179486401,3.145218179486401,Shijiazhuang
bus_BV10959043,2.735504191334456e-05,2.6963665645870556e-05,3.9137626747400277e-07,4.274308934526516e-05,0.0,14.993087123774131,21.5,0.09090909090909091,1.7934078106042628,1.7934078106042628,Shijiazhuang
bus_BV10411597,2.735504191334456e-05,2.7264571368525286e-05,9.04705448192724e-08,0.002154472787943784,0.0033783783783783786,18.6343452306704,1.0,0.0,1.4492423967445425,1.4492423967445425,Shijiazhuang
bus_BV09139106,2.735504191334456e-05,2.723478042563711e-05,1.202614877074488e-07,4.274308934526516e-05,0.0,9.021145223370404,12.5,0.08333333333333333,0.562564655840254,0.562564655840254,Shijiazhuang
bus_BV11283604,2.735504191334456e-05,2.724534155722976e-05,1.0970035611479923e-07,4.274308934526516e-05,0.0,7.013168295137775,61.5,0.1111111111111111,0.5139749667774878,0.5139749667774878,Shijiazhuang
bus_BV09132272,2.735504191334456e-05,2.7323756103043347e-05,3.128581030121085e-08,4.274308934526516e-05,0.0,10.884894564252201,8.5,0.08333333333333333,0.47736965455433866,0.47736965455433866,Shijiazhuang
bus_BV10075078,2.735504191334456e-05,2.7349955902213018e-05,5.086011131540336e-09,0.00023471851649059516,0.0,12.198054565681835,3.0,0.058823529411764705,0.4275804820615714,0.4275804820615714,Shijiazhuang
bus_BV10986773,2.735504191334456e-05,2.7322352779299036e-05,3.26891340455224e-08,4.274308934526516e-05,0.0,8.90798999662402,12.5,0.09090909090909091,0.3609430180732587,0.3609430180732587,Shijiazhuang
bus_BV10869062,2.735504191334456e-05,2.7293499469677024e-05,6.154244366753404e-08,0.0011945956522172452,0.0033783783783783786,7.586252868974175,8.5,0.0,0.2999665805187738,0.2999665805187738,Shijiazhuang
bus_BV10074978,2.735504191334456e-05,2.733098810534894e-05,2.405380799561793e-08,4.274308934526516e-05,0.0,5.900418689364195,61.5,0.1111111111111111,0.19918168505785383,0.19918168505785383,Shijiazhuang
bus_BV10075098,2.735504191334456e-05,2.7403526865834338e-05,-4.848495248977995e-08,4.274308934526516e-05,0.0,5.796540333209685,154.5,0.14285714285714285,0.15977509763155895,0.15977509763155895,Shijiazhuang
bus_BV10074673,2.735504191334456e-05,2.732122646517366e-05,3.3815448170899617e-08,4.274308934526516e-05,0.0,5.996031017040928,21.5,0.09090909090909091,0.13070892762024425,0.13070892762024425,Shijiazhuang
bus_BV11677290,2.735504191334456e-05,2.733629809856703e-05,1.874381477752737e-08,4.274308934526516e-05,0.0,5.665108098719432,36.5,0.1,0.1103266264959592,0.1103266264959592,Shijiazhuang
bus_BV10074704,2.735504191334456e-05,2.7189650496102364e-05,1.653914172421945e-07,4.274308934526516e-05,0.0,6.093161093750745,36.5,0.0,0.026858438422075706,0.026858438422075706,Shijiazhuang
bus_BV11200753,2.735504191334456e-05,2.7341934643362543e-05,1.31072699820152e-08,4.274308934526516e-05,0.0,10.688781301487516,2.0,0.0,-0.006375358510934764,-0.006375358510934764,Shijiazhuang
bus_BV10074967,2.735504191334456e-05,2.722376056562671e-05,1.3128134771784783e-07,4.274308934526516e-05,0.0,6.733246443793935,257.5,0.0,-0.01176124292775127,-0.01176124292775127,Shijiazhuang
bus_BV11694235,2.735504191334456e-05,2.7292884420740083e-05,6.21574926044753e-08,4.274308934526516e-05,0.0,8.540498120400569,6.0,0.0,-0.0491710427586047,-0.0491710427586047,Shijiazhuang
bus_BV10074965,2.735504191334456e-05,2.7207062708801797e-05,1.479792045427614e-07,4.274308934526516e-05,0.0,5.637306217665266,437.0,0.0,-0.05552971417663661,-0.05552971417663661,Shijiazhuang
bus_BV11688591,2.735504191334456e-05,2.7333389985568708e-05,2.1651927775850774e-08,4.274308934526516e-05,0.0,9.721320235671733,21.5,0.0,-0.06133844749498236,-0.06133844749498236,Shijiazhuang
bus_BV10074694,2.735504191334456e-05,2.7245928456127546e-05,1.091134572170119e-07,4.274308934526516e-05,0.0,6.663526484675213,12.5,0.0,-0.07575734878189179,-0.07575734878189179,Shijiazhuang
bus_BV10324309,2.735504191334456e-05,2.7224177151291895e-05,1.3086476205266317e-07,4.274308934526516e-05,0.0,5.55133484238757,97.0,0.0,-0.10751141021481972,-0.10751141021481972,Shijiazhuang
bus_BV10075674,2.735504191334456e-05,2.734070500630631e-05,1.4336907038247943e-08,4.274308934526516e-05,0.0,9.013809753662798,12.5,0.0,-0.13727402798140248,-0.13727402798140248,Shijiazhuang
bus_BV10074737,2.735504191334456e-05,2.7347671853480115e-05,7.370059864443757e-09,4.274308934526516e-05,0.0,8.819668747404462,6.0,0.0,-0.1711793772502528,-0.1711793772502528,Shijiazhuang
bus_BV10074710,2.735504191334456e-05,2.730138788774709e-05,5.3654025597467815e-08,4.274308934526516e-05,0.0,7.002961526201714,61.5,0.0,-0.19471017963235543,-0.19471017963235543,Shijiazhuang
bus_BV10873973,2.735504191334456e-05,2.735504191334456e-05,0.0,0.0010026202250719152,0.0,5.949153609084904,1478.0,0.0,-0.2322103346002986,-0.2322103346002986,Shijiazhuang
bus_BV11383216,2.735504191334456e-05,2.7326644098315972e-05,2.8397815028586334e-08,4.274308934526516e-05,0.0,7.2925084545014505,36.5,0.0,-0.23807243756089583,-0.23807243756089583,Shijiazhuang
bus_BV10919434,2.735504191334456e-05,2.7344283406852688e-05,1.0758506491870344e-08,-0.00014923233780006484,0.0,8.297777742933425,12.5,0.0,-0.2417004477715653,-0.2417004477715653,Shijiazhuang
bus_BV10075036,2.735504191334456e-05,2.7275439295760422e-05,7.960261758413649e-08,4.274308934526516e-05,0.0,5.429977359045802,61.5,0.0,-0.25230654908967914,-0.25230654908967914,Shijiazhuang
