node,mean_score,std_score,boot_times,stability_score,city
bus_BV10085752,3.9115778915349564,0.3338857377219916,10,11.715318543012245,Taiyuan
bus_BV10084988,1.1098455432643208,0.15963389625416524,10,6.952442430978615,Taiyuan
bus_BV09007760,0.3694439725694341,0.060837787331145206,10,6.072605991280712,Taiyuan
bus_BV10085441,0.7936803591294349,0.14627943023578524,10,5.425782036423681,Taiyuan
bus_BV11321892,0.648465231222615,0.1551008350166843,10,4.180926487878639,Taiyuan
bus_BV09269771,0.4240990936167715,0.14630095921640032,10,2.8988126045116456,Taiyuan
bus_BV11014692,0.7565963349889218,0.2613647107547321,10,2.8947913582373697,Taiyuan
bus_BV11492771,0.938948626078101,0.35423097205149345,10,2.6506677102050014,Taiyuan
bus_BV10085034,0.1650116539165946,0.08912730426903899,10,1.8514150826815194,Taiyuan
bus_BV11689104,0.32146577815700167,0.2039000000964103,10,1.5765853959742455,Taiyuan
bus_BV11048550,0.6143713985944215,0.395671103732065,10,1.5527325025057372,Taiyuan
bus_BV11303244,0.25647241979353036,0.173281724614009,10,1.4800891759586285,Taiyuan
bus_BV11318669,0.061102945549937795,0.12686450286792236,10,0.48163938179900306,Taiyuan
bus_BV10085169,0.059113003230721675,0.13668474580260812,10,0.4324769275374725,Taiyuan
bus_BV10085157,0.03139694644177917,0.13289370517327181,10,0.23625606674358268,Taiyuan
bus_BV11215313,0.013389074542346557,0.14705722536602348,10,0.09104669014769204,Taiyuan
bus_BV11433143,-0.014713244408978038,0.23194907159178046,10,-0.06343307896718754,Taiyuan
bus_BV11048561,-0.023548065730100515,0.2856160543577892,10,-0.0824465731052229,Taiyuan
bus_BV09000626,-0.021757973177774316,0.08505360271232049,10,-0.2558148029686522,Taiyuan
bus_BV10085643,-0.3809066707439752,0.0,1,-0.3809066707439752,Taiyuan
bus_BV11208567,-0.5570317470513386,0.0,1,-0.5570317470513386,Taiyuan
bus_BV10700197,-0.17128053490842088,0.2828892835185592,10,-0.6054684246902539,Taiyuan
bus_BV11201788,-0.14518390845132106,0.19501831554559737,10,-0.7444629013460354,Taiyuan
bus_BV11048565,-0.15800108825765202,0.18831540304449285,10,-0.8390236662164317,Taiyuan
bus_BV11094446,-0.0578056284515952,0.0647563146379023,10,-0.8926638251140213,Taiyuan
bus_BV11206644,-0.1709095074424685,0.13443556166677872,10,-1.2713116426216164,Taiyuan
bus_BV11570754,-0.10196863761831117,0.06700907283039233,10,-1.5217136738970967,Taiyuan
bus_BV10085539,-0.35136822045556815,0.1680512464947582,10,-2.0908395913512727,Taiyuan
bus_BV11623925,-0.19680954149782365,0.08675549306472212,10,-2.2685539769275276,Taiyuan
bus_BV10085541,-0.1536461566800907,0.0577748101846416,10,-2.6593965362255645,Taiyuan
bus_BV11278163,-0.26444892793366603,0.09727540488154503,10,-2.718558725816722,Taiyuan
bus_BV10085244,-0.3082705464450511,0.11213881961558822,5,-2.7490080599360827,Taiyuan
bus_BV11207784,-0.2979700546392924,0.09085907701891971,10,-3.2794744523158776,Taiyuan
bus_BV11201787,-0.36120782745385993,0.10662583799230524,10,-3.387619740008322,Taiyuan
bus_BV10789519,-0.23474019730596551,0.06486207614644451,10,-3.6190664107838453,Taiyuan
bus_BV10085340,-0.4012398884306549,0.09433673218301965,10,-4.253272681944247,Taiyuan
bus_BV10085096,-0.30432511889207536,0.06499202243248699,10,-4.68249887720014,Taiyuan
bus_BV10831178,-0.4252706943561984,0.08124252270521169,10,-5.234581938740043,Taiyuan
bus_BV10085289,-0.24523077777712401,0.044555254206150696,10,-5.503968658843028,Taiyuan
bus_BV10086340,-0.44107567212893795,0.07469895323277208,10,-5.904709423536261,Taiyuan
bus_BV10085230,-0.3892139057440434,0.062194468252083884,10,-6.258013841140349,Taiyuan
bus_BV11215312,-0.41613295012224655,0.05196622748720028,10,-8.007756001668268,Taiyuan
bus_BV11447106,-0.3370310285185093,0.039393811796154185,10,-8.555428571071312,Taiyuan
bus_BV10085156,-0.48909712415627005,0.05383853663484789,9,-9.084515736903155,Taiyuan
bus_BV09130313,-0.45558897047805597,0.049704287479893756,10,-9.165987521749996,Taiyuan
bus_BV11160284,-0.4691887319807193,0.045983800754748,9,-10.203346009818766,Taiyuan
bus_BV11206642,-0.4295479820906384,0.039930086367156975,10,-10.757499259229116,Taiyuan
bus_BV09268233,-0.5202629089182771,0.03751653629403964,10,-13.867558725706386,Taiyuan
bus_BV10084989,-0.4538922757876424,0.027644389159078304,10,-16.418959702315906,Taiyuan
bus_BV10789416,-0.4986956354445137,0.024234307133383454,10,-20.578076646424105,Taiyuan
bus_BV10085011,-0.5519330735829243,0.02603261954527343,5,-21.201587516276668,Taiyuan
bus_BV11206656,-0.5591163758291428,0.022908766690624676,10,-24.406208300854356,Taiyuan
bus_BV11207824,-0.48664365138313226,0.019034498798928694,10,-25.56638873762383,Taiyuan
