node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV11438562,3.0229613507226997e-05,3.007934779382273e-05,1.5026571340426563e-07,0.005277289409261088,0.01037344398340249,7.458225217263351,57.5,0.0,1.67754082411976,1.67754082411976,Wuhan
bus_BV10994114,3.0229613507226997e-05,2.9579055439287468e-05,6.505580679395287e-07,2.317467622470204e-06,0.0,8.5621010219487,923.5,0.2,1.4864310519869384,1.4864310519869384,Wuhan
bus_BV10057986,3.0229613507226997e-05,2.9843456481301145e-05,3.8615702592585113e-07,2.317467622470204e-06,0.0,15.29636496644411,13.0,0.07142857142857142,1.0548552291508897,1.0548552291508897,Wuhan
bus_BV11291561,3.0229613507226997e-05,3.00812760039641e-05,1.4833750326289543e-07,0.0009001850321567195,0.004149377593360996,16.26826728939276,4.0,0.0,1.015621114507882,1.015621114507882,Wuhan
bus_BV10549854,3.0229613507226997e-05,3.0107825128049313e-05,1.217883791776835e-07,0.0003390178043228831,0.004149377593360996,17.182417827604166,1.0,0.0,0.9512698225790372,0.9512698225790372,Wuhan
bus_BV10940754,3.0229613507226997e-05,3.0150211936841728e-05,7.940157038526871e-08,0.006399623864928872,0.002074688796680498,6.859378714133642,137.0,0.0,0.863130250167194,0.863130250167194,Wuhan
bus_BV10060070,3.0229613507226997e-05,2.9882413875505725e-05,3.471996317212713e-07,0.001461352259990667,0.004149377593360996,6.665710178886774,209.5,0.0,0.6840663838207375,0.6840663838207375,Wuhan
bus_BV10058480,3.0229613507226997e-05,2.9997858954541904e-05,2.3175455268509247e-07,2.317467622470204e-06,0.0,8.7293910447804,328.0,0.14285714285714285,0.5806707916617756,0.5806707916617756,Wuhan
bus_BV11692835,3.0229613507226997e-05,3.0132119340405653e-05,9.749416682134385e-08,0.0017980525966909688,0.006224066390041493,6.716509996447578,7.5,0.0,0.5434452841820103,0.5434452841820103,Wuhan
bus_BV11339064,3.0229613507226997e-05,3.01529701556993e-05,7.664335152769524e-08,0.0024714532700916836,0.004149377593360996,6.660226457051064,57.5,0.0,0.40655376388322556,0.40655376388322556,Wuhan
bus_BV10058419,3.0229613507226997e-05,3.0229613507226997e-05,0.0,0.0007879515865899522,0.0,8.439712237865603,38.0,0.16666666666666666,0.4047009901235993,0.4047009901235993,Wuhan
bus_BV10974228,3.0229613507226997e-05,3.0223208796672414e-05,6.404710554582107e-09,2.317467622470204e-06,0.0,15.019432024893208,2.0,0.045454545454545456,0.3054467306372389,0.3054467306372389,Wuhan
