node,pre_eff,post_eff,efficiency_loss,lcc_loss,reachability_loss,centrality_consensus,degree_rank,interlayer_ratio,bottleneck_score,robust_score,city
bus_BV09136337,1.8332900203879345e-05,1.6095540003257368e-05,2.2373602006219767e-06,0.22468114474490153,0.4106280193236715,5.683335881411674,409.5,0.0,3.372767972066175,3.372767972066175,Xuzhou
bus_BV10719321,1.8332900203879345e-05,1.7125296544348118e-05,1.2076036595312268e-06,0.09697657340929067,0.23671497584541062,6.661025061197989,108.0,0.0,1.628289342079174,1.628289342079174,Xuzhou
bus_BV10141960,1.8332900203879345e-05,1.8321937160430086e-05,1.096304344925893e-08,1.8707783782323517e-05,0.0,8.258208204145598,23.0,0.07692307692307693,0.8589916696464066,0.8589916696464066,Xuzhou
bus_BV10142296,1.8332900203879345e-05,1.8317900313929397e-05,1.499988994994807e-08,1.8707783782323517e-05,0.0,6.472280566730159,23.0,0.07692307692307693,0.6967916157767549,0.6967916157767549,Xuzhou
bus_BV11356405,1.8332900203879345e-05,1.791828644191687e-05,4.1461376196247387e-07,0.04491865897948755,0.09903381642512077,6.892933536671571,43.0,0.0,0.4938859656172996,0.4938859656172996,Xuzhou
bus_BV10542418,1.8332900203879345e-05,1.779542911382378e-05,5.37471090055564e-07,0.033368309215374925,0.07004830917874397,7.772012827817209,31.0,0.0,0.49022889632148126,0.49022889632148126,Xuzhou
bus_BV10142194,1.8332900203879345e-05,1.82335485632911e-05,9.935164058824338e-08,0.0034350084182380725,0.00966183574879227,14.205639939013466,2.0,0.0,0.4840949838820874,0.4840949838820874,Xuzhou
bus_BV10142196,1.8332900203879345e-05,1.832659503438241e-05,6.305169496934596e-09,0.00034406974896850073,0.0,14.259556675836407,3.5,0.0,0.39028877557131214,0.39028877557131214,Xuzhou
bus_BV10142303,1.8332900203879345e-05,1.8245980651057255e-05,8.69195528220901e-08,0.0008321126967479886,0.0024154589371980675,13.568960181322545,14.5,0.0,0.3818246193381419,0.3818246193381419,Xuzhou
bus_BV11430593,1.8332900203879345e-05,1.8140344340300725e-05,1.9255586357862022e-07,0.0013201556445273654,0.00966183574879227,11.467431586528441,1.0,0.0,0.2718365094441645,0.2718365094441645,Xuzhou
bus_BV10690266,1.8332900203879345e-05,1.8292621155933127e-05,4.027904794621815e-08,1.8707783782323517e-05,0.0,11.124889291678137,6.5,0.0,0.11875255055194545,0.11875255055194545,Xuzhou
bus_BV11300176,1.8332900203879345e-05,1.8329703281108832e-05,3.1969227705127125e-09,1.8707783782323517e-05,0.0,10.833074418943001,14.5,0.0,0.07113463005573473,0.07113463005573473,Xuzhou
bus_BV10849781,1.8332900203879345e-05,1.8318130579065545e-05,1.47696248137998e-08,1.8707783782323517e-05,0.0,10.5268900406976,6.5,0.0,0.04941386043513266,0.04941386043513266,Xuzhou
bus_BV10600263,1.8332900203879345e-05,1.8330848204467677e-05,2.051999411667747e-09,0.000669431714154789,0.0,10.356461255382502,14.5,0.0,0.030374780172341,0.030374780172341,Xuzhou
bus_BV10497185,1.8332900203879345e-05,1.8269476269247924e-05,6.34239346314206e-08,0.00018138876637541212,0.0024154589371980675,9.779085018429974,23.0,0.0,0.015916278289531682,0.015916278289531682,Xuzhou
bus_BV10625257,1.8332900203879345e-05,1.8326268575955265e-05,6.63162792407962e-09,1.8707783782323517e-05,0.0,9.720918276857473,10.5,0.0,-0.029357536990156315,-0.029357536990156315,Xuzhou
bus_BV09232705,1.8332900203879345e-05,1.8331568142323963e-05,1.332061555382177e-09,1.8707783782323517e-05,0.0,8.818741080037334,23.0,0.0,-0.11540009951253447,-0.11540009951253447,Xuzhou
bus_BV10630302,1.8332900203879345e-05,1.829589159250272e-05,3.700861137662624e-08,1.8707783782323517e-05,0.0,8.469398579079062,43.0,0.0,-0.12761000470732453,-0.12761000470732453,Xuzhou
bus_BV10141838,1.8332900203879345e-05,1.832228120022663e-05,1.0619003652715921e-08,0.00018138876637541212,0.0,8.549606546259273,10.5,0.0,-0.13404540159807213,-0.13404540159807213,Xuzhou
bus_BV10985569,1.8332900203879345e-05,1.822422784933299e-05,1.0867235454635636e-07,0.0024589225226793188,0.007246376811594203,7.500999522259682,67.5,0.0,-0.14094935712736548,-0.14094935712736548,Xuzhou
bus_BV10141898,1.8332900203879345e-05,1.8341790144975995e-05,-8.889941096649708e-09,0.00034406974896850073,0.0,8.564947395472316,3.5,0.0,-0.14260468797793804,-0.14260468797793804,Xuzhou
bus_BV10760578,1.8332900203879345e-05,1.8286256220214103e-05,4.6643983665241567e-08,1.8707783782323517e-05,0.0,7.982708994615072,23.0,0.0,-0.16703658985425102,-0.16703658985425102,Xuzhou
bus_BV10706213,1.8332900203879345e-05,1.8305542288105647e-05,2.735791577369753e-08,0.0024589225226793188,0.007246376811594203,7.5901704142640165,43.0,0.0,-0.17823007690732762,-0.17823007690732762,Xuzhou
bus_BV10141828,1.8332900203879345e-05,1.829566786216271e-05,3.723234171663619e-08,1.8707783782323517e-05,0.0,7.786398437404612,23.0,0.0,-0.19037942386121148,-0.19037942386121148,Xuzhou
bus_BV09046887,1.8332900203879345e-05,1.833267217109927e-05,2.280327800737792e-10,1.8707783782323517e-05,0.0,7.8660905090115545,14.5,0.0,-0.20374331007137028,-0.20374331007137028,Xuzhou
bus_BV11319592,1.8332900203879345e-05,1.829816109599954e-05,3.473910787980502e-08,-0.0001439731988108761,0.0,7.66279576788058,14.5,0.0,-0.20409882482881245,-0.20409882482881245,Xuzhou
bus_BV10142015,1.8332900203879345e-05,1.8321277137463436e-05,1.1623066415908899e-08,0.00034406974896850073,0.0,7.699969216466217,43.0,0.0,-0.21078067563961406,-0.21078067563961406,Xuzhou
bus_BV10637631,1.8332900203879345e-05,1.8218792692822695e-05,1.141075110566497e-07,0.00018138876637541212,0.0024154589371980675,6.879912289750278,165.5,0.0,-0.22270086607698172,-0.22270086607698172,Xuzhou
bus_BV10141855,1.8332900203879345e-05,1.8262668586233396e-05,7.02316176459486e-08,1.8707783782323517e-05,0.0,7.121371574244939,67.5,0.0,-0.23315718824757217,-0.23315718824757217,Xuzhou
