node,mean_score,std_score,boot_times,stability_score,city
bus_BV11192298,3.228514327761662,0.17612147826065552,10,18.331177868446918,sian
bus_BV09289872,1.1967288147714519,0.09713391323860633,10,12.320400276963245,sian
bus_BV11689529,0.4888860701894546,0.044907290079532196,10,10.886561189909491,sian
bus_BV10566219,0.8240091904770438,0.1361018339148302,10,6.054357286979097,sian
bus_BV10070157,0.468033357336879,0.08030021947240347,10,5.828543211046821,sian
bus_BV11109018,1.3128446291134541,0.24414494757064392,10,5.377316173870105,sian
bus_BV10069695,0.317316678608246,0.06493791025688425,10,4.886461983275579,sian
bus_BV10070467,0.2596576223223913,0.05431630442145926,10,4.78047203843061,sian
bus_BV10069584,0.28899397311105385,0.06550926852714453,10,4.411496807911048,sian
bus_BV11099351,0.09506524085703193,0.025378521050863696,8,3.745892174235853,sian
bus_BV10784461,0.24238253891639147,0.09800379595867388,10,2.4731951636510834,sian
bus_BV10070392,0.2194170671411529,0.12830784017645203,10,1.7100829515840636,sian
bus_BV10072266,0.2223018198334199,0.1350685157465843,10,1.6458447192242462,sian
bus_BV10345488,0.19633204567428925,0.12257268901089186,10,1.6017599943429746,sian
bus_BV10070190,0.03374094456034431,0.022166034359333245,10,1.5221906089048012,sian
bus_BV10070320,0.16467978200795433,0.13846404258713235,10,1.1893323857780704,sian
bus_BV11126417,0.11647601800336241,0.16110369337969827,9,0.7229878367776884,sian
bus_BV10814707,0.06607720235393484,0.15675129979522345,9,0.4215416282023843,sian
bus_BV10814439,-0.02644564770241316,0.39046664302245976,10,-0.06772831302675161,sian
bus_BV10070158,-0.008240017910178785,0.0967201609883974,7,-0.08519441007985049,sian
bus_BV11580157,-0.029185040782016648,0.11424454431644403,10,-0.25546111109311614,sian
bus_BV10070508,-0.14692726279457108,0.3638081540870906,10,-0.4038591689201311,sian
bus_BV11272102,-0.04123836456386616,0.10038743548515118,10,-0.4107920503860808,sian
bus_BV10417963,-0.5583237343484082,0.0,1,-0.5583237343484082,sian
bus_BV10070311,-0.16215128686493108,0.18679693389736568,10,-0.868061775967941,sian
bus_BV11107332,-0.22670445997978791,0.2090516351940235,10,-1.0844423624094448,sian
bus_BV10814719,-0.1421622885401097,0.10773776539134776,10,-1.3195212916149235,sian
bus_BV10814688,-0.27911101356750145,0.17206815474681736,2,-1.6220956036707193,sian
bus_BV10071054,-0.2834603004534991,0.16762087892576596,10,-1.6910798067598534,sian
bus_BV09188533,-0.18425678166949921,0.0847702612018508,10,-2.1736014177748237,sian
bus_BV11126424,-0.3687437546509405,0.16639617829587386,10,-2.2160589039171175,sian
bus_BV11251652,-0.15991499737340492,0.06899998772799872,10,-2.3176087338987674,sian
bus_BV10069934,-0.3730990844975546,0.11536513347541223,10,-3.2340711696602984,sian
bus_BV10069666,-0.2940771605576378,0.07686640170269003,10,-3.8258213703937765,sian
bus_BV10442957,-0.31361261521599026,0.07027808265783551,10,-4.462452001121927,sian
bus_BV11070565,-0.24477453672543673,0.052845866179774555,10,-4.631856909567488,sian
bus_BV10349984,-0.3719512965596411,0.07343423018717238,10,-5.065093553247035,sian
bus_BV11238486,-0.3905103615959691,0.07611285219586718,10,-5.130675030864538,sian
bus_BV11498437,-0.4621826419754691,0.07849147791216567,10,-5.888315462852041,sian
bus_BV10070170,-0.43275961901133836,0.06324036769539848,10,-6.843090360651451,sian
bus_BV10071162,-0.23612693523037334,0.0334062961711259,10,-7.068334164836971,sian
bus_BV10405038,-0.44958626373401656,0.06276672639655714,10,-7.162810901837444,sian
bus_BV10070788,-0.41391105102246134,0.053093074240696966,10,-7.795950394330074,sian
bus_BV11026604,-0.29878815821705007,0.03552675898388197,10,-8.410226056656217,sian
bus_BV10941809,-0.3959685948880807,0.03936864127166576,10,-10.057966988903821,sian
bus_BV10070625,-0.5184447030474437,0.04661608176310015,10,-11.121582342898776,sian
bus_BV09346761,-0.2515846883956583,0.022457485780215926,10,-11.20270447149737,sian
bus_BV11104903,-0.4197449111235418,0.031209166024240183,10,-13.449407020471341,sian
bus_BV10849252,-0.26988086081821033,0.019694960661238547,10,-13.703034417276886,sian
bus_BV09063350,-0.47585656995978354,0.033300450199748186,9,-14.289789603669858,sian
bus_BV10070705,-0.44701672859758984,0.025955908778045097,2,-17.222150077603896,sian
bus_BV11115943,-0.4890763110438674,0.024037803284854182,10,-20.346123220452256,sian
bus_BV11304162,-0.5721961164181483,0.026271444632661563,3,-21.780145957611904,sian
bus_BV11577472,-0.500163291503367,0.02016253771038288,10,-24.806552162344225,sian
