node,degree,betweenness,degree_norm,btw_norm,score
BV11162555,9,0.2109781038188183,0.45,0.9977039663575664,0.7238519831787832
BV10644760,9,0.18587734370785564,0.45,0.8790038383916637,0.6645019191958319
BV09196860,5,0.20713976493624012,0.25,0.9795526707583729,0.6147763353791864
BV10877124,11,0.14108593270070263,0.55,0.6671876943857165,0.6085938471928583
BV11216286,4,0.21105896679858302,0.2,0.9980863629863277,0.5990431814931638
BV10811382,11,0.1361302490517826,0.55,0.6437525362197919,0.596876268109896
BV11244552,4,0.2095713121149327,0.2,0.9910513249819908,0.5955256624909954
BV09129049,4,0.20613452059025933,0.2,0.9747989249762757,0.5873994624881379
BV11216294,4,0.20598957396200582,0.2,0.9741134802628145,0.5870567401314073
BV11216300,3,0.21146363143073443,0.15,1.0,0.575
