City,Strategy,LCC_AUC,EFF_AUC,FileName
Beijing,degree,0.082335,0.000122,Beijing_bus_degree.pkl
Beijing,random,0.237558,0.000615,Beijing_bus_random.pkl
Changchun,degree,0.058023,0.000103,Changchun_bus_degree.pkl
Changchun,random,0.201104,0.000424,Changchun_bus_random.pkl
Changsha,degree,0.072777,8.7e-05,Changsha_bus_degree.pkl
Changsha,random,0.160057,0.000232,Changsha_bus_random.pkl
Changzhou,degree,0.079524,8.4e-05,Changzhou_bus_degree.pkl
Changzhou,random,0.135532,0.000178,Changzhou_bus_random.pkl
Chengdu,degree,0.100867,0.000126,Chengdu_bus_degree.pkl
Chengdu,random,0.227495,0.000517,Chengdu_bus_random.pkl
Chongqing,degree,0.022847,3.5e-05,Chongqing_bus_degree.pkl
Chongqing,random,0.122768,0.00019,Chongqing_bus_random.pkl
Chuzhou,degree,0.025721,4.2e-05,Chuzhou_bus_degree.pkl
Chuzhou,random,0.04881,0.0001,Chuzhou_bus_random.pkl
Dalian,degree,0.037606,7.7e-05,Dalian_bus_degree.pkl
Dalian,random,0.128666,0.000246,Dalian_bus_random.pkl
Dongguan,degree,0.063271,0.00012,Dongguan_bus_degree.pkl
Dongguan,random,0.205017,0.000487,Dongguan_bus_random.pkl
Foshan,degree,0.074911,0.000109,Foshan_bus_degree.pkl
Foshan,random,0.208187,0.000416,Foshan_bus_random.pkl
Fuzhou,degree,0.067213,0.000112,Fuzhou_bus_degree.pkl
Fuzhou,random,0.164705,0.000439,Fuzhou_bus_random.pkl
Guangzhou,degree,0.088524,0.000125,Guangzhou_bus_degree.pkl
Guangzhou,random,0.218828,0.000502,Guangzhou_bus_random.pkl
Guiyang,degree,0.103331,0.000312,Guiyang_bus_degree.pkl
Guiyang,random,0.263366,0.001332,Guiyang_bus_random.pkl
Hangzhou,degree,0.082047,8.9e-05,Hangzhou_bus_degree.pkl
Hangzhou,random,0.193619,0.00036,Hangzhou_bus_random.pkl
Harbin,degree,0.050032,0.000106,Harbin_bus_degree.pkl
Harbin,random,0.188168,0.00048,Harbin_bus_random.pkl
Hefei,degree,0.055044,7.3e-05,Hefei_bus_degree.pkl
Hefei,random,0.180135,0.000304,Hefei_bus_random.pkl
Hohhot,degree,0.074505,0.000199,Hohhot_bus_degree.pkl
Hohhot,random,0.187668,0.000528,Hohhot_bus_random.pkl
Jinan,degree,0.051254,8.5e-05,Jinan_bus_degree.pkl
Jinan,random,0.169305,0.000372,Jinan_bus_random.pkl
Kunming,degree,0.097936,0.000227,Kunming_bus_degree.pkl
Kunming,random,0.250945,0.000878,Kunming_bus_random.pkl
Lanzhou,degree,0.06541,0.000159,Lanzhou_bus_degree.pkl
Lanzhou,random,0.189715,0.00061,Lanzhou_bus_random.pkl
Luoyang,degree,0.052264,0.000117,Luoyang_bus_degree.pkl
Luoyang,random,0.184569,0.000414,Luoyang_bus_random.pkl
Nanchang,degree,0.057209,0.000124,Nanchang_bus_degree.pkl
Nanchang,random,0.196351,0.000507,Nanchang_bus_random.pkl
Nanning,degree,0.069864,0.000169,Nanning_bus_degree.pkl
Nanning,random,0.202957,0.000614,Nanning_bus_random.pkl
Nantong,degree,0.066952,8.3e-05,Nantong_bus_degree.pkl
Nantong,random,0.165012,0.000284,Nantong_bus_random.pkl
Qingdao,degree,0.082821,8.7e-05,Qingdao_bus_degree.pkl
Qingdao,random,0.169871,0.000252,Qingdao_bus_random.pkl
Shanghai,degree,0.092424,0.000113,Shanghai_bus_degree.pkl
Shanghai,random,0.235019,0.000472,Shanghai_bus_random.pkl
Shaoxing,degree,0.066334,5.8e-05,Shaoxing_bus_degree.pkl
Shaoxing,random,0.144662,0.000172,Shaoxing_bus_random.pkl
Shenyang,degree,0.071206,0.000118,Shenyang_bus_degree.pkl
Shenyang,random,0.205002,0.000421,Shenyang_bus_random.pkl
Shenzhen,degree,0.123622,0.000322,Shenzhen_bus_degree.pkl
Shenzhen,random,0.297028,0.00159,Shenzhen_bus_random.pkl
Shijiazhuang,degree,0.057423,8.7e-05,Shijiazhuang_bus_degree.pkl
Shijiazhuang,random,0.162495,0.000339,Shijiazhuang_bus_random.pkl
Suzhou,degree,0.088348,8.9e-05,Suzhou_bus_degree.pkl
Suzhou,random,0.176423,0.000239,Suzhou_bus_random.pkl
Taiyuan,degree,0.079426,0.000195,Taiyuan_bus_degree.pkl
Taiyuan,random,0.236448,0.000762,Taiyuan_bus_random.pkl
Tianjin,degree,0.081377,0.000132,Tianjin_bus_degree.pkl
Tianjin,random,0.249469,0.000685,Tianjin_bus_random.pkl
Wenzhou,degree,0.048507,6.1e-05,Wenzhou_bus_degree.pkl
Wenzhou,random,0.114598,0.000185,Wenzhou_bus_random.pkl
Wuhan,degree,0.063949,9.1e-05,Wuhan_bus_degree.pkl
Wuhan,random,0.197952,0.000382,Wuhan_bus_random.pkl
Wuhu,degree,0.052245,0.00011,Wuhu_bus_degree.pkl
Wuhu,random,0.150413,0.00029,Wuhu_bus_random.pkl
Wuxi,degree,0.090516,0.000105,Wuxi_bus_degree.pkl
Wuxi,random,0.157498,0.000276,Wuxi_bus_random.pkl
Xiamen,degree,0.125854,0.000297,Xiamen_bus_degree.pkl
Xiamen,random,0.271905,0.001167,Xiamen_bus_random.pkl
Xuzhou,degree,0.049951,7.3e-05,Xuzhou_bus_degree.pkl
Xuzhou,random,0.151802,0.000273,Xuzhou_bus_random.pkl
Zhengzhou,degree,0.070004,0.000111,Zhengzhou_bus_degree.pkl
Zhengzhou,random,0.218604,0.000486,Zhengzhou_bus_random.pkl
nanking,degree,0.066092,7.6e-05,nanking_bus_degree.pkl
nanking,random,0.165812,0.00023,nanking_bus_random.pkl
ningbo,degree,0.06814,6.4e-05,ningbo_bus_degree.pkl
ningbo,random,0.157088,0.000211,ningbo_bus_random.pkl
sian,degree,0.072428,0.000118,sian_bus_degree.pkl
sian,random,0.214209,0.00044,sian_bus_random.pkl
urumchi,degree,0.086445,0.000257,urumchi_bus_degree.pkl
urumchi,random,0.239652,0.000905,urumchi_bus_random.pkl
